population_acs52014,per_capita_income_acs52014,Subdivision
16081.0,36355.0,Abington
22614.0,55357.0,Acton
10329.0,33318.0,Acushnet
8382.0,25229.0,Adams
28626.0,30482.0,Agawam Town
471.0,55917.0,Alford
16554.0,40686.0,Amesbury Town
39260.0,19418.0,Amherst
34251.0,54191.0,Andover
363.0,33399.0,Aquinnah
43728.0,50740.0,Arlington
6133.0,36032.0,Ashburnham
3147.0,30953.0,Ashby
1749.0,35072.0,Ashfield
16985.0,46112.0,Ashland
11617.0,23797.0,Athol
43774.0,31032.0,Attleboro
16294.0,34392.0,Auburn
4421.0,34478.0,Avon
7716.0,36678.0,Ayer
44750.0,36139.0,Barnstable Town
5414.0,28529.0,Barre
1790.0,41142.0,Becket
13788.0,52852.0,Bedford
14774.0,33213.0,Belchertown
16564.0,39583.0,Bellingham
25173.0,55996.0,Belmont
6492.0,33277.0,Berkley
2917.0,43191.0,Berlin
2173.0,29453.0,Bernardston
40370.0,39471.0,Beverly
41446.0,37332.0,Billerica
9055.0,33897.0,Blackstone
1186.0,32481.0,Blandford
5019.0,53195.0,Bolton
639594.0,34770.0,Boston
19749.0,34308.0,Bourne
5102.0,60204.0,Boxborough
8105.0,55227.0,Boxford
4399.0,49587.0,Boylston
36543.0,37301.0,Braintree Town
9858.0,37792.0,Brewster
26931.0,33204.0,Bridgewater
3667.0,38147.0,Brimfield
94267.0,22466.0,Brockton
3396.0,31851.0,Brookfield
59016.0,62148.0,Brookline
1961.0,29237.0,Buckland
25190.0,41849.0,Burlington
106844.0,48446.0,Cambridge
22036.0,48104.0,Canton
4967.0,76924.0,Carlisle
11541.0,33255.0,Carver
1218.0,27456.0,Charlemont
13126.0,34728.0,Charlton
6129.0,47895.0,Chatham
34495.0,44699.0,Chelmsford
37084.0,21523.0,Chelsea
3211.0,29458.0,Cheshire
1528.0,27185.0,Chester
1221.0,33264.0,Chesterfield
55603.0,25251.0,Chicopee
905.0,44681.0,Chilmark
1580.0,30276.0,Clarksburg
13675.0,31855.0,Clinton
8100.0,58838.0,Cohasset
1680.0,27653.0,Colrain
18834.0,69196.0,Concord
1663.0,41711.0,Conway
0.0,,County subdivisions not defined
925.0,31620.0,Cummington
6735.0,28880.0,Dalton
27075.0,37784.0,Danvers
34384.0,30578.0,Dartmouth
25111.0,44241.0,Dedham
5097.0,37159.0,Deerfield
14113.0,35132.0,Dennis
7173.0,35008.0,Dighton
8578.0,34982.0,Douglas
5727.0,89445.0,Dover
30350.0,33529.0,Dracut
11633.0,29884.0,Dudley
3299.0,47060.0,Dunstable
15208.0,53790.0,Duxbury
13996.0,36315.0,East Bridgewater
2263.0,32252.0,East Brookfield
15917.0,38050.0,East Longmeadow
4932.0,37009.0,Eastham
16066.0,31700.0,Easthampton Town
23548.0,39462.0,Easton
4186.0,38713.0,Edgartown
1062.0,38275.0,Egremont
1832.0,26438.0,Erving
3580.0,48054.0,Essex
42758.0,23419.0,Everett
15971.0,31006.0,Fairhaven
88756.0,21201.0,Fall River
31576.0,39256.0,Falmouth
40419.0,22720.0,Fitchburg
788.0,28704.0,Florida
17129.0,44391.0,Foxborough
69900.0,34275.0,Framingham
32393.0,42444.0,Franklin Town
8957.0,34244.0,Freetown
20279.0,23325.0,Gardner
8379.0,44547.0,Georgetown
1573.0,32983.0,Gill
