State,BudgetDetail,value,Year
Alabama,Amount from Federal Government,,2012
Alabama,Amount from Federal Government,16961056,2014
Alabama,Amount from Federal Government,18374332,2015
Alabama,Amount from Federal Government,,2011_old
Alabama,Amount from Federal Government,,2013
Alabama,Amount from Federal Government,16134988,2013_old
Alabama,Amount from Fees / Other,,2012
Alabama,Amount from Fees / Other,33623919,2014
Alabama,Amount from Fees / Other,35759319,2015
Alabama,Amount from Fees / Other,,2011_old
Alabama,Amount from Fees / Other,,2013
Alabama,Amount from Fees / Other,32198083,2013_old
Alabama,Amount from General Fund,,2012
Alabama,Amount from General Fund,827745,2014
Alabama,Amount from General Fund,829950,2015
Alabama,Amount from General Fund,,2011_old
Alabama,Amount from General Fund,,2013
Alabama,Amount from General Fund,3019533,2013_old
Alabama,Amount of Budget from SRF,27088000,2012
Alabama,Amount of Budget from SRF,28352000,2011_old
Alabama,Amount of Budget from SRF,,2013
Alabama,Environmental Agency Budget,,2012
Alabama,Environmental Agency Budget,51412720,2014
Alabama,Environmental Agency Budget,54963601,2015
Alabama,Environmental Agency Budget,,2011_old
Alabama,Environmental Agency Budget,,2013
Alabama,Environmental Agency Budget,51352605,2013_old
Alabama,Environmental Agency Budget (No SRF),,2012
Alabama,Environmental Agency Budget (No SRF),,2011_old
Alabama,Environmental Agency Budget (No SRF),,2013
Alabama,Environmental Agency Budget (SRF Added),90605689,2012
Alabama,Environmental Agency Budget (SRF Added),86511168,2011_old
Alabama,Environmental Agency Budget (SRF Added),63364884,2013
Alabama,Percent from Federal Government,35.30,2012
Alabama,Percent from Federal Government,,2014
Alabama,Percent from Federal Government,,2015
Alabama,Percent from Federal Government,39.80,2011_old
Alabama,Percent from Federal Government,34.20,2013
Alabama,Percent from Federal Government,,2013_old
Alabama,Percent from Fees / Other,58.80,2012
Alabama,Percent from Fees / Other,,2014
Alabama,Percent from Fees / Other,,2015
Alabama,Percent from Fees / Other,51.10,2011_old
Alabama,Percent from Fees / Other,61.10,2013
Alabama,Percent from Fees / Other,,2013_old
Alabama,Percent from General Fund,6.00,2012
Alabama,Percent from General Fund,,2014
Alabama,Percent from General Fund,,2015
Alabama,Percent from General Fund,9.10,2011_old
Alabama,Percent from General Fund,4.70,2013
Alabama,Percent from General Fund,,2013_old
Alabama,Status of Budget,Approved,2012
Alabama,Status of Budget,Actual,2014
Alabama,Status of Budget,Actual,2015
Alabama,Status of Budget,Actual,2011_old
Alabama,Status of Budget,House Passed,2013
Alabama,Status of Budget,Actual,2013_old
Alaska,Amount from Federal Government,,2012
Alaska,Amount from Federal Government,22210300,2014
Alaska,Amount from Federal Government,18836000,2015
Alaska,Amount from Federal Government,,2011_old
Alaska,Amount from Federal Government,,2013
Alaska,Amount from Federal Government,22787500,2013_old
Alaska,Amount from Fees / Other,,2012
Alaska,Amount from Fees / Other,11463700,2014
Alaska,Amount from Fees / Other,10666200,2015
Alaska,Amount from Fees / Other,,2011_old
Alaska,Amount from Fees / Other,,2013
Alaska,Amount from Fees / Other,10309000,2013_old
Alaska,Amount from General Fund,,2012
Alaska,Amount from General Fund,49368200,2014
Alaska,Amount from General Fund,47273800,2015
Alaska,Amount from General Fund,,2011_old
Alaska,Amount from General Fund,,2013
Alaska,Amount from General Fund,46914800,2013_old
Alaska,Amount of Budget from SRF,17519000,2012
Alaska,Amount of Budget from SRF,18345000,2011_old
Alaska,Amount of Budget from SRF,,2013
Alaska,Environmental Agency Budget,,2012
Alaska,Environmental Agency Budget,,2011_old
Alaska,Environmental Agency Budget,,2013
Alaska,Environmental Agency Budget (No SRF),,2012
Alaska,Environmental Agency Budget (No SRF),,2011_old
Alaska,Environmental Agency Budget (No SRF),,2013
Alaska,Environmental Agency Budget (SRF Added),97528900,2012
Alaska,Environmental Agency Budget (SRF Added),91404400,2011_old
Alaska,Environmental Agency Budget (SRF Added),83552300,2013
Alaska,Percent from Federal Government,29.01,2012
Alaska,Percent from Federal Government,,2014
Alaska,Percent from Federal Government,,2015
Alaska,Percent from Federal Government,26.54,2011_old
Alaska,Percent from Federal Government,29.00,2013
Alaska,Percent from Federal Government,,2013_old
Alaska,Percent from Fees / Other,13.22,2012
Alaska,Percent from Fees / Other,,2014
Alaska,Percent from Fees / Other,,2015
Alaska,Percent from Fees / Other,13.27,2011_old
Alaska,Percent from Fees / Other,13.50,2013
Alaska,Percent from Fees / Other,,2013_old
Alaska,Percent from General Fund,57.77,2012
Alaska,Percent from General Fund,,2014
Alaska,Percent from General Fund,,2015
Alaska,Percent from General Fund,60.19,2011_old
Alaska,Percent from General Fund,57.49,2013
Alaska,Percent from General Fund,,2013_old
Alaska,Status of Budget,Authorized,2012
Alaska,Status of Budget,Actual,2014
Alaska,Status of Budget,Actual,2015
Alaska,Status of Budget,Actual,2011_old
Alaska,Status of Budget,Proposed,2013
Alaska,Status of Budget,Actual,2013_old
Arizona,Amount from Federal Government,,2012
Arizona,Amount from Federal Government,42355626,2014
Arizona,Amount from Federal Government,43152560,2015
Arizona,Amount from Federal Government,,2011_old
Arizona,Amount from Federal Government,,2013
Arizona,Amount from Federal Government,73847160,2013_old
Arizona,Amount from Fees / Other,,2012
Arizona,Amount from Fees / Other,101174600,2014
Arizona,Amount from Fees / Other,98961200,2015
Arizona,Amount from Fees / Other,,2011_old
Arizona,Amount from Fees / Other,,2013
Arizona,Amount from Fees / Other,95916600,2013_old
Arizona,Amount from General Fund,,2012
Arizona,Amount from General Fund,0,2014
Arizona,Amount from General Fund,0,2015
Arizona,Amount from General Fund,,2011_old
Arizona,Amount from General Fund,,2013
Arizona,Amount from General Fund,0,2013_old
Arizona,Amount of Budget from SRF,Included,2012
Arizona,Amount of Budget from SRF,Included,2011_old
Arizona,Amount of Budget from SRF,Included,2013
Arizona,Environmental Agency Budget,351610300,2012
Arizona,Environmental Agency Budget,383088900,2011_old
Arizona,Environmental Agency Budget,351610300,2013
Arizona,Percent from Federal Government,5.85,2012
Arizona,Percent from Federal Government,,2014
Arizona,Percent from Federal Government,,2015
Arizona,Percent from Federal Government,9.29,2011_old
Arizona,Percent from Federal Government,5.85,2013
Arizona,Percent from Federal Government,,2013_old
Arizona,Percent from Fees / Other,92.16,2012
Arizona,Percent from Fees / Other,,2014
Arizona,Percent from Fees / Other,,2015
Arizona,Percent from Fees / Other,88.88,2011_old
Arizona,Percent from Fees / Other,92.16,2013
Arizona,Percent from Fees / Other,,2013_old
Arizona,Percent from General Fund,1.99,2012
Arizona,Percent from General Fund,,2014
Arizona,Percent from General Fund,,2015
Arizona,Percent from General Fund,1.83,2011_old
Arizona,Percent from General Fund,1.99,2013
Arizona,Percent from General Fund,,2013_old
Arizona,Status of Budget,Current,2012
Arizona,Status of Budget,Final,2014
Arizona,Status of Budget,Final,2015
Arizona,Status of Budget,Final,2011_old
Arizona,Status of Budget,Proposed,2013
Arizona,Status of Budget,Final,2013_old
Arkansas,Amount from Federal Government,,2012
Arkansas,Amount from Federal Government,19211392,2014
Arkansas,Amount from Federal Government,19263954,2015
Arkansas,Amount from Federal Government,,2011_old
Arkansas,Amount from Federal Government,,2013
Arkansas,Amount from Federal Government,26697283,2013_old
Arkansas,Amount from Fees / Other,,2012
Arkansas,Amount from Fees / Other,80061043,2014
Arkansas,Amount from Fees / Other,80134791,2015
Arkansas,Amount from Fees / Other,,2011_old
Arkansas,Amount from Fees / Other,,2013
Arkansas,Amount from Fees / Other,76978828,2013_old
Arkansas,Amount from General Fund,,2012
Arkansas,Amount from General Fund,5181092,2014
Arkansas,Amount from General Fund,5184012,2015
Arkansas,Amount from General Fund,,2011_old
Arkansas,Amount from General Fund,,2013
Arkansas,Amount from General Fund,5172663,2013_old
Arkansas,Amount of Budget from SRF,Included,2012
Arkansas,Amount of Budget from SRF,Included,2011_old
Arkansas,Amount of Budget from SRF,Included,2013
Arkansas,Environmental Agency Budget,108581950,2012
Arkansas,Environmental Agency Budget,104453527,2014
Arkansas,Environmental Agency Budget,104582757,2015
Arkansas,Environmental Agency Budget,110723336,2011_old
Arkansas,Environmental Agency Budget,108848774,2013
Arkansas,Environmental Agency Budget,108848774,2013_old
Arkansas,Percent from Federal Government,18.90,2012
Arkansas,Percent from Federal Government,,2014
Arkansas,Percent from Federal Government,,2015
Arkansas,Percent from Federal Government,21.20,2011_old
Arkansas,Percent from Federal Government,19.30,2013
Arkansas,Percent from Federal Government,,2013_old
Arkansas,Percent from Fees / Other,76.40,2012
Arkansas,Percent from Fees / Other,,2014
Arkansas,Percent from Fees / Other,,2015
Arkansas,Percent from Fees / Other,74.60,2011_old
Arkansas,Percent from Fees / Other,76.00,2013
Arkansas,Percent from Fees / Other,,2013_old
Arkansas,Percent from General Fund,4.70,2012
Arkansas,Percent from General Fund,,2014
Arkansas,Percent from General Fund,,2015
Arkansas,Percent from General Fund,4.20,2011_old
Arkansas,Percent from General Fund,4.70,2013
Arkansas,Percent from General Fund,,2013_old
Arkansas,Status of Budget,Final,2012
Arkansas,Status of Budget,Final,2014
Arkansas,Status of Budget,Final,2015
Arkansas,Status of Budget,Progress,2011_old
Arkansas,Status of Budget,Adopted,2013
Arkansas,Status of Budget,Final,2013_old
California,Amount from Bonds,,2012
California,Amount from Bonds,,2011_old
California,Amount from Bonds,,2013
California,Amount from Federal Government,318427000,2014
California,Amount from Federal Government,345705000,2015
California,Amount from Federal Government,192695123,2013_old
California,Amount from Fees / Other,,2012
California,Amount from Fees / Other,3109873000,2014
California,Amount from Fees / Other,4372129000,2015
California,Amount from Fees / Other,,2011_old
California,Amount from Fees / Other,,2013
California,Amount from Fees / Other,2636334000,2013_old
California,Amount from General Fund,,2012
California,Amount from General Fund,68680000,2014
California,Amount from General Fund,223556000,2015
California,Amount from General Fund,,2011_old
California,Amount from General Fund,,2013
California,Amount from General Fund,40818000,2013_old
California,Amount of Budget from SRF,186058000,2012
California,Amount of Budget from SRF,194766000,2011_old
California,Amount of Budget from SRF,,2013
California,Environmental Agency Budget,,2012
California,Environmental Agency Budget,,2011_old
California,Environmental Agency Budget,,2013
California,Environmental Agency Budget (No SRF),,2012
California,Environmental Agency Budget (No SRF),,2011_old
California,Environmental Agency Budget (No SRF),,2013
California,Environmental Agency Budget (SRF Added),1655859000,2012
California,Environmental Agency Budget (SRF Added),1666922000,2011_old
California,Environmental Agency Budget (SRF Added),1306741000,2013
California,Percent from Bonds,25.11,2012
California,Percent from Bonds,20.01,2011_old
California,Percent from Bonds,16.30,2013
California,Percent from Federal Government,,2014
California,Percent from Federal Government,,2015
California,Percent from Federal Government,,2013_old
California,Percent from Fees / Other,71.43,2012
California,Percent from Fees / Other,,2014
California,Percent from Fees / Other,,2015
