population_acs52014,per_capita_income_acs52014,Subdivision
0.0,-666666666.0,County subdivisions not defined
44750.0,36139.0,Barnstable Town
19749.0,34308.0,Bourne
9858.0,37792.0,Brewster
6129.0,47895.0,Chatham
14113.0,35132.0,Dennis
4932.0,37009.0,Eastham
31576.0,39256.0,Falmouth
12205.0,38555.0,Harwich
13988.0,36904.0,Mashpee
5874.0,44687.0,Orleans
2959.0,45910.0,Provincetown
20605.0,34671.0,Sandwich
1738.0,39408.0,Truro
3011.0,34711.0,Wellfleet
23680.0,33872.0,Yarmouth
8382.0,25229.0,Adams
471.0,55917.0,Alford
1790.0,41142.0,Becket
3211.0,29458.0,Cheshire
1580.0,30276.0,Clarksburg
6735.0,28880.0,Dalton
1062.0,38275.0,Egremont
788.0,28704.0,Florida
7029.0,31586.0,Great Barrington
726.0,31730.0,Hancock
2161.0,29997.0,Hinsdale
3064.0,35183.0,Lanesborough
5922.0,33023.0,Lee
5043.0,41337.0,Lenox
777.0,37632.0,Monterey
151.0,46383.0,Mount Washington
238.0,34355.0,New Ashford
1497.0,35610.0,New Marlborough
13563.0,22672.0,North Adams
1470.0,30741.0,Otis
871.0,30664.0,Peru
44226.0,26913.0,Pittsfield
1535.0,53641.0,Richmond
896.0,31261.0,Sandisfield
703.0,28282.0,Savoy
3230.0,35288.0,Sheffield
2127.0,44453.0,Stockbridge
418.0,48505.0,Tyringham
546.0,36788.0,Washington
1349.0,37105.0,West Stockbridge
7624.0,34533.0,Williamstown
879.0,34759.0,Windsor
10329.0,33318.0,Acushnet
43774.0,31032.0,Attleboro
6492.0,33277.0,Berkley
34384.0,30578.0,Dartmouth
7173.0,35008.0,Dighton
23548.0,39462.0,Easton
15971.0,31006.0,Fairhaven
88756.0,21201.0,Fall River
8957.0,34244.0,Freetown
23389.0,42293.0,Mansfield
94873.0,21181.0,New Bedford
28779.0,35517.0,North Attleborough
19280.0,32470.0,Norton
13517.0,34819.0,Raynham
11742.0,36452.0,Rehoboth
