State,BudgetDetail,value,Year
Alabama,Amount from Federal Government,16134988,2013_old
Alabama,Amount from Federal Government,16961056,2014
Alabama,Amount from Federal Government,18374332,2015
Alabama,Amount from Federal Government,18112231,2016
Alabama,Amount from Federal Government,18112231,2016_old
Alabama,Amount from Federal Government,18199899,2017
Alabama,Amount from Federal Government,18247625,2018
Alabama,Amount from Federal Government,20551150,2019
Alabama,Amount from Federal Government,17608505,2020
Alabama,Amount from Federal Government,15719115,2021
Alabama,Amount from Federal Government,17622324,2022
Alabama,Amount from Federal Government,17861420,2023
Alabama,Amount from Fees / Other,32198083,2013_old
Alabama,Amount from Fees / Other,33623919,2014
Alabama,Amount from Fees / Other,35759319,2015
Alabama,Amount from Fees / Other,35925915,2016
Alabama,Amount from Fees / Other,35925915,2016_old
Alabama,Amount from Fees / Other,36210958,2017
Alabama,Amount from Fees / Other,37097646,2018
Alabama,Amount from Fees / Other,36864643,2019
Alabama,Amount from Fees / Other,39240531,2020
Alabama,Amount from Fees / Other,41532868,2021
Alabama,Amount from Fees / Other,38614423,2022
Alabama,Amount from Fees / Other,41259346,2023
Alabama,Amount from General Fund,3019533,2013_old
Alabama,Amount from General Fund,827745,2014
Alabama,Amount from General Fund,829950,2015
Alabama,Amount from General Fund,280000,2016
Alabama,Amount from General Fund,280000,2016_old
Alabama,Amount from General Fund,400000,2017
Alabama,Amount from General Fund,575000,2018
Alabama,Amount from General Fund,575000,2019
Alabama,Amount from General Fund,4006734,2020
Alabama,Amount from General Fund,4000000,2021
Alabama,Amount from General Fund,5511600,2022
Alabama,Amount from General Fund,5528127,2023
Alabama,Amount of Budget from SRF,28352000,2011_old
Alabama,Amount of Budget from SRF,27088000,2012
Alabama,Environmental Agency Budget,51352605,2013_old
Alabama,Environmental Agency Budget,51412720,2014
Alabama,Environmental Agency Budget,54963601,2015
Alabama,Environmental Agency Budget,54318146,2016
Alabama,Environmental Agency Budget,54318146,2016_old
Alabama,Environmental Agency Budget,54810857,2017
Alabama,Environmental Agency Budget,55920271,2018
Alabama,Environmental Agency Budget,57990793,2019
Alabama,Environmental Agency Budget,60855770,2020
Alabama,Environmental Agency Budget,61251982,2021
Alabama,Environmental Agency Budget,61748346,2022
Alabama,Environmental Agency Budget,64648892,2023
Alabama,Environmental Agency Budget (SRF Added),86511168,2011_old
Alabama,Environmental Agency Budget (SRF Added),90605689,2012
Alabama,Environmental Agency Budget (SRF Added),63364884,2013
Alabama,Percent from Federal Government,39.80,2011_old
