,incidentId,incidentNumber,incidentDate,incidentTime,amPm,reporterClass,eventType,permiteeClass,permiteeName,permiteeId,outfallId,municipality,reportingType,location,latitude,longitude,waterBody,waterBodyDescription,volumnOfEvent,rainfallData,hours,minutes,month,additionalInformation,submittedDate,parentIncidentId,Year
0,a7ea2396-94ad-4c08-b25a-26d6a0b52257,22000420,2022-09-06 14:02:15,5:26,AM,Public Notification Report,CSO – Treated,CSO,CITY OF WORCESTER,MA0102997,,,Initial-Ceased,,,,,,,,,,,,2022-09-07 09:38:48.103,,2022.0
1,abdc4dbb-8aed-4d3f-ade4-6b37288c669c,22000020,2022-06-30 00:00:00,6:30,PM,Public Notification Report,SSO – Failure of Pump Station or Associated Force Main,Non-CSO,AGAWAM DEPARTMENT OF PUBLIC WORKS,,,,Initial-Ceased,Other,42.0871,-72.6156,Other,Westfield River,,,,,,,2022-07-08 12:54:34.383,,2022.0
2,aa1211f5-79ee-4cac-9951-bdf83e2ab388,22000141,2022-07-28 00:00:00,1:00,PM,Public Notification Report,SSO – Discharge Through Wastewater Outfall,Non-CSO,"QUINCY, CITY OF",,,,Initial-Ongoing,,,,,,,,,,,all sewage was contained to catch basin sump and was vacuumed out during ,2022-08-10 13:43:09.317,,2022.0
3,166b8c6f-97c4-4131-a4d8-f4cce43550a1,22000030,2022-07-12 12:49:37,1:11,PM,Public Notification Report,CSO – Treated,CSO,,,,,Initial-Ceased,,,,,,,,,,,,2022-07-13 13:12:08.710,,2022.0
4,79d0098f-50ed-4592-a296-98daf9894ea2,23003424,2023-06-06 16:47:58,09:46,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,WEST SPRINGFIELD DEPARTMENT OF PUBLIC WORKS,,,WEST SPRINGFIELD,Initial-Ceased,Other,42.10037,-72.650419,Other,Westfield river,,,,,,"Report of Discharge was 8:50AM: Discovery and verification of SSO was 9:45 AM, Public Notice was issued at 11:45 AM, Cause of SSO was determined to be buildup of ""Flushable"" Wipes",2023-06-06 17:04:29.037,,2023.0
5,9ddc5880-17f4-49ab-8667-a688197beddc,23002361,2023-02-03 13:09:55,09:00,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,WEST SPRINGFIELD DEPARTMENT OF PUBLIC WORKS,,,WEST SPRINGFIELD,Initial-Ceased,Other,42.108056,-72.6775,Other,Westfield river,,,,,,"Report of Discharge was 9:00AM: Discovery and verification of SSO was 10:03 AM,  Public Notice was issued at 12:03 PM ",2023-02-03 13:31:42.690,,2023.0
6,f0cd4de9-e279-4e35-a647-71c17fbb948c,23007119,2023-06-06 00:00:00,09:45,,Verified Data Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,WEST SPRINGFIELD DEPARTMENT OF PUBLIC WORKS,,,WEST SPRINGFIELD,,Other,42.10037,-72.650419,Other,Westfield river,3750.0,0.0,5.0,0.0,,The Form would not let Town Staff modify fields on this page. See MassDEP notification form (attached) for details.,2023-12-14 15:57:33.830,,2023.0
7,443cc940-9891-47a8-a5ad-252d3d6aa35d,24007698,2024-01-12 18:24:01,09:00,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,WEST SPRINGFIELD DEPARTMENT OF PUBLIC WORKS,,,WEST SPRINGFIELD,Initial-Ceased,Other,42.111908838481,-72.68130417963,Other,"Paucatuck Brook, Westfield River, Connecticut River",,,,,,,2024-01-12 19:18:15.883,,2024.0
8,ce579f14-2a14-4484-8ff8-00dd5b3b55cc,23002361-1,2023-02-03 00:00:00,09:00,,Verified Data Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,WEST SPRINGFIELD DEPARTMENT OF PUBLIC WORKS,,,WEST SPRINGFIELD,,Other,42.108056,-72.6775,Other,Westfield river,1875.0,0.0,5.0,0.0,,The Form would not let Town Staff modify fields on this page.  See MassDEP notification form (attached) for details.,2023-03-15 12:54:26.687,,2023.0
9,2ccdd18a-7899-4585-bc89-16369d740095,24010593,2024-07-24 08:09:49,06:47,,Public Notification Report,SSO – Failure of Pump Station or Associated Force Main,CSO,SPRINGFIELD WATER & SEWER COMMISSION,MA0101613,,AGAWAM,Initial-Ceased,Other,,,Other,Connecticut River,,,,,,,2024-07-24 08:13:34.833,,2024.0
