Year,PWSName,ContaminantGroup,RaworFinished,Result
1978,LANCASTER WATER DEPARTMENT,RADIO,F,1
1984,LANCASTER WATER DEPARTMENT,RADIO,F,1
1987,LANCASTER WATER DEPARTMENT,RADIO,F,1
1987,MEDFIELD STATE HOSPITAL,RADIO,F,1
1987,NORTON WATER DEPARTMENT,NITRAT,F,1
1988,155 SWANSON RD   SYNQOR,NITRAT,F,1
1988,155 SWANSON RD   SYNQOR,VOC,F,6
1988,ACUSHNET WATER DEPARTMENT,PCE,F,3
1988,AMHERST DPW  WATER DIVISION,VOC,F,4
1988,BRAINTREE WATER AND SEWER DEPT.,VOC,F,1
1988,BURLINGTON WATER DEPT,VOC,F,7
1988,CONCORD WATER DEPT,VOC,F,6
1988,HANSCOM AFB,VOC,F,8
1988,HAVERHILL WATER DEPT,VOC,F,8
1988,"HOLDEN WATER DIVISION, DPW",VOC,F,4
1988,HOLLISTON WATER DEPARTMENT,VOC,F,1
1988,"HYANNIS WATER SYSTEM, TOWN OF BARNSTABLE",VOC,F,22
1988,LYNN WATER AND SEWER COMM,VOC,F,3
1988,MANSFIELD WATER DIVISION,VOC,F,8
1988,NORTH ATTLEBORO WATER DEPT,VOC,F,9
1988,PEABODY WATER DEPT.,VOC,F,3
1988,PLYMOUTH WATER DEPARTMENT,VOC,F,5
1988,PLYMOUTH WATER DEPARTMENT,VOC,R,1
1988,RANDOLPH/HOLBROOK JOINT WATER BOARD,VOC,F,1
1988,READING WATER DEPARTMENT (MWRA),VOC,R,8
1988,SUDBURY WATER DISTRICT,VOC,F,3
1988,WAKEFIELD WATER DEPT,VOC,F,7
1988,WALPOLE WATER DEPT,VOC,F,1
1988,WEST SPRINGFIELD DPW WATER DIVISION,VOC,F,4
1988,WILMINGTON WATER DEPT,VOC,R,1
1988,"WORCESTER DPWP, WATER SUPPLY DIVISION",VOC,F,2
1988,YMCA CAMP WEETAMO,NITRAT,F,1
1988,YMCA CAMP WEETAMO,SODIUM,F,1
1989,ADAMS FIRE DISTRICT,VOC,F,1
1989,AMESBURY DPW  WATER DIV.,VOC,F,3
1989,AMHERST DPW  WATER DIVISION,PCE,F,5
1989,AMHERST DPW  WATER DIVISION,VOC,F,9
1989,ANDOVER WATER DEPT,VOC,F,2
1989,AQUARION WATER COMPANY OXFORD,VOC,F,11
1989,ASHBURNHAM WATER DEPARTMENT,VOC,F,3
1989,ATTLEBORO WATER DEPT,VOC,F,1
1989,AUBURN WATER DISTRICT,VOC,F,3
1989,BARNSTABLE FIRE DISTRICT,VOC,F,16
1989,BEDFORD WATER DEPT.,VOC,F,9
1989,BEVERLY WATER DEPT,VOC,F,3
1989,BILLERICA WATER WORKS,VOC,F,3
1989,BOURNE WATER DISTRICT,VOC,F,11
1989,BRAINTREE WATER AND SEWER DEPT.,VOC,F,1
1989,BREWSTER WATER DEPARTMENT,VOC,F,3
1989,BROCKTON WATER DEPARTMENT,VOC,F,6
1989,BURLINGTON WATER DEPT,VOC,F,5
1989,BUZZARDS BAY WATER DISTRICT,VOC,F,7
1989,CAMBRIDGE WATER DEPARTMENT,VOC,F,3
1989,CANTON WATER DEPT,VOC,F,2
1989,CENTERVILLE OSTERVILLE MARSTONS MILLS WD,VOC,F,13
1989,CHATHAM WATER DEPARTMENT,VOC,F,9
1989,CHELMSFORD WATER DISTRICT,VOC,F,15
1989,CHICOPEE WATER DEPT (MWRA),VOC,F,1
1989,CITY OF NEW BEDFORD DPI,VOC,F,3
1989,COHASSET WATER DEPT,VOC,F,9
1989,CONCORD WATER DEPT,VOC,F,5
1989,COTUIT FIRE DISTRICT  WATER DEPARTMENT,VOC,F,8
1989,DALTON FIRE DISTRICT,VOC,F,4
1989,DANVERS WATER DEPT.,VOC,F,17
1989,DEDHAM WESTWOOD WATER DIST.,VOC,F,31
1989,DENNIS WATER DISTRICT,VOC,F,23
1989,DEVENS  MASSDEVELOPMENT,VOC,F,26
1989,DIGHTON WATER DISTRICT,VOC,F,8
1989,DUCK FARM SPRINGS WATER CO.,VOC,F,3
1989,DUXBURY WATER DEPARTMENT,VOC,F,7
1989,EASTHAMPTON WATER DEPT,VOC,F,4
1989,EDGARTOWN WATER DEPARTMENT,VOC,F,5
1989,FAIRHAVEN WATER DEPT,VOC,F,6
1989,FALL RIVER WATER DEPARTMENT,VOC,F,4
1989,FALMOUTH WATER DEPT,VOC,F,15
1989,FALMOUTH WATER DEPT,VOC,R,5
1989,FRAMINGHAM WATER DEPT. (MWRA),VOC,F,2
1989,GLOUCESTER PUBLIC UTILITY DIVISION,VOC,F,11
1989,GRAFTON WATER DISTRICT,VOC,F,1
1989,HALIFAX WATER DEPARTMENT,VOC,F,4
1989,HANOVER WATER DEPT,VOC,F,11
1989,HANSCOM AFB,VOC,F,25
1989,HANSON WATER DEPARTMENT,VOC,F,16
1989,HARWICH WATER DEPARTMENT,VOC,F,19
1989,HAVERHILL WATER DEPT,VOC,F,11
1989,HIGH WOOD WATER COMPANY,VOC,F,6
1989,"HOLDEN WATER DIVISION, DPW",VOC,F,5
1989,HOLYOKE WATER WORKS,VOC,F,4
1989,HUDSON WATER SUPPLY,VOC,F,13
1989,"HYANNIS WATER SYSTEM, TOWN OF BARNSTABLE",VOC,F,52
1989,KINGSTON WATER DEPARTMENT,VOC,F,1
1989,LEE WATER DEPT,VOC,F,4
1989,LEICESTER WATER SUPPLY DISTRICT,VOC,F,6
1989,LENOX DPW WATER DIVISION,VOC,F,4
1989,LEOMINSTER WATER DIVISION,VOC,F,3
1989,LINCOLN WATER DEPT,VOC,F,2
1989,LITTLETON WATER DEPARTMENT,VOC,F,2
1989,LOWELL REGIONAL WATER UTILITY,VOC,F,3
1989,LUDLOW WATER DEPT (SPRINGFIELD W&SC),VOC,F,2
1989,LYNN WATER AND SEWER COMM,VOC,F,15
1989,MANCHESTER BY THE SEA DPW,VOC,F,2
1989,MANSFIELD WATER DIVISION,VOC,F,4
