ChemicalName,Class,CollectedDate,ContaminantGroup,Id,LocationName,PWSId,PWSName,RaworFinished,Result,Town
TOTAL TRIHALOMETHANES,COM,2017-05-09T00:00:00,THM,1744963,WILLARD SCHOOL,3067000,CONCORD WATER DEPT,F,15.50000000,CONCORD
"TRANS-1,2-DICHLOROETHYLENE",NC,2017-07-24T00:00:00,VOC,1744953,WELL #1 - PINE HILL,2125006,CAMP GREEN EYRE GIRL SCOUT CAMP,F,0.00000000,HARVARD
"1,3,5-TRIMETHYLBENZENE",COM,2017-07-17T00:00:00,VOC,1744943,ROCKLAND AVE. WTP: TREATED (BLEND),2174000,"MAYNARD DPW, WATER DIVISION",F,0.00000000,MAYNARD
"1,1,2-TRICHLOROETHANE",COM,2017-07-20T00:00:00,VOC,1744933,ARENA WELLS #3 & #4,4020002,CENTERVILLE OSTERVILLE MARSTONS MILLS WD,F,0.00000000,BARNSTABLE
"1,2-DICHLOROETHANE",COM,2017-06-20T00:00:00,VOC,1744923,FINISHED: CHESTNUT ST. WTF,2141000,HUDSON WATER SUPPLY,F,0.00000000,HUDSON
N-BUTYLBENZENE,COM,2017-05-17T00:00:00,VOC,1744913,PATTON REPLACEMENT WELL: FINISHED WATER,2019001,DEVENS  MASSDEVELOPMENT,F,0.00000000,AYER
"1,1,2,2-TETRACHLOROETHANE",COM,2016-05-10T00:00:00,VOC,1744903,POINT OF ENTRY,1279000,SOUTHWICK WATER DEPT,F,0.00000000,SOUTHWICK
ALDICARB SULFOXIDE,COM,2012-04-02T00:00:00,SOC,1744893,WELL #1,2226008,BUFFUMVILLE HEIGHTS ESTATES CONDOMINIUM,F,0.00000000,OXFORD
CHLOROFORM,COM,2002-02-04T00:00:00,VOC,1744883,WELL # 1,4239045,PLYMOUTH WATER COMPANY,F,0.80000000,PLYMOUTH
IRON,NC,2015-06-15T00:00:00,SECCON,1744873,POINT OF ENTRY POST TREATMENT,1312010,WAGON WHEEL CAMPING AREA,F,0.00000000,WARWICK
METHYL TERTIARY BUTYL ETHER,NC,2009-09-23T00:00:00,VOC,1744863,BEDROCK WELL #1,2286011,MINUTEMAN AIRFIELD,F,0.00000000,STOW
NITRATE,COM,1993-04-21T00:00:00,NITRAT,1744853,RESERVOIR POINT OF ENTRY POST TREATMENT,1127000,HATFIELD WATER DEPT,F,0.50000000,HATFIELD
CARBON TETRACHLORIDE,COM,2012-01-25T00:00:00,VOC,1744843,RAW: GREEN ST. BEDROCK WELL (06G),2138000,HOPEDALE WATER DEPARTMENT,R,0.00000000,HOPEDALE
ALDRIN,COM,2007-01-18T00:00:00,SOC,1744833,GP WELL # 15,4075000,DENNIS WATER DISTRICT,F,0.00000000,DENNIS
IRON,NC,2017-03-28T00:00:00,SECCON,1744823,WELL #1: TREATED WATER (LEGION),2012012,ASHBY LEGION/GRANGE/CHURCH,F,0.18800000,ASHBY
DIBROMOCHLOROPROPANE,COM,2015-04-12T00:00:00,SOC,1744813,FINISHED: WELL # 2,2037014,LIBERTY HOUSE CONDOMINIUM,F,0.00000000,BOXBOROUGH
BROMOCHLOROMETHANE,NC,2012-06-05T00:00:00,VOC,1744803,WELL #1 (AFTER TREATMENT),2287028,MOBIL GAS STURBRIDGE,F,0.00000000,STURBRIDGE
CHLOROETHANE,COM,2007-10-13T00:00:00,VOC,1744793,WELL #2:  BACKUP WELL,3301002,RIVER CROSSING CONDOMINIUM,R,0.00000000,TYNGSBOROUGH
O-CHLOROTOLUENE,NTNC,2013-04-25T00:00:00,VOC,1744783,LIBRARY - KITCHEN,3269019,SHERBORN TOWN OFFICES; POLICE; LIBRARY,F,0.00000000,SHERBORN
ANTIMONY,NTNC,2014-02-10T00:00:00,INORG,1744773,WELL #1,2110003,TOUCHSTONE COMMUNITY SCHOOL,F,0.00000000,GRAFTON
DIBROMOCHLOROPROPANE,NTNC,1999-09-29T00:00:00,SOC,1744763,WELL #1,2034025,NASHOBA PARK,F,0.00000000,BOLTON
M-DICHLOROBENZENE,NTNC,2016-09-01T00:00:00,VOC,1744753,WELL #2,2241002,WACHUSETT MOUNTAIN SKI AREA,F,0.00000000,PRINCETON
HALOACETIC ACIDS,COM,2009-11-19T00:00:00,HAA5,1744743,272 DEAN STREET,4218000,NORTON WATER DEPARTMENT,F,0.00000000,NORTON
MANGANESE,COM,2014-12-16T00:00:00,SECCON,1744733,"BUILDING 18, UNIT 18A (AFTER POE DEVICE)",2054024,UPHAM FARMS CONDOMINIUMS,F,0.03200000,CHARLTON
VINYL CHLORIDE,COM,2013-01-10T00:00:00,VOC,1744723,MT. SKIRGO WELLS,4171000,MARSHFIELD WATER DEPARTMENT,F,0.00000000,MARSHFIELD
TETRACHLOROETHYLENE,COM,2016-05-31T00:00:00,PCE,1744713,YARMOUTH ROAD,4261000,SANDWICH WATER DISTRICT,F,0.00000000,SANDWICH
"1,3-DICHLOROPROPENE",NC,2017-07-26T00:00:00,VOC,1744707,WELL #2: FINISHED,2037030,MASS. AVE. GULF,F,0.00000000,BOXBOROUGH
P-CHLOROTOLUENE,COM,2013-03-28T00:00:00,VOC,1744703,WELL #2,2270011,MOHAWK VILLAGE APARTMENTS,F,0.00000000,SHIRLEY
CHLOROMETHANE,NTNC,2017-07-06T00:00:00,VOC,1744697,POINT OF ENTRY POST TREATMENT,1217003,NORTHFIELD MTN STATION  VISITOR CENTER,F,0.00000000,NORTHFIELD
ALDICARB SULFONE,COM,2016-08-01T00:00:00,SOC,1744693,RAW WATER: WELL #2,2032000,BLACKSTONE WATER DEPARTMENT,R,0.00000000,BLACKSTONE
M-DICHLOROBENZENE,COM,2017-07-20T00:00:00,VOC,1744687,GP WELL # 15 - HAYDEN,4020002,CENTERVILLE OSTERVILLE MARSTONS MILLS WD,F,0.00000000,BARNSTABLE
NITRITE,COM,2013-07-08T00:00:00,NITRIT,1744683,"FIRE STATION, 267 WOBURN ST.",3246000,READING WATER DEPARTMENT,F,0.04400000,READING
"1,2,4-TRIMETHYLBENZENE",NC,2017-06-20T00:00:00,VOC,1744677,WELL #1 (BEFORE TREATMENT),2287028,MOBIL GAS STURBRIDGE,R,0.00000000,STURBRIDGE
TETRACHLOROETHYLENE,NTNC,2015-04-14T00:00:00,VOC,1744673,WELL #1,2037021,60 AND 70 CODMAN HILL RD,F,0.00000000,BOXBOROUGH
TRICHLOROACETIC ACID,COM,2017-05-16T00:00:00,HAA5,1744667,FRIENDLYS   1855 BOSTON RD,1339000,WILBRAHAM WATER DEPT (MWRA),F,10.80000000,WILBRAHAM
CHLORDANE,COM,2016-07-25T00:00:00,SOC,1744663,DRAPER RD WELLS,3078006,COLONIAL WATER COMPANY,F,0.00000000,DOVER
"TRANS-1,2-DICHLOROETHYLENE",COM,2016-05-10T00:00:00,VOC,1744657,POINT OF ENTRY,1279000,SOUTHWICK WATER DEPT,F,0.00000000,SOUTHWICK
"1,1,2-TRICHLOROETHANE",COM,2011-11-30T00:00:00,VOC,1744653,"WELLS #3,#4 (01G,02G)",4310003,ONSET FIRE DISTRICT,F,0.00000000,WAREHAM
