DefContamLimitWithUnits,ResultWithUnit,ResultQualifierDescription,ReportingLimit,Id,PWSId,PWSName,Town,Class,ContaminantGroup,ChemicalName,CollectedDate,RaworFinished,Result,LocationName,SampleLocCode,LowerDetectLimit,AnalMeasQualif,AnalMeasQualifDesc,Rdl,Method,DetectionLimit,DefContamLimit,DefContamLimituom,RequiredDetectionLimit,LabRequiredDetectionLimit
,ND,,0.5000 UG/L,2190532,4247054,INDIAN HILLS PLAZA,REHOBOTH,NC,VOC,CHLOROFORM,2026-01-20,F,ND,WELL #1 POST TREATMENT,10000,UG/L,,,0.5,EPA 524.2,0.5,,,0.5,0.5000 UG/L
40 UG/L,ND,,0.1000 UG/L,7129321,2323002,MADDEN ESTATES,WEST BROOKFIELD,COM,SOC,METHOXYCHLOR,2025-05-12,F,ND,FINISHED: WELL #4,04G,UG/L,,,0.1,EPA 525.2,0.07,40.0,UG/L,0.8,0.0700 UG/L
,ND,,Not Recorded,2160253,4322000,WEST BRIDGEWATER WATER DEPT,WEST BRIDGEWATER,COM,SOC,METHOMYL,2008-11-05,F,ND,MANLEY STATION - END 2/22/2024,10024,UG/L,,,,EPA 531.1,0.5,,,2.2,0.5000 UG/L
,12.1 MG/L,,0.0100 MG/L,1577593,1043018,HARRINGTON PHYSICIAN SERVICES,BRIMFIELD,NC,SECCON,IRON,2023-01-04,R,12.1,WELL #2 RAW WATER,RW2,MG/L,,,0.01,EPA 200.7,0.01,,,0.3,0.0100 MG/L
0.0100 MG/L,ND,,0.00031000 MG/L,6303941,3347000,WOBURN WATER DEPT.,WOBURN,COM,INORG,ARSENIC,2022-02-01,R,ND,WELL A2 - RAW WATER,20013,MG/L,,,0.00031,EPA 200.8,0.00025,0.01,MG/L,0.025,0.0002 MG/L
,ND,,0.5000 UG/L,894215,2304018,BLACKSTONE VALLEY CANNABIS,UXBRIDGE,NTNC,VOC,SEC-BUTYLBENZENE,2023-07-20,F,ND,WELL 1: ENTRY POINT TAP,01G,UG/L,,,0.5,EPA 524.2,0.11,,,0.5,0.1100 UG/L
600 UG/L,ND,,Not Recorded,3170581,2110000,GRAFTON WATER DISTRICT,GRAFTON,COM,VOC,O-DICHLOROBENZENE,2012-08-02,F,ND,FOLLETTE ST. WELL WTP: AFTER TREATMENT,05G,UG/L,,,,EPA 524.2,0.5,600.0,UG/L,0.5,0.5000 UG/L
5 UG/L,ND,,0.5000 UG/L,2097737,4245002,NORTH RAYNHAM WATER DISTRICT,RAYNHAM,COM,VOC,CARBON TETRACHLORIDE,2024-07-29,F,ND,"KING PHILIP TREATMENT PLANT (01G,03G)",10003,UG/L,,,0.5,EPA 524.2,0.5,5.0,UG/L,0.5,0.5000 UG/L
1000 UG/L,ND,,0.5000 UG/L,240578,2332000,WESTMINSTER DEPARTMENT OF PUBLIC WORKS,WESTMINSTER,COM,VOC,TOLUENE,2024-07-25,F,ND,SHADY AVE TANK,TC007,UG/L,,,0.5,EPA 524.2,0.17,1000.0,UG/L,0.5,0.1700 UG/L
80 UG/L,5.49 UG/L,,Not Recorded,3010773,2215000,NORTHBOROUGH WATER DEPARTMENT (MWRA),NORTHBOROUGH,COM,THM,TOTAL TRIHALOMETHANES,2016-11-02,F,5.49,90 RIDGE ROAD - 1ST WK OF MONTH,DBP 6,UG/L,,,,EPA 524.2,0.5,80.0,UG/L,1.0,0.5000 UG/L
