Id,Town,Program,EnforcementType,PenaltyAssessed,FacilityId,FacilityName,EnforcementDate
888115,TRURO,WATER SUPPLY/DRINKING WATER,Notice Of Non-Compliance,,6770,PILGRIM SPRING MOTEL,1996-05-12
920270,TEWKSBURY,REGULATED ACTIVITY(S),Notice Of Non-Compliance,,134212,MURO PHARMACEUTICAL INC,1996-01-03
920751,HAVERHILL,REGULATED ACTIVITY(S),Notice Of Non-Compliance,,162840,HALE HOSPITAL,1996-01-09
921162,LAWRENCE,REGULATED ACTIVITY(S),Notice Of Non-Compliance,,209498,FRUIT SALAD INC,1996-01-05
931836,LYNN,REGULATED ACTIVITY(S),Administrative Consent Order With Penalty,20000.0,260320,TURNER TRUCKING AND SALVAGE,1996-01-11
931881,WOBURN,REGULATED ACTIVITY(S),Notice Of Non-Compliance,,265382,KRAFT POWER CORP,1996-01-11
931936,GARDNER,REGULATED ACTIVITY(S),Notice Of Non-Compliance,,132615,NORTH CENTRAL CORRECTIONAL INSTITUTION,1996-01-08
931991,PEPPERELL,REGULATED ACTIVITY(S),Notice Of Non-Compliance,,130707,BEMIS COMPANY,1996-01-04
932900,COHASSET,REGULATED ACTIVITY(S),Notice Of Non-Compliance,,155236,ROBBINS GARAGE INC,1996-01-03
933229,,REGULATED ACTIVITY(S),Administrative Consent Order With Penalty,6000.0,171830,CYCLE SOLVE CORP,1996-01-19
933232,NORTH ANDOVER,REGULATED ACTIVITY(S),Notice Of Non-Compliance,,215714,MERRIMAC CARTAGE INC,1996-01-19
933706,CHELMSFORD,REGULATED ACTIVITY(S),Notice Of Non-Compliance,,130496,NASHUA CORPORATION,1996-01-22
933850,AUBURN,REGULATED ACTIVITY(S),Notice Of Non-Compliance,,161339,HIGHLAND SOUTHBRIDGE ASSOC,1996-01-12
933855,STERLING,REGULATED ACTIVITY(S),Notice Of Non-Compliance,,134342,WIREWAY HUSKY CORP,1996-01-12
934265,NATICK,REGULATED ACTIVITY(S),Notice Of Non-Compliance,,130699,INTERSTATE BRANDS CORP,1996-01-10
942117,WHITMAN,REGULATED ACTIVITY(S),Administrative Consent Order With Penalty,17500.0,271215,TRIPLE R DEVELOPMENT,1996-01-25
942189,NEWTON,REGULATED ACTIVITY(S),Notice Of Non-Compliance,,271143,ENVIRONMENTAL WASTE TECHNOLOGY INC,1996-01-19
942191,ROCHESTER,REGULATED ACTIVITY(S),Administrative Consent Order With Penalty,30000.0,271141,WASTE MANAGEMENT OF NEW HAMPSHIRE INC,1996-01-10
942399,STURBRIDGE,REGULATED ACTIVITY(S),Notice Of Non-Compliance,,342593,PHOTONIS SCIENTIFIC INC,1996-01-22
942432,WESTPORT,WATER SUPPLY/DRINKING WATER,Notice Of Non-Compliance,,6865,BITTERSWEET FARM INC,1996-01-22
942568,WALTHAM,REGULATED ACTIVITY(S),Notice Of Non-Compliance,,270519,EDMUND MARTIN,1996-01-25
942590,WOBURN,REGULATED ACTIVITY(S),Notice Of Non-Compliance,,130720,WOBURN STEEL DRUM,1996-01-25
942617,AUBURN,REGULATED ACTIVITY(S),Field Notice Of Non Compliance,,271255,WJ DIPIETRO INC,1996-01-30
942706,BROCKTON,REGULATED ACTIVITY(S),Notice Of Non-Compliance,,162934,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,1996-01-02
942719,FALL RIVER,REGULATED ACTIVITY(S),Notice Of Non-Compliance,,266039,FURNITURE DOCTOR THE,1996-01-16
942951,BEVERLY,REGULATED ACTIVITY(S),Notice Of Non-Compliance,,174595,SUPER PETROLEUM,1996-01-03
942957,SOMERVILLE,REGULATED ACTIVITY(S),Notice Of Non-Compliance,,265784,AMERICAN AUTO SALES,1996-01-11
943001,AUBURN,REGULATED ACTIVITY(S),Field Notice Of Non Compliance,,271480,ASAP SMALL ENGINE REPAIR,1996-02-02
943007,AUBURN,REGULATED ACTIVITY(S),Notice Of Non-Compliance,,149894,JAX WAX,1996-02-02
943057,AUBURN,REGULATED ACTIVITY(S),Notice Of Non-Compliance,,130185,REDMAN CARD CLOTHING CO,1996-01-25
943060,AUBURN,REGULATED ACTIVITY(S),Notice Of Non-Compliance,,132459,NORTHEAST FOODS INC,1996-02-02
945346,FRANKLIN,REGULATED ACTIVITY(S),Notice Of Non-Compliance,,132679,GEORGIA PACIFIC CORRUGATED I LLC,1996-02-02
945404,GRANBY,WATER SUPPLY/DRINKING WATER,Notice Of Non-Compliance,,209128,CRESCENT VALLEY CONDOS,1996-01-22
945406,STOCKBRIDGE,WATER SUPPLY/DRINKING WATER,Notice Of Non-Compliance,,5927,MILL POND PARK,1996-01-22
945773,NEW MARLBOROUGH,WATER SUPPLY/DRINKING WATER,Notice Of Non-Compliance,,7068,HILLSIDE RESTAURANT,1996-01-30
945775,LEE,WATER SUPPLY/DRINKING WATER,Notice Of Non-Compliance,,7031,BEAVER AUCTIONS & APPRAISALS,1996-01-30
945809,WORCESTER,REGULATED ACTIVITY(S),Field Notice Of Non Compliance,,153945,HOLDEN PLASTICS CORP,1996-02-08
945994,GRANBY,WATER SUPPLY/DRINKING WATER,Notice Of Non-Compliance,,6982,GRANBY CAFE,1996-01-23
945995,DEERFIELD,WATER SUPPLY/DRINKING WATER,Notice Of Non-Compliance,,6960,WOOLMAN HILL,1996-01-23
945996,CHARLEMONT,WATER SUPPLY/DRINKING WATER,Notice Of Non-Compliance,,6941,RED ROSE MOTEL,1996-01-23
945997,CHESHIRE,WATER SUPPLY/DRINKING WATER,Notice Of Non-Compliance,,6944,COUNTRY CHARM RESTAURANT,1996-01-23
945998,COLRAIN,WATER SUPPLY/DRINKING WATER,Notice Of Non-Compliance,,252432,AMERICAN FIBER AND FINISH,1996-01-23
945999,WILLIAMSTOWN,WATER SUPPLY/DRINKING WATER,Unilateral Administrative Order,,260831,ONEILLS CAFE,1996-01-23
946000,BLANDFORD,WATER SUPPLY/DRINKING WATER,Notice Of Non-Compliance,,6916,BLANDFORD SKI AREA,1996-01-23
946001,BRIMFIELD,WATER SUPPLY/DRINKING WATER,Notice Of Non-Compliance,,6922,WHITE COACH MOTEL,1996-01-23
946002,BRIMFIELD,WATER SUPPLY/DRINKING WATER,Notice Of Non-Compliance,,6923,BRIMFIELD MARKET,1996-01-23
946003,BRIMFIELD,WATER SUPPLY/DRINKING WATER,Notice Of Non-Compliance,,6927,FRANCESCOS ITALIAN RESTAURANT,1996-01-23
946004,BRIMFIELD,WATER SUPPLY/DRINKING WATER,Notice Of Non-Compliance,,6928,VILLA SOFIA,1996-01-23
946006,BELCHERTOWN,WATER SUPPLY/DRINKING WATER,Notice Of Non-Compliance,,226623,GRAPEVINE GRILLE,1996-01-23
946035,GRANBY,WATER SUPPLY/DRINKING WATER,Notice Of Non-Compliance,,251717,CHATEAU HARMONY,1996-01-23
946038,GRANVILLE,WATER SUPPLY/DRINKING WATER,Notice Of Non-Compliance,,185811,NOBLE AND COOLEY COMPANY,1996-01-23
946041,GREAT BARRINGTON,WATER SUPPLY/DRINKING WATER,Notice Of Non-Compliance,,187721,MADDEN OPEN HEART CLUB,1996-01-23
946046,EGREMONT,WATER SUPPLY/DRINKING WATER,Notice Of Non-Compliance,,251446,ELM COURT RESTAURANT AND INN,1996-01-23
946047,GRANBY,WATER SUPPLY/DRINKING WATER,Notice Of Non-Compliance,,6986,GRANBY MOTEL,1996-01-23
946072,GRANBY,WATER SUPPLY/DRINKING WATER,Notice Of Non-Compliance,,265446,GRANBY PUBLIC LIBRARY,1996-01-23
946075,ERVING,WATER SUPPLY/DRINKING WATER,Notice Of Non-Compliance,,6966,ERVING STATION,1996-01-23
946080,GOSHEN,WATER SUPPLY/DRINKING WATER,Notice Of Non-Compliance,,187709,SPRUCE CORNER RESTAURANT,1996-01-23
946087,GRANBY,WATER SUPPLY/DRINKING WATER,Notice Of Non-Compliance,,6979,BULLWINKLES LOUNGE INC,1996-01-23
946089,GREAT BARRINGTON,WATER SUPPLY/DRINKING WATER,Notice Of Non-Compliance,,6991,BOGIES RESTAURANT,1996-01-23
946092,GREAT BARRINGTON,WATER SUPPLY/DRINKING WATER,Notice Of Non-Compliance,,6996,BRIARCLIFF MOTEL,1996-01-23
