City_/_Town_(Receiving_Water),Applicant_/_Facility_Name,Permit_Number,Date_of_Issuance,City/Town,Facility_Name,Facility_name_clean,Permit_URL,Stage,State,Watershed,City_/_Town,Comment_Period_Dates
Ansonia (Naugatuck River),"<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0002968permit-2011.pdf'>Ansonia Copper &amp; Brass, Inc. (pdf)</a> <span class='document__meta'>(82 KB)</span>",CT0002968,08/15/2011,Ansonia,"<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0002968permit-2011.pdf'>Ansonia Copper &amp; Brass, Inc. (pdf)</a> <span class='document__meta'>(82 KB)</span>","Ansonia Copper & Brass, Inc. (pdf) (82 KB)",['https://www.epa.gov/system/files/documents/2025-08/finalct0002968permit-2011.pdf'],final,ct,Naugatuck River,,
Ansonia (Naugatuck River),"<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0002968permitmod-2011.pdf'>Ansonia Copper &amp; Brass, Inc. (Modification) (pdf)</a> <span class='document__meta'>(89 KB)</span>",CT0002968,02/14/2011,Ansonia,"<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0002968permitmod-2011.pdf'>Ansonia Copper &amp; Brass, Inc. (Modification) (pdf)</a> <span class='document__meta'>(89 KB)</span>","Ansonia Copper & Brass, Inc. (Modification) (pdf) (89 KB)",['https://www.epa.gov/system/files/documents/2025-08/finalct0002968permitmod-2011.pdf'],final,ct,Naugatuck River,,
Ansonia (Naugatuck River),"<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0002968permitmod-2008.pdf'>Ansonia Copper &amp; Brass, Inc. (pdf)</a> <span class='document__meta'>(39 KB)</span>",CT0002968,12/01/2008,Ansonia,"<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0002968permitmod-2008.pdf'>Ansonia Copper &amp; Brass, Inc. (pdf)</a> <span class='document__meta'>(39 KB)</span>","Ansonia Copper & Brass, Inc. (pdf) (39 KB)",['https://www.epa.gov/system/files/documents/2025-08/finalct0002968permitmod-2008.pdf'],final,ct,Naugatuck River,,
Ansonia (Naugatuck River),"<a href='https://www.epa.gov/system/files/documents/2025-09/finalct0002968permit-2006.pdf'>Ansonia Copper &amp; Brass, Inc. (pdf)</a> <span class='document__meta'>(759 KB)</span>",CT0002968,03/22/2006,Ansonia,"<a href='https://www.epa.gov/system/files/documents/2025-09/finalct0002968permit-2006.pdf'>Ansonia Copper &amp; Brass, Inc. (pdf)</a> <span class='document__meta'>(759 KB)</span>","Ansonia Copper & Brass, Inc. (pdf) (759 KB)",['https://www.epa.gov/system/files/documents/2025-09/finalct0002968permit-2006.pdf'],final,ct,Naugatuck River,,
Ansonia (Naugatuck River),"<a href='https://www.epa.gov/system/files/documents/2025-07/finalct0100013permitmod-2018.pdf'>Ansonia <abbr title='Water Pollution Control Facility'>WPCF</abbr>, City of (Minor Modification) (pdf)</a> <span class='document__meta'>(112 KB)</span>",CT0100013,02/22/2018,Ansonia,"<a href='https://www.epa.gov/system/files/documents/2025-07/finalct0100013permitmod-2018.pdf'>Ansonia <abbr title='Water Pollution Control Facility'>WPCF</abbr>, City of (Minor Modification) (pdf)</a> <span class='document__meta'>(112 KB)</span>","Ansonia WPCF, City of (Minor Modification) (pdf) (112 KB)",['https://www.epa.gov/system/files/documents/2025-07/finalct0100013permitmod-2018.pdf'],final,ct,Naugatuck River,,
Ansonia (Naugatuck River),"<a href='https://www.epa.gov/system/files/documents/2025-07/finalct0100013permit-2017.pdf'>Ansonia <abbr title='Water Pollution Control Facility'>WPCF</abbr>, City of (pdf)</a> <span class='document__meta'>(1.3 MB)</span>",CT0100013,11/27/2017,Ansonia,"<a href='https://www.epa.gov/system/files/documents/2025-07/finalct0100013permit-2017.pdf'>Ansonia <abbr title='Water Pollution Control Facility'>WPCF</abbr>, City of (pdf)</a> <span class='document__meta'>(1.3 MB)</span>","Ansonia WPCF, City of (pdf) (1.3 MB)",['https://www.epa.gov/system/files/documents/2025-07/finalct0100013permit-2017.pdf'],final,ct,Naugatuck River,,
Ansonia (Naugatuck River),"<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0100013permit-2012.pdf'>Ansonia <abbr title='Water Pollution Control Facility'>WPCF</abbr>, City of (pdf)</a> <span class='document__meta'>(2441 KB)</span>",CT0100013,12/17/2012,Ansonia,"<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0100013permit-2012.pdf'>Ansonia <abbr title='Water Pollution Control Facility'>WPCF</abbr>, City of (pdf)</a> <span class='document__meta'>(2441 KB)</span>","Ansonia WPCF, City of (pdf) (2441 KB)",['https://www.epa.gov/system/files/documents/2025-08/finalct0100013permit-2012.pdf'],final,ct,Naugatuck River,,
Ansonia (Naugatuck River),"<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0100013permitmod-2011.pdf'>Ansonia <abbr title='Water Pollution Control Facility'>WPCF</abbr>, City of (Modification) (pdf)</a> <span class='document__meta'>(88 KB)</span>",CT0100013,06/03/2011,Ansonia,"<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0100013permitmod-2011.pdf'>Ansonia <abbr title='Water Pollution Control Facility'>WPCF</abbr>, City of (Modification) (pdf)</a> <span class='document__meta'>(88 KB)</span>","Ansonia WPCF, City of (Modification) (pdf) (88 KB)",['https://www.epa.gov/system/files/documents/2025-08/finalct0100013permitmod-2011.pdf'],final,ct,Naugatuck River,,
Ansonia (Naugatuck River),"<a href='https://www.epa.gov/system/files/documents/2025-09/finalct0100013permit-2006.pdf'>Ansonia <abbr title='Water Pollution Control Authority'>WPCA</abbr>, City of (pdf)</a> <span class='document__meta'>(866 KB)</span>",CT0100013,06/30/2006,Ansonia,"<a href='https://www.epa.gov/system/files/documents/2025-09/finalct0100013permit-2006.pdf'>Ansonia <abbr title='Water Pollution Control Authority'>WPCA</abbr>, City of (pdf)</a> <span class='document__meta'>(866 KB)</span>","Ansonia WPCA, City of (pdf) (866 KB)",['https://www.epa.gov/system/files/documents/2025-09/finalct0100013permit-2006.pdf'],final,ct,Naugatuck River,,
Baltic (Shetucket River),<a href='https://www.epa.gov/system/files/documents/2025-09/finalct0100978permit-2005.pdf'>Sprague <abbr title='Wastewater Treatment Plant'>WWTP</abbr> (pdf)</a> <span class='document__meta'>(1 MB)</span>,CT0100978,12/23/2005,Baltic,<a href='https://www.epa.gov/system/files/documents/2025-09/finalct0100978permit-2005.pdf'>Sprague <abbr title='Wastewater Treatment Plant'>WWTP</abbr> (pdf)</a> <span class='document__meta'>(1 MB)</span>,Sprague WWTP (pdf) (1 MB),['https://www.epa.gov/system/files/documents/2025-09/finalct0100978permit-2005.pdf'],final,ct,Shetucket River,,
Bantam (Bantam River),"<a href='https://www.epa.gov/system/files/documents/2025-09/finalct0100803permit-2006.pdf'>Litchfield, Town of (pdf)</a> <span class='document__meta'>(167 KB)</span>",CT0100803,09/18/2006,Bantam,"<a href='https://www.epa.gov/system/files/documents/2025-09/finalct0100803permit-2006.pdf'>Litchfield, Town of (pdf)</a> <span class='document__meta'>(167 KB)</span>","Litchfield, Town of (pdf) (167 KB)",['https://www.epa.gov/system/files/documents/2025-09/finalct0100803permit-2006.pdf'],final,ct,Bantam River,,
Beacon Falls (Naugatuck River),"<a href='https://www.epa.gov/system/files/documents/2025-07/finalct0101061permit-2017.pdf'>Beacon Falls <abbr title='Publicly Owned Treatment Works'>POTW</abbr>, Town of (pdf)</a> <span class='document__meta'>(1.3 MB)</span>",CT0101061,05/17/2017,Beacon Falls,"<a href='https://www.epa.gov/system/files/documents/2025-07/finalct0101061permit-2017.pdf'>Beacon Falls <abbr title='Publicly Owned Treatment Works'>POTW</abbr>, Town of (pdf)</a> <span class='document__meta'>(1.3 MB)</span>","Beacon Falls POTW, Town of (pdf) (1.3 MB)",['https://www.epa.gov/system/files/documents/2025-07/finalct0101061permit-2017.pdf'],final,ct,Naugatuck River,,
Beacon Falls (Naugatuck River),"<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0101061permitmod-2011.pdf'>Beacon Falls <abbr title='Publicly Owned Treatment Works'>POTW</abbr>, Town of (Modification) (pdf)</a> <span class='document__meta'>(119 KB)</span>",CT0101061,06/06/2011,Beacon Falls,"<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0101061permitmod-2011.pdf'>Beacon Falls <abbr title='Publicly Owned Treatment Works'>POTW</abbr>, Town of (Modification) (pdf)</a> <span class='document__meta'>(119 KB)</span>","Beacon Falls POTW, Town of (Modification) (pdf) (119 KB)",['https://www.epa.gov/system/files/documents/2025-08/finalct0101061permitmod-2011.pdf'],final,ct,Naugatuck River,,
Berlin (Silver Lake),"<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0029947permit-2011.pdf'>Connecticut Department of Environmental Protection, Silver Lake Reclamation Project (pdf)</a> <span class='document__meta'>(688 KB)</span>",CT0029947,04/28/2011,Berlin,"<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0029947permit-2011.pdf'>Connecticut Department of Environmental Protection, Silver Lake Reclamation Project (pdf)</a> <span class='document__meta'>(688 KB)</span>","Connecticut Department of Environmental Protection, Silver Lake Reclamation Project (pdf) (688 KB)",['https://www.epa.gov/system/files/documents/2025-08/finalct0029947permit-2011.pdf'],final,ct,Silver Lake,,
Branford (Branford River),<a href='https://www.epa.gov/system/files/documents/2025-09/finalct0000159permit-2005.pdf'>Atlantic Wire Company (pdf)</a> <span class='document__meta'>(737 KB)</span>,CT0000159,12/08/2005,Branford,<a href='https://www.epa.gov/system/files/documents/2025-09/finalct0000159permit-2005.pdf'>Atlantic Wire Company (pdf)</a> <span class='document__meta'>(737 KB)</span>,Atlantic Wire Company (pdf) (737 KB),['https://www.epa.gov/system/files/documents/2025-09/finalct0000159permit-2005.pdf'],final,ct,Branford River,,
Branford (Branford Harbor),"<a href='https://www.epa.gov/system/files/documents/2025-06/finalct0100048permit-2020.pdf'>Branford <abbr title='Water Pollution Control Facility'>WPCF</abbr>, Town of (pdf)</a> <span class='document__meta'>(947 KB)</span>",CT0100048,01/03/2020,Branford,"<a href='https://www.epa.gov/system/files/documents/2025-06/finalct0100048permit-2020.pdf'>Branford <abbr title='Water Pollution Control Facility'>WPCF</abbr>, Town of (pdf)</a> <span class='document__meta'>(947 KB)</span>","Branford WPCF, Town of (pdf) (947 KB)",['https://www.epa.gov/system/files/documents/2025-06/finalct0100048permit-2020.pdf'],final,ct,Branford Harbor,,
