Assessment Unit,Waterbody,Watershed,Type,Size,Unit,Last Listed
MA51105,Mill Pond,Blackstone,FRESHWATER LAKE,12.0,ACRES,2014
MA51-10,Mill River,Blackstone,RIVER,16.2,MILES,2010
MA95-66,Little River,Buzzards Bay,ESTUARY,0.2,SQUARE MILES,2014
MA95150,Tremont Mill Pond,Buzzards Bay,FRESHWATER LAKE,30.7,ACRES,2014
MA96-69,Coonamessett River,Cape Cod,RIVER,3.4,MILES,2010
MA96-47,Crows Pond,Cape Cod,ESTUARY,0.2,SQUARE MILES,2010
MA96324,Upper Mill Pond,Cape Cod,FRESHWATER LAKE,247.4,ACRES,2010
MA36-01,East Branch Ware River,Chicopee,RIVER,12.4,MILES,2016
MA36-27,Ware River,Chicopee,RIVER,4.9,MILES,2016
MA82129,Meadow Pond,Concord,FRESHWATER LAKE,12.4,ACRES,2016
MA82096,Russell Millpond,Concord,FRESHWATER LAKE,32.9,ACRES,2014
MA82104,Stearns Mill Pond,Concord,FRESHWATER LAKE,19.1,ACRES,2014
MA34045,Loon Pond,Connecticut,FRESHWATER LAKE,25.1,ACRES,2014
MA33-08,South River,Deerfield,RIVER,13.0,MILES,2014
MA33020,Tannery Pond,Deerfield,FRESHWATER LAKE,0.5,ACRES,2014
MA42037,New Pond,French,FRESHWATER LAKE,33.0,ACRES,2014
MA42042,Peter Pond,French,FRESHWATER LAKE,42.0,ACRES,2014
MA11009,Mauserts Pond,Hoosic,FRESHWATER LAKE,50.9,ACRES,2014
MA21-01,East Branch Housatonic River,Housatonic,RIVER,11.3,MILES,2016
MA21-16,Karner Brook,Housatonic,RIVER,4.7,MILES,2014
MA21110,Upper Goose Pond,Housatonic,FRESHWATER LAKE,55.3,ACRES,2016
MA21-11,Wahconah Falls Brook,Housatonic,RIVER,3.4,MILES,2014
MA92031,Lower Boston Brook Pond,Ipswich,FRESHWATER LAKE,9.3,ACRES,2014
MA92035,Lubber Pond East,Ipswich,FRESHWATER LAKE,6.2,ACRES,2014
MA92036,Lubber Pond West,Ipswich,FRESHWATER LAKE,9.6,ACRES,2014
MA92-10,Wills Brook,Ipswich,RIVER,1.7,MILES,2014
MA97-27,Madaket Harbor,Islands,ESTUARY,1.4,SQUARE MILES,2014
MA97-20,Westend Pond,Islands,ESTUARY,0.1,SQUARE MILES,2014
MA84A-19,Martins Pond Brook,Merrimack,RIVER,2.3,MILES,2010
MA35-12,East Branch Tully River,Millers,RIVER,10.0,MILES,2014
MA35062,Ramsdall Pond,Millers,FRESHWATER LAKE,2.1,ACRES,2014
MA71-04,Alewife Brook,Mystic,RIVER,2.3,MILES,2016
MA71021,Judkins Pond,Mystic,FRESHWATER LAKE,2.8,ACRES,2010
MA71031,Mill Pond,Mystic,FRESHWATER LAKE,2.0,ACRES,2010
MA53-04,Palmer River,Narragansett Bay,RIVER,5.6,MILES,2014
MA81-61,Unnamed Tributary,Nashua,RIVER,0.3,MILES,2014
MA73002,Bird Pond,Neponset,FRESHWATER LAKE,20.4,ACRES,2010
MA73028,Manns Pond,Neponset,FRESHWATER LAKE,5.7,ACRES,2010
MA73-12,Mill Brook,Neponset,RIVER,3.1,MILES,2010
MA73044,Popes Pond,Neponset,FRESHWATER LAKE,6.0,ACRES,2010
MA73-06,School Meadow Brook,Neponset,RIVER,1.9,MILES,2014
MA73-17,Traphole Brook,Neponset,RIVER,3.9,MILES,2014
MA93-45,Alewife Brook,No. Coastal,RIVER,1.4,MILES,2014
MA93013,Cedar Pond,No. Coastal,FRESHWATER LAKE,34.0,ACRES,2016
MA93-17,Rockport Harbor,No. Coastal,ESTUARY,0.0,SQUARE MILES,2010
MA93-21,Salem Harbor,No. Coastal,ESTUARY,1.7,SQUARE MILES,2010
MA93-25,Salem Sound,No. Coastal,ESTUARY,8.0,SQUARE MILES,2010
MA91008,Lower Mill Pond,Parker,FRESHWATER LAKE,9.9,ACRES,2010
MA94006,Beaver Dam Pond,S. Coastal,FRESHWATER LAKE,29.2,ACRES,2016
MA94-23,Eel River,S. Coastal,RIVER,3.9,MILES,2014
MA94037,Forge Pond,S. Coastal,FRESHWATER LAKE,15.9,ACRES,2014
MA94038,Foundry Pond,S. Coastal,FRESHWATER LAKE,7.2,ACRES,2016
MA94-24,Iron Mine Brook,S. Coastal,RIVER,1.4,MILES,2014
MA83003,Butterfield Pond,Shawsheen,FRESHWATER LAKE,3.0,ACRES,2014
MA83-05,Elm Brook,Shawsheen,RIVER,5.0,MILES,2014
MA62029,Cabot Pond,Taunton,FRESHWATER LAKE,8.6,ACRES,2014
MA62063,East Freetown Pond,Taunton,FRESHWATER LAKE,11.1,ACRES,2018
MA62075,Fulton Pond,Taunton,FRESHWATER LAKE,9.3,ACRES,2014
MA62090,Hobart Pond,Taunton,FRESHWATER LAKE,9.0,ACRES,2014
MA62091,Hodges Pond,Taunton,FRESHWATER LAKE,7.0,ACRES,2014
MA62097,Johnson Pond,Taunton,FRESHWATER LAKE,13.5,ACRES,2016
MA62-39,Rumford River,Taunton,RIVER,8.0,MILES,2014
MA62172,Shovelshop Pond,Taunton,FRESHWATER LAKE,7.0,ACRES,2014
MA62185,Sweets Pond,Taunton,FRESHWATER LAKE,13.5,ACRES,2014
MA62112,Vandys Pond,Taunton,FRESHWATER LAKE,8.6,ACRES,2014
MA62-49,Wading River,Taunton,RIVER,9.7,MILES,2014
MA62228,Whittenton Impoundment,Taunton,FRESHWATER LAKE,20.0,ACRES,2014
MA32-23,Moose Meadow Brook,Westfield,RIVER,8.2,MILES,2014
MA32-05,Westfield River,Westfield,RIVER,17.8,MILES,2014
MA74028,Ice House Pond,Weymouth & Weir,FRESHWATER LAKE,0.6,ACRES,2010
