Assessment Unit,Waterbody,Watershed,Type,Size,Unit,Last Listed,Causes
MA95-66,Little River,Buzzards Bay,ESTUARY,0.2,SQUARE MILES,2014,Nitrogen (Total)
MA96-69,Coonamessett River,Cape Cod,RIVER,3.4,MILES,2010,Nitrogen (Total)
MA96-47,Crows Pond,Cape Cod,ESTUARY,0.2,SQUARE MILES,2010,Nitrogen (Total)
MA96324,Upper Mill Pond,Cape Cod,FRESHWATER LAKE,247.4,ACRES,2010,"Excess Algal Growth; Oxygen, Dissolved; Phosphorus (Total); Turbidity"
MA36-01,East Branch Ware River,Chicopee,RIVER,12.4,MILES,2016,"Oxygen, Dissolved"
MA36-27,Ware River,Chicopee,RIVER,4.9,MILES,2016,"Oxygen, Dissolved; Temperature, water"
MA11009,Mauserts Pond,Hoosic,FRESHWATER LAKE,50.9,ACRES,2014,Enterococcus
MA21-01,East Branch Housatonic River,Housatonic,RIVER,11.3,MILES,2016,Fecal Coliform; PCB in Fish Tissue
MA21-11,Wahconah Falls Brook,Housatonic,RIVER,3.4,MILES,2014,Fecal Coliform
MA92-10,Wills Brook,Ipswich,RIVER,1.7,MILES,2014,"Fecal Coliform; Oxygen, Dissolved"
MA97-27,Madaket Harbor,Islands,ESTUARY,1.4,SQUARE MILES,2014,Fecal Coliform
MA97-20,Westend Pond,Islands,ESTUARY,0.1,SQUARE MILES,2014,Fecal Coliform
MA73-12,Mill Brook,Neponset,RIVER,3.1,MILES,2010,Fecal Coliform
MA73-06,School Meadow Brook,Neponset,RIVER,1.9,MILES,2014,Fecal Coliform
MA73-17,Traphole Brook,Neponset,RIVER,3.9,MILES,2014,Fecal Coliform
MA93-45,Alewife Brook,No. Coastal,RIVER,1.4,MILES,2014,Fecal Coliform
MA94-24,Iron Mine Brook,S. Coastal,RIVER,1.4,MILES,2014,Fecal Coliform
MA32-05,Westfield River,Westfield,RIVER,17.8,MILES,2014,Aquatic Macroinvertebrate Bioassessments; Excess Algal Growth; Taste and Odor; Turbidity
