Assessment Unit,Waterbody,Watershed,Type,Size,Unit,Last Listed,Causes
MA51105,Mill Pond,Blackstone,FRESHWATER LAKE,12.0,ACRES,2014,Turbidity
MA51-10,Mill River,Blackstone,RIVER,16.2,MILES,2010,Aquatic Plants (Macrophytes); Non-Native Aquatic Plants; Other; PCB in Fish Tissue
MA95150,Tremont Mill Pond,Buzzards Bay,FRESHWATER LAKE,30.7,ACRES,2014,Non-Native Aquatic Plants
MA82096,Russell Millpond,Concord,FRESHWATER LAKE,32.9,ACRES,2014,Non-Native Aquatic Plants; Other flow regime alterations
MA82104,Stearns Mill Pond,Concord,FRESHWATER LAKE,19.1,ACRES,2014,Aquatic Plants (Macrophytes); Dissolved oxygen saturation; Excess Algal Growth; Non-Native Aquatic Plants; Phosphorus (Total); Turbidity
MA33-08,South River,Deerfield,RIVER,13.0,MILES,2014,Fecal Coliform; Physical substrate habitat alterations
MA21-16,Karner Brook,Housatonic,RIVER,4.7,MILES,2014,Low flow alterations
MA92031,Lower Boston Brook Pond,Ipswich,FRESHWATER LAKE,9.3,ACRES,2014,Non-Native Aquatic Plants
MA92035,Lubber Pond East,Ipswich,FRESHWATER LAKE,6.2,ACRES,2014,Non-Native Aquatic Plants; Sedimentation/Siltation
MA92036,Lubber Pond West,Ipswich,FRESHWATER LAKE,9.6,ACRES,2014,Non-Native Aquatic Plants; Sedimentation/Siltation
MA35-12,East Branch Tully River,Millers,RIVER,10.0,MILES,2014,PCB in Fish Tissue
MA71-04,Alewife Brook,Mystic,RIVER,2.3,MILES,2016,"Copper; Debris/Floatables/Trash; Fecal Coliform; Foam/Flocs/Scum/Oil Slicks; Lead; Oxygen, Dissolved; Phosphorus (Total); Taste and Odor"
MA71021,Judkins Pond,Mystic,FRESHWATER LAKE,2.8,ACRES,2010,"Fecal Coliform; Oxygen, Dissolved; Phosphorus (Total)"
MA71031,Mill Pond,Mystic,FRESHWATER LAKE,2.0,ACRES,2010,"Fecal Coliform; Oxygen, Dissolved"
MA53-04,Palmer River,Narragansett Bay,RIVER,5.6,MILES,2014,Fecal Coliform; Low flow alterations; Nutrient/Eutrophication Biological Indicators
MA81-61,Unnamed Tributary,Nashua,RIVER,0.3,MILES,2014,Escherichia coli
MA73002,Bird Pond,Neponset,FRESHWATER LAKE,20.4,ACRES,2010,PCB in Fish Tissue
MA73028,Manns Pond,Neponset,FRESHWATER LAKE,5.7,ACRES,2010,Non-Native Aquatic Plants; Turbidity
MA73044,Popes Pond,Neponset,FRESHWATER LAKE,6.0,ACRES,2010,Aquatic Plants (Macrophytes); Turbidity
MA93-17,Rockport Harbor,No. Coastal,ESTUARY,0.0,SQUARE MILES,2010,Fecal Coliform
MA93-21,Salem Harbor,No. Coastal,ESTUARY,1.7,SQUARE MILES,2010,Estuarine Bioassessments; Fecal Coliform
MA93-25,Salem Sound,No. Coastal,ESTUARY,8.0,SQUARE MILES,2010,Fecal Coliform
MA91008,Lower Mill Pond,Parker,FRESHWATER LAKE,9.9,ACRES,2010,Aquatic Plants (Macrophytes); Excess Algal Growth; Non-Native Aquatic Plants
MA94006,Beaver Dam Pond,S. Coastal,FRESHWATER LAKE,29.2,ACRES,2016,Non-Native Aquatic Plants
MA94-23,Eel River,S. Coastal,RIVER,3.9,MILES,2014,Fish-Passage Barrier; Non-Native Aquatic Plants
MA94037,Forge Pond,S. Coastal,FRESHWATER LAKE,15.9,ACRES,2014,Chlorophyll-a; Debris/Floatables/Trash; Dissolved oxygen saturation; Excess Algal Growth; Fecal Coliform; Non-Native Aquatic Plants; Phosphorus (Total); Secchi disk transparency
MA94038,Foundry Pond,S. Coastal,FRESHWATER LAKE,7.2,ACRES,2016,Turbidity
MA83003,Butterfield Pond,Shawsheen,FRESHWATER LAKE,3.0,ACRES,2014,Aquatic Plants (Macrophytes); Turbidity
MA83-05,Elm Brook,Shawsheen,RIVER,5.0,MILES,2014,Fecal Coliform; Physical substrate habitat alterations; Turbidity
MA62029,Cabot Pond,Taunton,FRESHWATER LAKE,8.6,ACRES,2014,"Dioxin (including 2,3,7,8-TCDD); Pentachlorophenol (PCP)"
MA62063,East Freetown Pond,Taunton,FRESHWATER LAKE,11.1,ACRES,2018,Non-Native Aquatic Plants
MA62075,Fulton Pond,Taunton,FRESHWATER LAKE,9.3,ACRES,2014,"Dioxin (including 2,3,7,8-TCDD); Pentachlorophenol (PCP)"
MA62090,Hobart Pond,Taunton,FRESHWATER LAKE,9.0,ACRES,2014,Non-Native Aquatic Plants; Turbidity
MA62091,Hodges Pond,Taunton,FRESHWATER LAKE,7.0,ACRES,2014,"Dioxin (including 2,3,7,8-TCDD); Pentachlorophenol (PCP)"
MA62097,Johnson Pond,Taunton,FRESHWATER LAKE,13.5,ACRES,2016,Non-Native Aquatic Plants
MA62-39,Rumford River,Taunton,RIVER,8.0,MILES,2014,"Aquatic Macroinvertebrate Bioassessments; Dioxin (including 2,3,7,8-TCDD); Fecal Coliform; Fishes Bioassessments; Pentachlorophenol (PCP); Physical substrate habitat alterations; Sedimentation/Siltation"
MA62172,Shovelshop Pond,Taunton,FRESHWATER LAKE,7.0,ACRES,2014,Non-Native Aquatic Plants
MA62185,Sweets Pond,Taunton,FRESHWATER LAKE,13.5,ACRES,2014,Non-Native Aquatic Plants
MA62112,Vandys Pond,Taunton,FRESHWATER LAKE,8.6,ACRES,2014,Non-Native Aquatic Plants
MA62-49,Wading River,Taunton,RIVER,9.7,MILES,2014,Fecal Coliform
MA62228,Whittenton Impoundment,Taunton,FRESHWATER LAKE,20.0,ACRES,2014,Non-Native Aquatic Plants
MA32-23,Moose Meadow Brook,Westfield,RIVER,8.2,MILES,2014,Fecal Coliform; Turbidity
MA74028,Ice House Pond,Weymouth & Weir,FRESHWATER LAKE,0.6,ACRES,2010,Chlordane; DDT
