reportingCycle,auId,waterbody,watershed,waterType,auSize,sizeUnit,useClass,category,designatedUse,attainment,cause,source,tmdlId,hasTmdl
2010,MA11-01,North Branch Hoosic River,Hoosic,RIVER,4.281,MILES,B,2,Aesthetic,Fully Supporting,,,,0
2010,MA11-01,North Branch Hoosic River,Hoosic,RIVER,4.281,MILES,B,2,Fish Consumption,Not Assessed,,,,0
2010,MA11-01,North Branch Hoosic River,Hoosic,RIVER,4.281,MILES,B,2,Aquatic Life,Fully Supporting,,,,0
2010,MA11-01,North Branch Hoosic River,Hoosic,RIVER,4.281,MILES,B,2,Primary Contact Recreation,Fully Supporting,,,,0
2010,MA11-01,North Branch Hoosic River,Hoosic,RIVER,4.281,MILES,B,2,Secondary Contact Recreation,Fully Supporting,,,,0
2010,MA11-02,North Branch Hoosic River,Hoosic,RIVER,1.537,MILES,B,5,Aesthetic,Not Assessed,,,,0
2010,MA11-02,North Branch Hoosic River,Hoosic,RIVER,1.537,MILES,B,5,Fish Consumption,Not Assessed,,,,0
2010,MA11-02,North Branch Hoosic River,Hoosic,RIVER,1.537,MILES,B,5,Aquatic Life,Not Supporting,Other flow regime alterations,Channelization,,0
2010,MA11-02,North Branch Hoosic River,Hoosic,RIVER,1.537,MILES,B,5,Aquatic Life,Not Supporting,Other flow regime alterations,Streambank Modifications/destabilization,,0
2010,MA11-02,North Branch Hoosic River,Hoosic,RIVER,1.537,MILES,B,5,Aquatic Life,Not Supporting,Alteration in stream-side or littoral vegetative covers,Channelization,,0
2010,MA11-02,North Branch Hoosic River,Hoosic,RIVER,1.537,MILES,B,5,Aquatic Life,Not Supporting,Alteration in stream-side or littoral vegetative covers,Streambank Modifications/destabilization,,0
2010,MA11-02,North Branch Hoosic River,Hoosic,RIVER,1.537,MILES,B,5,Aquatic Life,Not Supporting,Polychlorinated biphenyls,Source Unknown,,0
2010,MA11-02,North Branch Hoosic River,Hoosic,RIVER,1.537,MILES,B,5,Aquatic Life,Not Supporting,Polychlorinated biphenyls,Contaminated Sediments,,0
2010,MA11-02,North Branch Hoosic River,Hoosic,RIVER,1.537,MILES,B,5,Primary Contact Recreation,Not Supporting,Fecal Coliform,Urban Runoff/Storm Sewers,,0
2010,MA11-02,North Branch Hoosic River,Hoosic,RIVER,1.537,MILES,B,5,Primary Contact Recreation,Not Supporting,Fecal Coliform,Municipal (Urbanized High Density Area),,0
2010,MA11-02,North Branch Hoosic River,Hoosic,RIVER,1.537,MILES,B,5,Primary Contact Recreation,Not Supporting,Fecal Coliform,Discharges from Municipal Separate Storm Sewer Systems (MS4),,0
