OBJECTID,ID,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,ACSTOTHH,ACSTOTHU,MINORPOP,MINORPCT,LOWINCOME,LOWINCPCT,LESSHS,LESSHSPCT,LINGISO,LINGISOPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,PRE1960,PRE1960PCT,VULEOPCT,VULSVI6PCT,VULEO,VULSVI6,DISPEO,DISPSVI6,DSLPM,CANCER,RESP,PTRAF,PWDIS,PNPL,PRMP,PTSDF,OZONE,PM25,D_LDPNT_2,D_DSLPM_2,D_CANCR_2,D_RESP_2,D_PTRAF_2,D_PWDIS_2,D_PNPL_2,D_PRMP_2,D_PTSDF_2,D_OZONE_2,D_PM25_2,STATE_NAME,ST_ABBREV,REGION,P_MINORPCT,P_LWINCPCT,P_LESHSPCT,P_LNGISPCT,P_UNDR5PCT,P_OVR64PCT,P_LDPNT,P_VULEOPCT,P_VSVI6PCT,P_DSLPM,P_CANCR,P_RESP,P_PTRAF,P_PWDIS,P_PNPL,P_PRMP,P_PTSDF,P_OZONE,P_PM25,P_LDPNT_D2,P_DSLPM_D2,P_CANCR_D2,P_RESP_D2,P_PTRAF_D2,P_PWDIS_D2,P_PNPL_D2,P_PRMP_D2,P_PTSDF_D2,P_OZONE_D2,P_PM25_D2,B_MINORPCT,B_LWINCPCT,B_LESHSPCT,B_LNGISPCT,B_UNDR5PCT,B_OVR64PCT,B_LDPNT,B_VULEOPCT,B_VSVI6PCT,B_DSLPM,B_CANCR,B_RESP,B_PTRAF,B_PWDIS,B_PNPL,B_PRMP,B_PTSDF,B_OZONE,B_PM25,B_LDPNT_D2,B_DSLPM_D2,B_CANCR_D2,B_RESP_D2,B_PTRAF_D2,B_PWDIS_D2,B_PNPL_D2,B_PRMP_D2,B_PTSDF_D2,B_OZONE_D2,B_PM25_D2,T_MINORPCT,T_LWINCPCT,T_LESHSPCT,T_LNGISPCT,T_UNDR5PCT,T_OVR64PCT,T_VULEOPCT,T_VSVI6PCT,T_LDPNT,T_LDPNT_D2,T_DSLPM,T_DSLPM_D2,T_CANCR,T_CANCR_D2,T_RESP,T_RESP_D2,T_PTRAF,T_PTRAF_D2,T_PWDIS,T_PWDIS_D2,T_PNPL,T_PNPL_D2,T_PRMP,T_PRMP_D2,T_PTSDF,T_PTSDF_D2,T_OZONE,T_OZONE_D2,T_PM25,T_PM25_D2,AREALAND,AREAWATER,NPL_CNT,TSDF_CNT,Shape_Length,Shape_Area
92546,250173106012,3271,2977,2530,973,973,1454,0.444512381535,426,0.143097077595,509,0.201185770751,26,0.0267214799589,83,0.02537450321,663,0.202690308774,102,0.104830421377,0.293804729565,0.173930253637,961.035270407,568.925859648,-215.477620751,-31.7989534905,0.6690525964,33.638950817,1.62122337666,21.026244302,0.00279278258563,0.22260560773,1.43563379719,0.23152591771,37.3521233333,8.32388328767,-22.5886097807,-144.16586163,-7248.4410866,-349.337355909,-4530.68509553,-0.601782146827,-47.9665267196,-309.346954889,-49.8886538904,-8048.54666587,-1793.61056624,Massachusetts,MA,1,64.2027570628,19.8154545089,76.6432901774,61.2236791757,15.6803787205,81.573574039,37.8188262983,48.9370035301,55.836791076,44.9757630939,29.1739812717,47.7724577191,27.1819466034,73.8321989113,87.8929540598,85.1257188833,92.9122877236,42.2530771791,27.9161982126,34.5939749254,28.7192656341,33.5024974198,29.160964915,38.6687012873,14.653132817,9.78565658658,6.49626514882,5.83390005999,33.5216867371,34.3115692847,7,2,8,7,2,9,4,5,6,5,3,5,3,8,9,9,10,5.0,3.0,4,3,4,3,4,2,1,1,1,4.0,4.0,44% (64%ile),14% (19%ile),20% (76%ile),3% (61%ile),3% (15%ile),20% (81%ile),29% (48%ile),17% (55%ile),0.1 = fraction pre-1960 (37%ile),34%ile,0.669 ug/m3 (44%ile),28%ile,34 lifetime risk per million (29%ile),33%ile,1.6  (47%ile),29%ile,21 daily vehicles/meters distance (27%ile),38%ile,0.0028 toxicity-weighted concentration/meters distance (73%ile),14%ile,0.22 sites/km distance (87%ile),9%ile,1.4 facilities/km distance (85%ile),6%ile,0.23 facilities/km distance (92%ile),5%ile,37.4 ppb (42%ile),33%ile,8.32 ug/m3 (27%ile),34%ile,3441077.0,29104.0,0,0,15253.4183638,6418917.98429
92986,250173400003,675,655,503,222,249,318,0.471111111111,45,0.0687022900763,71,0.141153081511,0,0.0,85,0.125925925926,91,0.134814814815,241,0.967871485944,0.269906700594,0.156951203907,182.187022901,105.942062637,-60.5968968583,-18.0228560021,1.5944594069,44.4943225051,2.65351481814,1935.8654838,2.21827568836e-06,0.117470247528,0.349360907322,0.123935152043,35.7302933333,8.72431041096,-58.6500086059,-96.6192922247,-2696.21787162,-160.794763747,-117307.441053,-0.000134420623091,-7.11833247336,-21.1701868673,-7.51008562546,-2165.14489984,-528.666138133,Massachusetts,MA,1,66.1170229264,6.93833990267,63.2577033366,44.449286974,93.6316377857,54.4849307484,99.3847726424,44.7658864822,48.9787399379,87.5107226654,67.4040732773,85.4874520053,93.2838558711,46.0857858091,71.9741016651,53.2742855196,80.8285364125,21.5514462716,35.8806525627,21.2781266391,36.1453798957,50.6058608839,44.4366149084,8.35165544955,33.2378988233,38.1313950342,44.6475135851,33.969481025,53.2914487725,52.7301172251,7,1,7,5,10,6,11,5,5,9,7,9,10,5,8,6,9,3.0,4.0,3,4,6,5,1,4,4,5,4,6.0,6.0,47% (66%ile),7% (6%ile),14% (63%ile),0% (44%ile),13% (93%ile),13% (54%ile),27% (44%ile),16% (48%ile),0.97 = fraction pre-1960 (99%ile),21%ile,1.59 ug/m3 (87%ile),36%ile,44 lifetime risk per million (67%ile),50%ile,2.7  (85%ile),44%ile,1900 daily vehicles/meters distance (93%ile),8%ile,0.0000022 toxicity-weighted concentration/meters distance (46%ile),33%ile,0.12 sites/km distance (71%ile),38%ile,0.35 facilities/km distance (53%ile),44%ile,0.12 facilities/km distance (80%ile),33%ile,35.7 ppb (21%ile),53%ile,8.72 ug/m3 (35%ile),52%ile,174933.0,0.0,0,0,2861.11950363,321207.091697
91941,250092608002,2928,2928,2014,1006,1207,1790,0.611338797814,1664,0.568306010929,383,0.190168818272,9,0.00894632206759,227,0.0775273224044,197,0.067281420765,804,0.666114333057,0.589822404372,0.253928115375,1727.0,743.501521819,673.857308067,205.769252523,0.9357250275,41.1477522909,2.01580042199,37.9093583457,0.0164055397102,0.457086957317,1.07821292871,0.0526942782226,37.2066083333,8.33555205479,448.866011339,630.545148122,27727.7135917,1358.36184596,25545.4981654,11.0549928265,308.01138661,726.561661662,35.5084244736,25071.9449338,5616.9726689,Massachusetts,MA,1,74.7827317175,83.2012136953,74.6460171949,47.6325128342,69.0843715123,18.4126942272,85.6004186291,80.8676944277,77.3766743285,61.9050110661,55.5886377335,67.1914015915,36.4096909638,83.27380433,94.6278056737,78.8807084767,50.6914690788,40.1062812982,28.1249057357,97.101442778,87.7502027127,89.2860095827,89.7124018961,74.7207491931,93.8048644537,98.1219570619,91.6629012056,84.5734310347,90.3755207624,88.8904195786,8,9,8,5,7,2,9,9,8,7,6,7,4,9,10,8,6,5.0,3.0,11,9,9,9,8,10,11,10,9,10.0,9.0,61% (74%ile),57% (83%ile),19% (74%ile),1% (47%ile),8% (69%ile),7% (18%ile),59% (80%ile),25% (77%ile),0.67 = fraction pre-1960 (85%ile),97%ile,0.936 ug/m3 (61%ile),87%ile,41 lifetime risk per million (55%ile),89%ile,2  (67%ile),89%ile,38 daily vehicles/meters distance (36%ile),74%ile,0.016 toxicity-weighted concentration/meters distance (83%ile),93%ile,0.46 sites/km distance (94%ile),98%ile,1.1 facilities/km distance (78%ile),91%ile,0.053 facilities/km distance (50%ile),84%ile,37.2 ppb (40%ile),90%ile,8.34 ug/m3 (28%ile),88%ile,431524.0,85333.0,0,0,5762.43736803,959671.029728
90908,250010152001,1244,1244,938,527,961,66,0.0530546623794,123,0.0988745980707,19,0.0202558635394,0,0.0,46,0.0369774919614,403,0.323954983923,192,0.199791883455,0.075964630225,0.0888529333123,94.5,110.533049041,-352.941772119,-117.929704718,0.26109279,18.9050744579,0.553027885759,11.0472528437,0.0,0.119091410073,0.0644856216276,0.0131244762145,40.1266616667,6.90659890411,-70.5149014016,-92.1505519901,-6672.3904812,-195.186642031,-3899.0369957,-0.0,-42.0323333154,-22.7596695734,-4.63217589328,-14162.3750778,-2437.62725653,Massachusetts,MA,1,13.6126256706,11.9218285062,11.0417470519,44.449286974,26.4024357315,96.525440415,51.1014142359,4.09267716871,13.9511031295,11.9391569651,1.97030920953,2.60267704228,18.348811951,40.307599448,72.3995730996,7.83480604543,11.041127808,76.4832059175,10.650711743,18.2506406228,36.978006831,35.5085787041,41.2308756347,40.0399663812,76.1576868214,11.3856087734,43.7434879275,40.7075662927,17.26344178,25.8381736275,2,2,2,5,3,11,6,1,2,2,1,1,2,5,8,1,2,8.0,2.0,2,4,4,5,5,8,2,5,5,2.0,3.0,5% (13%ile),10% (11%ile),2% (11%ile),0% (44%ile),4% (26%ile),32% (96%ile),8% (4%ile),9% (13%ile),0.2 = fraction pre-1960 (51%ile),18%ile,0.261 ug/m3 (11%ile),36%ile,19 lifetime risk per million (1%ile),35%ile,0.55  (2%ile),41%ile,11 daily vehicles/meters distance (18%ile),40%ile,0 toxicity-weighted concentration/meters distance (40%ile),76%ile,0.12 sites/km distance (72%ile),11%ile,0.064 facilities/km distance (7%ile),43%ile,0.013 facilities/km distance (11%ile),40%ile,40.1 ppb (76%ile),17%ile,6.91 ug/m3 (10%ile),25%ile,8550902.0,2635161.0,0,0,24848.2435995,20003374.3531
93383,250173652023,1259,1180,785,366,430,173,0.137410643368,64,0.0542372881356,0,0.0,0,0.0,6,0.00476568705322,175,0.138999205719,122,0.283720930233,0.0958239657518,0.0559021373793,120.642372882,70.3807909605,-332.194597454,-160.836738768,0.5174443883,30.7361032958,1.27861788904,43.8782125013,0.0,0.113061610812,0.132961007579,0.120260177847,36.6294383333,8.41691041096,-94.2505602081,-171.892230276,-10210.3674617,-424.749954948,-14576.1051389,-0.0,-37.5584562912,-44.1689283898,-39.9497813697,-12168.1015221,-2796.05216578,Massachusetts,MA,1,30.3389958229,4.86891110296,3.98249819556,44.449286974,4.41040932462,56.6615876344,59.838303535,7.23118287647,2.14399872036,33.9195829023,20.3500351639,28.2038886181,38.597255705,40.307599448,70.7702794933,23.9649087618,79.9879595604,32.1295575381,29.7550001591,13.2630479487,25.1227538357,24.458358524,24.3633607309,27.5719416805,76.1576868214,12.9053638184,33.7332262029,8.05978241393,21.6079268455,21.9503369646,4,1,1,5,1,6,6,1,1,4,3,3,4,5,8,3,8,4.0,3.0,2,3,3,3,3,8,2,4,1,3.0,3.0,14% (30%ile),5% (4%ile),0% (3%ile),0% (44%ile),0% (4%ile),14% (56%ile),10% (7%ile),6% (2%ile),0.28 = fraction pre-1960 (59%ile),13%ile,0.517 ug/m3 (33%ile),25%ile,31 lifetime risk per million (20%ile),24%ile,1.3  (28%ile),24%ile,44 daily vehicles/meters distance (38%ile),27%ile,0 toxicity-weighted concentration/meters distance (40%ile),76%ile,0.11 sites/km distance (70%ile),12%ile,0.13 facilities/km distance (23%ile),33%ile,0.12 facilities/km distance (79%ile),8%ile,36.6 ppb (32%ile),21%ile,8.42 ug/m3 (29%ile),21%ile,5726413.0,207067.0,0,0,14678.3403245,10876178.4201
93303,250173581004,1423,1298,991,451,451,488,0.342937456079,65,0.0500770416025,54,0.0544904137235,29,0.0643015521064,51,0.035839775123,265,0.186226282502,238,0.527716186253,0.196507248841,0.122312086856,279.6298151,174.050099596,-232.19465574,-87.286314068,0.6972385649,33.8798411661,1.51832856583,67.6431405792,0.0,0.116746000996,0.172085095875,0.12052126068,35.8259283333,8.6668290411,-122.532878195,-161.895068545,-7866.71805607,-352.547778643,-15706.3757399,-0.0,-27.1077975103,-39.9572395947,-27.984392633,-8318.58909592,-2012.39138555,Massachusetts,MA,1,55.7746616392,4.34464151387,29.2311637241,76.3839862121,25.2634673537,76.6372569724,77.702415583,29.5467051467,31.9996247508,46.9590504307,29.9523520084,41.9100490198,45.1258943568,40.307599448,71.7759306595,32.9473314317,80.0568346486,22.6186438213,34.7324340289,8.96713334815,26.3700871776,31.4322907216,28.9540971632,26.8561690158,76.1576868214,17.4763114955,35.4611704195,12.6907771622,32.6064680256,31.263687798,6,1,3,8,3,8,8,3,4,5,3,5,5,5,8,4,9,3.0,4.0,1,3,4,3,3,8,2,4,2,4.0,4.0,34% (55%ile),5% (4%ile),5% (29%ile),6% (76%ile),4% (25%ile),19% (76%ile),20% (29%ile),12% (31%ile),0.53 = fraction pre-1960 (77%ile),8%ile,0.697 ug/m3 (46%ile),26%ile,34 lifetime risk per million (29%ile),31%ile,1.5  (41%ile),28%ile,68 daily vehicles/meters distance (45%ile),26%ile,0 toxicity-weighted concentration/meters distance (40%ile),76%ile,0.12 sites/km distance (71%ile),17%ile,0.17 facilities/km distance (32%ile),35%ile,0.12 facilities/km distance (80%ile),12%ile,35.8 ppb (22%ile),32%ile,8.67 ug/m3 (34%ile),31%ile,1365551.0,31692.0,0,0,6478.85139254,2566512.83926
92035,250110406003,1025,1025,792,456,469,17,0.0165853658537,221,0.215609756098,31,0.0391414141414,0,0.0,77,0.0751219512195,189,0.184390243902,167,0.356076759062,0.116097560976,0.0884747885358,119.0,90.6866582492,-249.671878152,-97.5563663508,0.2221788667,26.587310909,0.970655793733,7.87559901859,0.0,0.0301307629543,0.0878387908834,0.0272286333719,37.1239766667,7.71638054795,-88.9023532014,-55.4718149348,-6638.10384967,-242.345455061,-1966.31559855,-0.0,-7.52280417696,-21.9308758945,-6.79822403349,-9268.81297885,-1926.56322394,Massachusetts,MA,1,4.63719319027,33.1999342932,21.1198943383,44.449286974,66.9775290064,76.0113751442,66.0593267705,11.1768922967,13.7604733142,8.84217968614,11.0369602288,14.100720175,14.7677670565,40.307599448,27.4883222683,13.2239186841,29.716883484,38.9360950749,18.1679716762,14.2805923893,44.4085080074,35.6332906172,37.2245419598,45.3154449185,76.1576868214,37.3932771424,44.2059389655,35.421891083,29.5376357867,32.405304033,1,4,3,5,7,8,7,2,2,1,2,2,2,5,3,2,3,4.0,2.0,2,5,4,4,5,8,4,5,4,3.0,4.0,2% (4%ile),22% (33%ile),4% (21%ile),0% (44%ile),8% (66%ile),18% (76%ile),12% (11%ile),9% (13%ile),0.36 = fraction pre-1960 (66%ile),14%ile,0.222 ug/m3 (8%ile),44%ile,27 lifetime risk per million (11%ile),35%ile,0.97  (14%ile),37%ile,7.9 daily vehicles/meters distance (14%ile),45%ile,0 toxicity-weighted concentration/meters distance (40%ile),76%ile,0.03 sites/km distance (27%ile),37%ile,0.088 facilities/km distance (13%ile),44%ile,0.027 facilities/km distance (29%ile),35%ile,37.1 ppb (38%ile),29%ile,7.72 ug/m3 (18%ile),32%ile,115950683.0,35994758.0,0,0,115106.168213,279274027.684
91230,250056406003,1669,1614,946,653,758,300,0.179748352307,1082,0.670384138786,342,0.361522198732,64,0.0980091883614,221,0.132414619533,59,0.035350509287,688,0.90765171504,0.425066245546,0.246238167834,709.435563817,410.971502116,109.12984222,104.456762547,1.0511249148,32.0114960443,1.352059368,92.0030349606,0.000361502694416,0.0984235086398,1.24426255375,0.0434385619173,38.8324333333,7.51741808219,99.0518884533,114.709096106,3493.40951256,147.550025503,10040.276689,0.0394507320038,10.7409419686,135.786176171,4.74044340832,4237.7773227,820.374649214,Massachusetts,MA,1,36.9532774876,91.0806691225,93.0771130764,83.400360326,94.9313811555,6.04376087415,97.48174574,66.3089970697,75.8622097117,68.4001209215,24.0404386273,32.2082122424,49.9142279254,62.7453499942,66.3478410397,82.0929042101,43.6539850663,63.0062356639,15.9915052118,83.985131941,70.002497998,65.2393894656,65.3123313617,69.8480477487,83.1073060529,73.2624408369,77.7048404284,67.8670144378,66.9776641233,65.7959884494,4,10,10,9,10,1,11,7,8,7,3,4,5,7,7,9,5,7.0,2.0,9,8,7,7,7,9,8,8,7,7.0,7.0,18% (36%ile),67% (91%ile),36% (93%ile),10% (83%ile),13% (94%ile),4% (6%ile),43% (66%ile),25% (75%ile),0.91 = fraction pre-1960 (97%ile),83%ile,1.05 ug/m3 (68%ile),70%ile,32 lifetime risk per million (24%ile),65%ile,1.4  (32%ile),65%ile,92 daily vehicles/meters distance (49%ile),69%ile,0.00036 toxicity-weighted concentration/meters distance (62%ile),83%ile,0.098 sites/km distance (66%ile),73%ile,1.2 facilities/km distance (82%ile),77%ile,0.043 facilities/km distance (43%ile),67%ile,38.8 ppb (63%ile),66%ile,7.52 ug/m3 (15%ile),65%ile,180821.0,0.0,0,0,2318.48368581,324515.141509
94491,250235611002,1082,1075,803,394,453,121,0.111829944547,344,0.32,25,0.0311332503113,0,0.0,46,0.0425138632163,340,0.314232902033,173,0.381898454746,0.215914972273,0.136618326685,233.62,147.821029473,-155.553631377,-50.8901438123,0.3470077288,24.5540858945,0.704091328354,19.6719195263,0.0,0.0756020384882,0.0853851063589,0.0193969771516,39.118255,7.27428,-59.4056914529,-53.9783123306,-3819.47722602,-109.523962946,-3060.03851847,-0.0,-11.7601716263,-13.2819633596,-3.01727023367,-6084.98661837,-1131.54066965,Massachusetts,MA,1,25.8024610465,51.3600490386,16.7946885529,44.449286974,32.2466433591,96.1199752981,68.0202852047,33.9045153879,39.4839709677,19.6954338723,7.42834579054,5.71822280268,26.1981449531,40.307599448,57.4494630383,12.6389578206,20.6172072952,66.5278836257,13.9835201518,21.0664927653,44.7662037954,46.3193431648,49.3831473434,42.0688846233,76.1576868214,30.7648681861,49.3877056786,45.7240384809,40.3810642951,44.2117027707,3,6,2,5,4,11,7,4,4,2,1,1,3,5,6,2,3,7.0,2.0,3,5,5,5,5,8,4,5,5,5.0,5.0,11% (25%ile),32% (51%ile),3% (16%ile),0% (44%ile),4% (32%ile),31% (96%ile),22% (33%ile),14% (39%ile),0.38 = fraction pre-1960 (68%ile),21%ile,0.347 ug/m3 (19%ile),44%ile,25 lifetime risk per million (7%ile),46%ile,0.7  (5%ile),49%ile,20 daily vehicles/meters distance (26%ile),42%ile,0 toxicity-weighted concentration/meters distance (40%ile),76%ile,0.076 sites/km distance (57%ile),30%ile,0.085 facilities/km distance (12%ile),49%ile,0.019 facilities/km distance (20%ile),45%ile,39.1 ppb (66%ile),40%ile,7.27 ug/m3 (13%ile),44%ile,2222613.0,2358221.0,0,0,17922.9761413,8225087.35441
95478,250277330003,1330,1304,956,435,506,760,0.571428571429,727,0.557515337423,355,0.371338912134,88,0.202298850575,84,0.0631578947368,59,0.0443609022556,400,0.790513833992,0.564471954426,0.301683411426,750.747699387,401.238937196,272.373457491,156.982134544,1.3885188003,43.319878475,2.1007271606,389.350663457,0.00018873666367,0.0722120879433,0.472794430626,0.070389965771,37.6774683333,8.12550219178,215.314986159,378.195666429,11799.1850783,572.182319979,106048.786382,0.051406857639,19.6686560658,128.776653752,19.1723583497,10262.3423195,2213.17112583,Massachusetts,MA,1,72.4857585827,82.2066365691,93.6028176685,93.298760377,55.2390715763,8.76196014722,91.9607828028,78.9011334157,85.2588367362,82.1820433562,63.3096436568,70.6347650439,73.9291339984,59.616019292,55.9399738567,59.4401281195,61.8140388351,46.7891739615,24.4859925355,90.8871869939,81.431670203,76.2872732227,77.5073043789,83.372856734,83.5436468021,78.2689435141,77.281081393,78.6311787711,75.9835738647,74.6896317541,8,9,10,10,6,1,10,8,9,9,7,8,8,6,6,6,7,5.0,3.0,10,9,8,8,9,9,8,8,8,8.0,8.0,57% (72%ile),56% (82%ile),37% (93%ile),20% (93%ile),6% (55%ile),4% (8%ile),56% (78%ile),30% (85%ile),0.79 = fraction pre-1960 (91%ile),90%ile,1.39 ug/m3 (82%ile),81%ile,43 lifetime risk per million (63%ile),76%ile,2.1  (70%ile),77%ile,390 daily vehicles/meters distance (73%ile),83%ile,0.00019 toxicity-weighted concentration/meters distance (59%ile),83%ile,0.072 sites/km distance (55%ile),78%ile,0.47 facilities/km distance (59%ile),77%ile,0.07 facilities/km distance (61%ile),78%ile,37.7 ppb (46%ile),75%ile,8.13 ug/m3 (24%ile),74%ile,468815.0,0.0,0,0,5113.86833118,856116.425273
