OID_,ID,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,ACSTOTHH,ACSTOTHU,ACSUNEMPBAS,DEMOGIDX_2,DEMOGIDX_5,PEOPCOLOR,MINORPCT,LOWINCOME,LOWINCPCT,UNEMPLOYED,UNEMPPCT,LINGISO,LINGISOPCT,LESSHS,LESSHSPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,CANCER,RESP,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,D2_PM25,D5_PM25,D2_OZONE,D5_OZONE,D2_DSLPM,D5_DSLPM,D2_CANCER,D5_CANCER,D2_RESP,D5_RESP,D2_RSEI_AIR,D5_RSEI_AIR,D2_PTRAF,D5_PTRAF,D2_LDPNT,D5_LDPNT,D2_PNPL,D5_PNPL,D2_PRMP,D5_PRMP,D2_PTSDF,D5_PTSDF,D2_UST,D5_UST,D2_PWDIS,D5_PWDIS,P_DEMOGIDX_2,P_DEMOGIDX_5,P_PEOPCOLORPCT,P_LOWINCPCT,P_UNEMPPCT,P_LINGISOPCT,P_LESSHSPCT,P_UNDER5PCT,P_OVER64PCT,P_LIFEEXPPCT,P_PM25,P_OZONE,P_DSLPM,P_CANCER,P_RESP,P_RSEI_AIR,P_PTRAF,P_LDPNT,P_PNPL,P_PRMP,P_PTSDF,P_UST,P_PWDIS,P_D2_PM25,P_D5_PM25,P_D2_OZONE,P_D5_OZONE,P_D2_DSLPM,P_D5_DSLPM,P_D2_CANCER,P_D5_CANCER,P_D2_RESP,P_D5_RESP,P_D2_RSEI_AIR,P_D5_RSEI_AIR,P_D2_PTRAF,P_D5_PTRAF,P_D2_LDPNT,P_D5_LDPNT,P_D2_PNPL,P_D5_PNPL,P_D2_PRMP,P_D5_PRMP,P_D2_PTSDF,P_D5_PTSDF,P_D2_UST,P_D5_UST,P_D2_PWDIS,P_D5_PWDIS,B_DEMOGIDX_2,B_DEMOGIDX_5,B_PEOPCOLORPCT,B_LOWINCPCT,B_UNEMPPCT,B_LINGISOPCT,B_LESSHSPCT,B_UNDER5PCT,B_OVER64PCT,B_LIFEEXPPCT,B_PM25,B_OZONE,B_DSLPM,B_CANCER,B_RESP,B_RSEI_AIR,B_PTRAF,B_LDPNT,B_PNPL,B_PRMP,B_PTSDF,B_UST,B_PWDIS,B_D2_PM25,B_D5_PM25,B_D2_OZONE,B_D5_OZONE,B_D2_DSLPM,B_D5_DSLPM,B_D2_CANCER,B_D5_CANCER,B_D2_RESP,B_D5_RESP,B_D2_RSEI_AIR,B_D5_RSEI_AIR,B_D2_PTRAF,B_D5_PTRAF,B_D2_LDPNT,B_D5_LDPNT,B_D2_PNPL,B_D5_PNPL,B_D2_PRMP,B_D5_PRMP,B_D2_PTSDF,B_D5_PTSDF,B_D2_UST,B_D5_UST,B_D2_PWDIS,B_D5_PWDIS,T_DEMOGIDX_2,T_DEMOGIDX_5,T_PEOPCOLORPCT,T_LOWINCPCT,T_UNEMPPCT,T_LINGISOPCT,T_LESSHSPCT,T_UNDER5PCT,T_OVER64PCT,T_LIFEEXPPCT,T_PM25,T_OZONE,T_DSLPM,T_CANCER,T_RESP,T_RSEI_AIR,T_PTRAF,T_LDPNT,T_PNPL,T_PRMP,T_PTSDF,T_UST,T_PWDIS,T_D2_PM25,T_D5_PM25,T_D2_OZONE,T_D5_OZONE,T_D2_DSLPM,T_D5_DSLPM,T_D2_CANCER,T_D5_CANCER,T_D2_RESP,T_D5_RESP,T_D2_RSEI_AIR,T_D5_RSEI_AIR,T_D2_PTRAF,T_D5_PTRAF,T_D2_LDPNT,T_D5_LDPNT,T_D2_PNPL,T_D5_PNPL,T_D2_PRMP,T_D5_PRMP,T_D2_PTSDF,T_D5_PTSDF,T_D2_UST,T_D5_UST,T_D2_PWDIS,T_D5_PWDIS,AREALAND,AREAWATER,NPL_CNT,TSDF_CNT,EXCEED_COUNT_80,EXCEED_COUNT_80_SUP,Shape_Length,Shape_Area
101963,250010130021,Massachusetts,MA,Barnstable County,1,485.0,485.0,374.0,201.0,562.0,220.0,0.162886598,0.062128469,73.0,0.150515464,85.0,0.175257732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,0.389690722,0.135384615,5.519115068,59.77136,0.076891867,10.0,0.2,75.87938241,21.31761401,288.0,0.512455516,0.094126046,0.023072566,0.325209231,0.71144587,,0.81443299,0.310642345,12.54226805,4.783892113,0.488659794,0.186385407,0.0,0.0,0.325773196,0.124256938,0.977319588,0.372770814,1.140206186,0.434899283,7.818556704,2.982166512,7.492783508,2.857909574,0.325773196,0.124256938,1.791752578,0.683413159,4.88659794,1.86385407,,,41.0,20.0,37.0,51.0,0.0,0.0,0.0,0.0,96.0,9.0,5.0,77.0,3.0,0.0,2.0,6.0,7.0,48.0,46.0,2.0,11.0,30.0,,8.0,4.0,64.0,52.0,6.0,3.0,0.0,0.0,27.0,11.0,9.0,5.0,13.0,7.0,47.0,36.0,43.0,32.0,4.0,2.0,19.0,10.0,37.0,27.0,,,5.0,3.0,4.0,6.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,2.0,4.0,,1.0,1.0,7.0,6.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,5.0,4.0,5.0,4.0,1.0,1.0,2.0,2.0,4.0,3.0,,,41 %ile,20 %ile,37 %ile,51 %ile,0 %ile,0 %ile,0 %ile,0 %ile,96 %ile,9 %ile,5 %ile,77 %ile,3 %ile,0 %ile,2 %ile,6 %ile,7 %ile,48 %ile,46 %ile,2 %ile,11 %ile,30 %ile,,8 %ile,4 %ile,64 %ile,52 %ile,6 %ile,3 %ile,0 %ile,0 %ile,27 %ile,11 %ile,9 %ile,5 %ile,13 %ile,7 %ile,47 %ile,36 %ile,43 %ile,32 %ile,4 %ile,2 %ile,19 %ile,10 %ile,37 %ile,27 %ile,,,7153460.0,3625839.0,0,0,0,0.0,23318.16383,19305510.54
103056,250092544011,Massachusetts,MA,Essex County,1,1198.0,1198.0,755.0,392.0,392.0,598.0,0.281719533,0.055206116,532.0,0.444073456,143.0,0.119365609,0.0,0.0,0.0,0.0,6.0,0.00794702,97.0,0.08096828,125.0,0.104340568,0.148717949,6.452987123,54.67033,0.208379146,20.0,0.3,368.0614794,67.91483279,117.0,0.298469388,0.158586194,0.380487643,3.266510549,0.607851506,1.46629e-05,9.578464122,1.877007944,1.408597665,0.27603058,13.80425712,2.705099684,0.845158599,0.165618348,13.80425712,2.705099684,6.761268792,1.324946784,5.63439066,1.10412232,7.042988325,1.3801529,20.56552591,4.030046468,21.12896498,4.1404587,14.36769618,2.815511916,7.888146924,1.545771248,4.225792995,0.82809174,65.0,14.0,75.0,37.0,0.0,0.0,17.0,81.0,26.0,18.0,34.0,5.0,49.0,3.0,49.0,24.0,20.0,25.0,73.0,75.0,51.0,28.0,15.0,53.0,22.0,11.0,4.0,62.0,34.0,60.0,15.0,74.0,55.0,43.0,15.0,38.0,16.0,44.0,18.0,79.0,46.0,74.0,48.0,61.0,36.0,47.0,23.0,31.0,11.0,7.0,2.0,8.0,4.0,1.0,1.0,2.0,9.0,3.0,2.0,4.0,1.0,5.0,1.0,5.0,3.0,3.0,3.0,8.0,8.0,6.0,3.0,2.0,6.0,3.0,2.0,1.0,7.0,4.0,7.0,2.0,8.0,6.0,5.0,2.0,4.0,2.0,5.0,2.0,8.0,5.0,8.0,5.0,7.0,4.0,5.0,3.0,4.0,2.0,65 %ile,14 %ile,75 %ile,37 %ile,0 %ile,0 %ile,17 %ile,81 %ile,26 %ile,18 %ile,34 %ile,5 %ile,49 %ile,3 %ile,49 %ile,24 %ile,20 %ile,25 %ile,73 %ile,75 %ile,51 %ile,28 %ile,15 %ile,53 %ile,22 %ile,11 %ile,4 %ile,62 %ile,34 %ile,60 %ile,15 %ile,74 %ile,55 %ile,43 %ile,15 %ile,38 %ile,16 %ile,44 %ile,18 %ile,79 %ile,46 %ile,74 %ile,48 %ile,61 %ile,36 %ile,47 %ile,23 %ile,31 %ile,11 %ile,2558247.0,101471.0,0,0,0,0.0,10070.05445,4919860.11
105332,250214431051,Massachusetts,MA,Norfolk County,1,2186.0,2172.0,1306.0,775.0,775.0,1212.0,0.236790626,0.117263289,528.0,0.241537054,504.0,0.232044199,46.0,0.037953795,96.0,0.123870968,33.0,0.025267994,175.0,0.080054895,325.0,0.148673376,0.167179487,6.897576164,58.24968,0.178624133,20.0,0.2,2597.058844,217.1228454,278.0,0.358709677,0.177311506,0.403097228,1.100932155,1.060281004,0.003879451,14.44422819,7.153060629,11.12915942,5.511374583,8.761253162,4.338741693,0.710371878,0.351789867,0.473581252,0.234526578,12.31311255,6.097691028,10.41878754,5.159584716,7.340509406,3.635161959,17.99608758,8.912009964,17.99608758,8.912009964,5.682975024,2.814318936,8.761253162,4.338741693,16.57534382,8.20843023,58.0,63.0,52.0,63.0,49.0,83.0,31.0,81.0,47.0,41.0,61.0,47.0,37.0,3.0,2.0,52.0,44.0,31.0,76.0,76.0,24.0,37.0,70.0,64.0,72.0,61.0,58.0,49.0,50.0,54.0,57.0,35.0,33.0,62.0,66.0,53.0,55.0,45.0,42.0,75.0,79.0,71.0,74.0,39.0,36.0,49.0,49.0,71.0,73.0,6.0,7.0,6.0,7.0,5.0,9.0,4.0,9.0,5.0,5.0,7.0,5.0,4.0,1.0,1.0,6.0,5.0,4.0,8.0,8.0,3.0,4.0,8.0,7.0,8.0,7.0,6.0,5.0,6.0,6.0,6.0,4.0,4.0,7.0,7.0,6.0,6.0,5.0,5.0,8.0,8.0,8.0,8.0,4.0,4.0,5.0,5.0,8.0,8.0,58 %ile,63 %ile,52 %ile,63 %ile,49 %ile,83 %ile,31 %ile,81 %ile,47 %ile,41 %ile,61 %ile,47 %ile,37 %ile,3 %ile,2 %ile,52 %ile,44 %ile,31 %ile,76 %ile,76 %ile,24 %ile,37 %ile,70 %ile,64 %ile,72 %ile,61 %ile,58 %ile,49 %ile,50 %ile,54 %ile,57 %ile,35 %ile,33 %ile,62 %ile,66 %ile,53 %ile,55 %ile,45 %ile,42 %ile,75 %ile,79 %ile,71 %ile,74 %ile,39 %ile,36 %ile,49 %ile,49 %ile,71 %ile,73 %ile,10802299.0,351649.0,0,0,0,0.0,30675.43212,20269743.65
103063,250092544032,Massachusetts,MA,Essex County,1,1130.0,1130.0,774.0,386.0,440.0,648.0,0.163716814,0.05258368,370.0,0.327433628,0.0,0.0,51.0,0.078703704,12.0,0.031088083,5.0,0.006459948,51.0,0.045132743,203.0,0.179646018,0.146666667,6.541091781,54.78944,0.20195306,20.0,0.3,411.9870705,649.7683778,169.0,0.384090909,0.306905852,0.866946479,4.44476227,0.180844147,2.26177e-05,6.221238932,1.99817984,0.982300884,0.31550208,7.530973444,2.41884928,0.491150442,0.15775104,8.022123886,2.57660032,4.09292035,1.314592,11.95132742,3.83860864,5.566371676,1.78784512,14.24336282,4.57478016,14.40707963,4.62736384,10.31415928,3.31277184,2.619469024,0.84133888,2.783185838,0.89392256,42.0,12.0,64.0,0.0,76.0,58.0,16.0,53.0,60.0,16.0,38.0,6.0,46.0,3.0,49.0,25.0,73.0,34.0,87.0,88.0,63.0,16.0,17.0,41.0,24.0,8.0,4.0,45.0,31.0,40.0,13.0,63.0,54.0,31.0,15.0,57.0,44.0,38.0,23.0,67.0,51.0,65.0,52.0,52.0,40.0,25.0,14.0,23.0,12.0,5.0,2.0,7.0,1.0,8.0,6.0,2.0,6.0,7.0,2.0,4.0,1.0,5.0,1.0,5.0,3.0,8.0,4.0,9.0,9.0,7.0,2.0,2.0,5.0,3.0,1.0,1.0,5.0,4.0,5.0,2.0,7.0,6.0,4.0,2.0,6.0,5.0,4.0,3.0,7.0,6.0,7.0,6.0,6.0,5.0,3.0,2.0,3.0,2.0,42 %ile,12 %ile,64 %ile,0 %ile,76 %ile,58 %ile,16 %ile,53 %ile,60 %ile,16 %ile,38 %ile,6 %ile,46 %ile,3 %ile,49 %ile,25 %ile,73 %ile,34 %ile,87 %ile,88 %ile,63 %ile,16 %ile,17 %ile,41 %ile,24 %ile,8 %ile,4 %ile,45 %ile,31 %ile,40 %ile,13 %ile,63 %ile,54 %ile,31 %ile,15 %ile,57 %ile,44 %ile,38 %ile,23 %ile,67 %ile,51 %ile,65 %ile,52 %ile,52 %ile,40 %ile,25 %ile,14 %ile,23 %ile,12 %ile,2016662.0,50961.0,0,0,0,0.0,9050.167587,3821094.395
103224,250110415021,Massachusetts,MA,Franklin County,1,826.0,817.0,680.0,391.0,447.0,534.0,0.100545757,0.081154577,65.0,0.078692494,100.0,0.122399021,45.0,0.084269663,17.0,0.043478261,4.0,0.005882353,31.0,0.037530266,260.0,0.314769976,0.14974359,5.871102466,55.08709,0.063284008,20.0,0.2,222.8182753,17.79640251,147.0,0.32885906,0.021996907,0.043185586,0.145520375,0.026454201,0.000829803,1.106003327,0.892700347,0.904911813,0.730391193,0.0,0.0,0.301637271,0.243463731,0.201091514,0.162309154,1.508186355,1.217318655,0.603274542,0.486927462,2.815281196,2.272328156,0.0,0.0,0.603274542,0.486927462,0.402183028,0.324618308,0.0,0.0,4.926742093,3.976574273,21.0,38.0,20.0,38.0,78.0,63.0,15.0,45.0,91.0,18.0,11.0,9.0,0.0,3.0,2.0,15.0,6.0,28.0,0.0,6.0,4.0,0.0,49.0,11.0,10.0,8.0,10.0,0.0,0.0,22.0,36.0,15.0,21.0,13.0,14.0,8.0,8.0,24.0,28.0,0.0,0.0,7.0,8.0,6.0,5.0,0.0,0.0,35.0,47.0,3.0,4.0,3.0,4.0,8.0,7.0,2.0,5.0,10.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,21 %ile,38 %ile,20 %ile,38 %ile,78 %ile,63 %ile,15 %ile,45 %ile,91 %ile,18 %ile,11 %ile,9 %ile,0 %ile,3 %ile,2 %ile,15 %ile,6 %ile,28 %ile,0 %ile,6 %ile,4 %ile,0 %ile,49 %ile,11 %ile,10 %ile,8 %ile,10 %ile,0 %ile,0 %ile,22 %ile,36 %ile,15 %ile,21 %ile,13 %ile,14 %ile,8 %ile,8 %ile,24 %ile,28 %ile,0 %ile,0 %ile,7 %ile,8 %ile,6 %ile,5 %ile,0 %ile,0 %ile,35 %ile,47 %ile,58142111.0,552775.0,0,0,0,0.0,49342.38318,108398911.6
104750,250173824001,Massachusetts,MA,Middlesex County,1,1472.0,1472.0,1100.0,649.0,649.0,1113.0,0.231317935,0.095667574,362.0,0.245923913,319.0,0.216711957,27.0,0.02425876,30.0,0.046224961,32.0,0.029090909,70.0,0.047554348,174.0,0.118206522,0.162051282,7.120650411,56.67007,0.207386766,20.0,0.3,4236.861845,619.7342076,438.0,0.674884438,0.677701344,0.055552377,1.074133679,1.672522325,0.000224007,17.58016306,7.270735624,4.857676635,2.009019054,11.33457882,4.687711126,0.693953805,0.287002722,11.33457882,4.687711126,19.66202448,8.13174379,16.42357339,6.792397754,15.49830165,6.409727458,21.97520383,9.08841953,2.081861415,0.861008166,5.55163044,2.296021776,10.87194295,4.496375978,7.86480979,3.252697516,57.0,50.0,53.0,61.0,36.0,64.0,34.0,55.0,32.0,33.0,76.0,21.0,49.0,3.0,49.0,85.0,71.0,67.0,95.0,9.0,24.0,47.0,34.0,71.0,72.0,36.0,27.0,56.0,54.0,54.0,47.0,70.0,70.0,75.0,76.0,66.0,64.0,67.0,63.0,81.0,80.0,19.0,13.0,38.0,30.0,55.0,50.0,49.0,40.0,6.0,6.0,6.0,7.0,4.0,7.0,4.0,6.0,4.0,4.0,8.0,3.0,5.0,1.0,5.0,9.0,8.0,7.0,11.0,1.0,3.0,5.0,4.0,8.0,8.0,4.0,3.0,6.0,6.0,6.0,5.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,9.0,9.0,2.0,2.0,4.0,4.0,6.0,6.0,5.0,5.0,57 %ile,50 %ile,53 %ile,61 %ile,36 %ile,64 %ile,34 %ile,55 %ile,32 %ile,33 %ile,76 %ile,21 %ile,49 %ile,3 %ile,49 %ile,85 %ile,71 %ile,67 %ile,95 %ile,9 %ile,24 %ile,47 %ile,34 %ile,71 %ile,72 %ile,36 %ile,27 %ile,56 %ile,54 %ile,54 %ile,47 %ile,70 %ile,70 %ile,75 %ile,76 %ile,66 %ile,64 %ile,67 %ile,63 %ile,81 %ile,80 %ile,19 %ile,13 %ile,38 %ile,30 %ile,55 %ile,50 %ile,49 %ile,40 %ile,451965.0,0.0,0,0,1,0.0,3837.224011,826163.1065
104391,250173547001,Massachusetts,MA,Middlesex County,1,1153.0,1153.0,885.0,503.0,634.0,792.0,0.22593235,0.095740735,425.0,0.368603643,96.0,0.083261058,47.0,0.059343434,80.0,0.159045726,16.0,0.018079096,27.0,0.023417173,195.0,0.169124024,0.158974359,7.19224,57.66686,0.466535191,30.0,0.3,3870.17,920.4258354,563.0,0.888012618,0.086175536,0.155806789,27.63098303,3.905137822,0.06045554,18.9783174,8.04222174,7.6816999,3.25518499,19.8820468,8.42518468,19.4301821,8.23370321,11.07068515,4.691296015,17.6227233,7.46777733,18.30052035,7.754999535,20.7857762,8.80814762,8.81136165,3.733888665,11.07068515,4.691296015,21.2376409,8.99962909,15.8152645,6.70185145,20.55984385,8.712406885,56.0,50.0,68.0,25.0,65.0,87.0,25.0,29.0,56.0,28.0,84.0,34.0,88.0,86.0,49.0,78.0,81.0,92.0,39.0,49.0,94.0,70.0,91.0,73.0,76.0,49.0,40.0,72.0,74.0,89.0,90.0,70.0,70.0,72.0,73.0,69.0,69.0,75.0,74.0,49.0,42.0,57.0,53.0,72.0,74.0,64.0,63.0,77.0,75.0,6.0,6.0,7.0,3.0,7.0,9.0,3.0,3.0,6.0,3.0,9.0,4.0,9.0,9.0,5.0,8.0,9.0,10.0,4.0,5.0,10.0,8.0,10.0,8.0,8.0,5.0,5.0,8.0,8.0,9.0,10.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,5.0,5.0,6.0,6.0,8.0,8.0,7.0,7.0,8.0,8.0,56 %ile,50 %ile,68 %ile,25 %ile,65 %ile,87 %ile,25 %ile,29 %ile,56 %ile,28 %ile,84 %ile,34 %ile,88 %ile,86 %ile,49 %ile,78 %ile,81 %ile,92 %ile,39 %ile,49 %ile,94 %ile,70 %ile,91 %ile,73 %ile,76 %ile,49 %ile,40 %ile,72 %ile,74 %ile,89 %ile,90 %ile,70 %ile,70 %ile,72 %ile,73 %ile,69 %ile,69 %ile,75 %ile,74 %ile,49 %ile,42 %ile,57 %ile,53 %ile,72 %ile,74 %ile,64 %ile,63 %ile,77 %ile,75 %ile,207470.0,0.0,0,1,1,0.0,2924.899222,380578.3419
105929,250250612031,Massachusetts,MA,Suffolk County,1,2192.0,2084.0,1922.0,1069.0,1272.0,1644.0,0.157291564,0.058314583,536.0,0.244525547,146.0,0.070057582,34.0,0.020681265,0.0,0.0,43.0,0.022372529,91.0,0.041514599,259.0,0.118156934,0.178461538,7.227670959,58.69081,0.62314443,30.0,0.4,3548.551743,2838.759048,251.0,0.197327044,0.087629471,0.683755114,37.22230621,13.82863667,0.001945962,14.15624076,5.24831247,9.280202276,3.440560397,15.41457327,5.714829134,13.5270745,5.015054138,14.78540702,5.481570802,10.69582635,3.965391644,15.09999014,5.598199968,2.516665024,0.933033328,6.29166256,2.33258332,13.36978294,4.956739555,15.09999014,5.598199968,15.25728171,5.656514551,9.594785404,3.557189563,40.0,17.0,53.0,21.0,32.0,0.0,28.0,49.0,32.0,58.0,90.0,59.0,98.0,86.0,94.0,68.0,96.0,16.0,40.0,85.0,96.0,97.0,61.0,64.0,59.0,55.0,42.0,65.0,60.0,88.0,87.0,76.0,75.0,57.0,47.0,64.0,57.0,22.0,13.0,38.0,26.0,63.0,55.0,63.0,57.0,64.0,58.0,55.0,43.0,5.0,2.0,6.0,3.0,4.0,1.0,3.0,5.0,4.0,6.0,10.0,6.0,11.0,9.0,10.0,7.0,11.0,2.0,5.0,9.0,11.0,11.0,7.0,7.0,6.0,6.0,5.0,7.0,7.0,9.0,9.0,8.0,8.0,6.0,5.0,7.0,6.0,3.0,2.0,4.0,3.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0,5.0,40 %ile,17 %ile,53 %ile,21 %ile,32 %ile,0 %ile,28 %ile,49 %ile,32 %ile,58 %ile,90 %ile,59 %ile,98 %ile,86 %ile,94 %ile,68 %ile,96 %ile,16 %ile,40 %ile,85 %ile,96 %ile,97 %ile,61 %ile,64 %ile,59 %ile,55 %ile,42 %ile,65 %ile,60 %ile,88 %ile,87 %ile,76 %ile,75 %ile,57 %ile,47 %ile,64 %ile,57 %ile,22 %ile,13 %ile,38 %ile,26 %ile,63 %ile,55 %ile,63 %ile,57 %ile,64 %ile,58 %ile,55 %ile,43 %ile,352712.0,13894.0,0,0,1,0.0,4747.276182,671456.697
106373,250259807001,Massachusetts,MA,Suffolk County,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.232316164,57.93349,0.299616209,20.0,0.2,7924.368692,541.2049889,0.0,0.0,0.363678013,0.11070992,6.082021364,0.828494838,0.00018455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,91.0,39.0,70.0,3.0,2.0,97.0,68.0,0.0,89.0,33.0,73.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,10.0,4.0,8.0,1.0,1.0,11.0,7.0,1.0,9.0,4.0,8.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0 %ile,0 %ile,0 %ile,0 %ile,0 %ile,0 %ile,0 %ile,0 %ile,0 %ile,,91 %ile,39 %ile,70 %ile,3 %ile,2 %ile,97 %ile,68 %ile,0 %ile,89 %ile,33 %ile,73 %ile,32 %ile,32 %ile,0 %ile,0 %ile,0 %ile,0 %ile,0 %ile,0 %ile,0 %ile,0 %ile,0 %ile,0 %ile,0 %ile,0 %ile,0 %ile,0 %ile,0 %ile,0 %ile,0 %ile,0 %ile,0 %ile,0 %ile,0 %ile,0 %ile,0 %ile,0 %ile,0 %ile,0 %ile,2888945.0,53061.0,0,0,0,0.0,16735.66995,5375262.197
104019,250173342003,Massachusetts,MA,Middlesex County,1,850.0,825.0,646.0,468.0,468.0,540.0,0.194509804,0.092771295,104.0,0.122352941,220.0,0.266666667,0.0,0.0,0.0,0.0,28.0,0.043343653,0.0,0.0,198.0,0.232941177,0.153846154,6.888893425,56.41243,0.28164289,20.0,0.3,9141.540654,329.2573322,288.0,0.615384615,0.982367017,0.239993504,7.52861575,3.303702834,2.67308e-06,11.67058824,5.5662777,3.501176472,1.66988331,12.83764706,6.12290547,0.583529412,0.278313885,9.530980396,4.545793455,18.86745099,8.998815615,10.89254902,5.19519252,11.47607844,5.473506405,18.86745099,8.998815615,12.83764706,6.12290547,15.36627452,7.328932305,12.64313726,6.030134175,1.750588236,0.834941655,49.0,48.0,31.0,69.0,0.0,0.0,43.0,0.0,77.0,22.0,60.0,18.0,66.0,3.0,49.0,97.0,56.0,59.0,97.0,66.0,79.0,65.0,9.0,59.0,62.0,27.0,23.0,60.0,63.0,47.0,45.0,66.0,69.0,74.0,79.0,54.0,55.0,58.0,57.0,76.0,80.0,62.0,63.0,63.0,67.0,59.0,60.0,15.0,11.0,5.0,5.0,4.0,7.0,1.0,1.0,5.0,1.0,8.0,3.0,7.0,2.0,7.0,1.0,5.0,11.0,6.0,6.0,11.0,7.0,8.0,7.0,1.0,6.0,7.0,3.0,3.0,7.0,7.0,5.0,5.0,7.0,7.0,8.0,8.0,6.0,6.0,6.0,6.0,8.0,9.0,7.0,7.0,7.0,7.0,6.0,7.0,2.0,2.0,49 %ile,48 %ile,31 %ile,69 %ile,0 %ile,0 %ile,43 %ile,0 %ile,77 %ile,22 %ile,60 %ile,18 %ile,66 %ile,3 %ile,49 %ile,97 %ile,56 %ile,59 %ile,97 %ile,66 %ile,79 %ile,65 %ile,9 %ile,59 %ile,62 %ile,27 %ile,23 %ile,60 %ile,63 %ile,47 %ile,45 %ile,66 %ile,69 %ile,74 %ile,79 %ile,54 %ile,55 %ile,58 %ile,57 %ile,76 %ile,80 %ile,62 %ile,63 %ile,63 %ile,67 %ile,59 %ile,60 %ile,15 %ile,11 %ile,475139.0,0.0,0,0,0,0.0,5920.513514,875210.6349
