Year,Date,Text,order_consent order,order_unilateral order,order_demand,order_demand notice,order_agreement,order_notice of noncompliance,order_boil water order,order_settlement agreement,order_amendment,order_penalty assessment notice,order_civil administrative penalty,order_labels,order_water supply,order_attorney general,order_water,order_hazardous waste,order_sewer,order_civil penalty,order_ supplemental environmental project,order_gasoline,order_asbestos,order_wetlands,order_stormwater,law_npdes,law_chapter 91,Fine,municipality
2004,12/29/04,"DEP issued a Unilateral Administrative Order and a $35,355 Penalty Assessment Notice to Assinippi, Inc. This is the second enforcement action for the same violations involving the company, which is the owner of Merchant Row Shopping Mall in Hanover. Today's actions were taken as a result of continued violations involving the Mall's Groundwater Discharge Permit, Operation and Maintenance and modifications to a wastewater treatment facility without approval. Sewage flows from the Mall are directed to a wastewater treatment facility that is permitted to treat an average of 20,000 gallons per day. Due to numerous existing site conditions, the wastewater treatment facility has been experiencing strong odors. The owner of the Mall added several types of odor control devices that in addition to being ineffective lacked the proper approval.",False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,35355.0,['Hanover']
2004,12/29/04,DEP entered into a Consent Order with the Texas Instruments Inc. (TI) and Engineered Materials Solutions Inc. (EMSI) to establish a compliance schedule in order to allow TI's wastewater treatment facility in Attleboro to accept hazardous industrial wastewater from EMSI. Both facilities are located at 34 Forest Street in an industrial complex in Attleboro.,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,['Attleboro']
2004,12/29/04,"DEP entered into a Consent Order with a $10,000 Penalty involving the Town of Framingham & Revoli Construction (of North Reading) for Wetlands violations. Revoli, which was hired by Framingham to install a water transmission line, was found in June, 2004 to have violated the Wetlands Protection Act by not controlling erosion, not having siltation controls in place and causing the unpermitted alteration of land under a stream. In addition to the Penalty, Revoli agrees to restore the impacted area.",True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,10000.0,"['Framingham', 'North Reading']"
2004,12/28/04,DEP issued a Unilateral Administrative to Gengel C&S Builders for wetlands violations at a subdivision project in Rutland. DEP determined Gengel had failed to prevent erosion and sedimentation resulting in silt deposition into an intermittent stream. DEP's Order requires Gengel to stabilize the site immediately and to provide the Department with a comprehensive erosion control plan and an evaluation of impacts to the stream within 30 days. Penalty assessments are anticipated.12/23/04,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,['Rutland']
2004,12/21/04,"DEP entered into a Consent Order with a $10,000 Penalty involving TJJ Development Corp. for Wetlands violations at the company's Northbridge facility. TJJ failed to comply with several conditions of their Order at their Solid Waste Transfer Station requiring the company to move waste further away from wetlands, to construct the replication area required in the original Order, and to construct storm water improvements on the site.",True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,10000.0,['Northbridge']
2004,12/21/04,"DEP entered into a Consent Order with a $11,395 Penalty involving Revere Copper Products, Inc. of New Bedford for violations of the Hazardous Waste and Air Quality Regulations. A multi-media inspection revealed the company had not complied with",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,11395.0,['New Bedford']
2004,12/21/04,"DEP entered into a Consent Order with a $14,250 Penalty involving, Wheaton College of Norton. DEP agreed to suspend the penalty, and the College agreed to timelines that will develop, permit, and construct enhancements to its wastewater treatment facility. The improved facility will be designed to attain compliance with Wheaton's recently revised National Pollution Discharge Elimination System (NPDES) Permit issued jointly by the EPA and DEP. This action culminates a cooperative EPA/DEP compliance & enforcement action where EPA focused on past violations, and DEP focused on future compliance.",True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,14250.0,['Norton']
2004,12/20/04,"DEP issued a Unilateral Administrative Order and Notice of Intent to assess a $46,702.50 Penalty to Templeton Auto Parts of Templeton. Frederick Hutchinson, the proprietor, was cited for illegal storage of approximately 30,000 used tires. The order requires Mr. Hutchinson to remove the tires.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,46702.5,['Templeton']
2004,12/19/04,"DEP entered into a Consent Order with a $17,250 Penalty involving Boston Ship Repair (BSR) of South Boston. The company had installed and operated equipment that emits in excess of 5 tons per year of Volatile Organic Compounds for approximately 10 years without approval in violation of air quality regulations. BSR has filed the necessary plans, and DEP will issue its approval concurrently with the signing of this Order.",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,17250.0,[]
2004,12/17/04,"DEP executed a Consent Order with a $10,200 Penalty involving Sem-Tec, Inc. of Worcester for Hazardous Waste violations. An inspection by DEP, noted that Sem-Tec failed to follow numerous waste-oil container requirements, including the storage of waste oil for an extended period of time. DEP agreed to suspend $9,700 of the Penalty based on financial hardship.",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,10200.0,['Worcester']
2004,12/17/04,"DEP entered into a Consent Order with a $4,020 Penalty involving Benjamin Moore & Co. of Milford for Hazardous Waste violations. DEP observed the company generated and accumulated hazardous waste in excess of Very Small Quantity Generator Regulations. The total Penalty reflects, in part, past compliance fees.",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,4020.0,['Milford']
2004,12/17/04,"DEP entered into a Consent Order with a $3,905 Penalty regarding Modern Dispersions, Inc. of Leominster for Air Quality and Hazardous Waste Violations. DEP personnel observed the company failed to maintain air pollution control equipment, generated hazardous waste in excess of Small Quantity Generator Regulations, and failed to comply with other hazardous waste container management requirements. The total Penalty reflects, in part, past compliance fees.",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,3905.0,['Leominster']
2004,12/17/04,"DEP entered into a Consent Order with a $2,000 Penalty regarding MASSPOWER of Springfield for Air Quality violations. The company failed to address excess emissions (Nitrogen Oxide or NOx) that resulted from lost steam injection to a combustion turbine. A contractor who was operating the facility's overhead crane caused the incident when the crane power cable caught on, and broke, the piping.",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2000.0,['Springfield']
