,cso_id,latitude,longitude,DischargeVolume,Year,permiteeClass,permiteeName,permiteeId,municipality,location,waterBody,waterBodyDescription,DischargeCount,GEOID
0,001,41.67729239,-71.19565643,191.66,2022,CSO,CITY OF FALL RIVER,MA0100382,FALL RIVER,Other,MOUNT HOPE BAY,,26,250056403003
1,001,42.08598546,-72.58571807,6.1,2022,CSO,SPRINGFIELD WATER & SEWER COMMISSION,MA0101613,AGAWAM,Other,CONNECTICUT RIVER,,2,250138132091
2,001,42.5801595,-72.57384895,0.029,2022,CSO,TOWN OF MONTAGUE,MA0100137,MONTAGUE,Other,CONNECTICUT RIVER,,1,250110407022
3,001,42.71780397,-71.1337055,2.5687,2022,CSO,GREATER LAWRENCE SANITARY DISTRICT,MA0100447,NORTH ANDOVER,Other,MERRIMACK RIVER,,2,250092532011
4,010,42.15132213,-72.62554394,6.82,2022,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,Other,CONNECTICUT RIVER,,5,250138111023
5,035,42.64844804,-71.28746603,190.17,2022,CSO,LOWELL REGIONAL WASTEWATER UTILITY,MA0100633,LOWELL,Other,MERRIMACK RIVER,,17,250173102003
6,046,42.76111625,-71.05200234,1.6514,2022,CSO,CITY OF HAVERHILL,MA0101621,HAVERHILL,Other,MERRIMACK RIVER,,1,250092611013
7,063,42.54220834,-71.74614849,14.1767,2022,CSO,CITY OF FITCHBURG,MA0100986,FITCHBURG,Other,NORTH NASHUA RIVER,,2,250277096001
8,BOS003,42.357852,-71.027741,0.26,2022,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,SW CORNER OF LOGAN NW OF 90,BOSTON INNER HARBOR,,4,250250512001
9,BOS009,42.370315,-71.044129,0.0276,2022,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,CORNER OF SUMMER & NEW ST,BOSTON INNER HARBOR,,4,250250503001
10,BOS019,42.379965,-71.051018,0.0715,2022,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,JUST NW OF TOBIN BRIDGE AND 16TH ST,LITTLE MYSTIC CHANNEL,,2,250250408013
11,BOS065,42.348681,-71.054504,0.009,2022,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,WEST BANK OF FORT POINT CHANNEL,FORT POINT CHANNEL,,1,250250704021
12,BOS070,42.342865,-71.060996,0.993,2022,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,CORNER OF W 4TH ST AND FRONTAGE RD,FORT POINT CHANNEL,,4,250250704021
13,CAM005,42.373565,-71.132759,0.04,2022,CSO,CITY OF CAMBRIDGE,MA0101974,CAMBRIDGE,WEST BANK OF CHARLES JUST SE OF MT AUBURN HOSPITAL,CHARLES RIVER,,2,250173542002
14,CAM401A,42.395655,-71.143988,0.45,2022,CSO,CITY OF CAMBRIDGE,MA0101974,CAMBRIDGE,MBTA 97 CAMBRIDGE PARK DR,ALEWIFE BROOK,,8,250173561003
15,CHE008,42.39471,-71.019155,0.286,2022,CSO,CITY OF CHELSEA,MA0101877,CHELSEA,NORTHERN EDGE OF GULF BULK OIL STORAGE,CHELSEA RIVER,,5,250251605022
16,CHI03,42.204716,-72.589048,23.977838,2022,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,POWER LINE ROW S OF JAMES ST,CONNECTICUT R.,,17,250138113013
