GEOID,DischargeVolume,DischargeCount
250056403001,9.157647,25
250056403003,191.66,26
250056404003,2.239958,23
250056405004,1.058941,14
250056410001,0.47111499999999995,6
250056420002,27.945566,46
250056420003,9.615183,36
250056421001,41.423843000000005,60
250056504001,0.67016,5
250056507001,97.27275,30
250056512001,9.91168,25
250056513001,4.56353,24
250056519001,15.93896,22
250056524002,31.770480000000003,36
250056526002,7.96768,18
250056527002,28.44632,9
250056527003,8.81878,8
250056528001,19.77649,21
250056528002,2.14197,23
250056542001,3.451445,18
250092057005,2.818,11
250092069003,9.881,11
250092214003,0.018,1
250092501001,13.31,2
250092509002,0.48,1
250092516001,2.37,1
250092532011,2.5687,2
250092601002,0.229988,3
250092601003,1.442829,15
250092602002,0.052561,11
250092607001,0.432852,10
250092610002,0.167159,4
250092611011,0.000819,1
250092611013,1.6514,1
250110407011,0.235506,23
250110407022,0.029910000000000003,4
250138001022,2.847,22
250138007002,5.132,27
250138011011,122.091866,80
250138019011,4.205,29
250138019012,10.728715,8
250138020001,61.14,33
250138022001,0.737,9
250138107001,0.189373,11
250138108001,5.058242,22
250138108002,0.4987,13
250138109011,14.942514,15
250138110004,1.125297,14
250138111011,3.642544,25
250138111022,7.537208,24
250138111023,6.82,10
250138113013,23.977838,17
250138113014,0.0,2
250138116002,0.472526,11
250138117001,36.751051,33
250138119001,12.760539,75
250138119002,0.491867,18
250138121031,73.577353,63
250138121032,0.065557,12
250138132091,11.377016,7
250138132092,0.142,4
250173102003,190.19,19
250173104002,39.25,19
250173105001,5.91,8
250173107002,6.78,5
250173124001,22.1,8
250173125011,54.239999999999995,21
250173398022,2.72,2
250173542002,0.04,2
250173561003,0.45,8
250173567011,0.032,1
250235001011,70.32,6
250250404012,38.47,4
250250406001,15.08,10
250250408013,0.0715,2
250250503001,0.0276,4
250250512001,0.26,4
250250704021,1.002,5
250251605022,0.286,5
250259815011,0.01,1
250277096001,14.1767,2
250277101003,1.125267,5
250277102004,0.007,2
250277107002,1.016064,26
250277108003,1.322023,28
250277325001,21.278915,8
