Town,MINORPCT,LOWINCPCT,LINGISOPCT
ABINGTON,0.15623895386756217,0.14028667027972191,0.014303341292447272
ACTON,0.3164930450148733,0.06623712909682664,0.03159781908068887
ACUSHNET,0.07794676815941064,0.19125475305807982,0.009026674935931558
ADAMS,0.057345913484867055,0.3378480603932116,0.007922240091655434
AGAWAM,0.11423687760430169,0.16083628265419125,0.021061820718431736
ALFORD,0.062365591,0.243010753,0.022727273
AMESBURY,0.09487446479665625,0.16989638955594122,0.014402191017123683
AMHERST,0.3375414572358511,0.31247244125561685,0.01897441920597518
ANDOVER,0.2924537138944394,0.08794556363245809,0.03091207504829998
AQUINNAH,0.445730825,0.066570188,0.0
ARLINGTON,0.26764092971080744,0.10588727144161017,0.046547296501121105
ASHBURNHAM,0.06893617030468084,0.11365019844612767,0.0
ASHBY,0.06083411725776105,0.12832860825305736,0.0
ASHFIELD,0.09005847968888889,0.20087401824444445,0.0
ASHLAND,0.279180388,0.080193957,0.057443366
ATHOL,0.10820332178510317,0.2758526586666667,0.0037908745944472406
ATTLEBORO,0.18540906717840022,0.2224880714045857,0.027968715091375718
AUBURN,0.09330797582099133,0.15784006830643052,0.01748011079139427
AVON,0.2702531646983123,0.11243618229978904,0.02575411223839662
BARNSTABLE,0.21148149690948728,0.1917377925633527,0.053468841542742715
BARRE,0.046103778747604414,0.19886664916597363,0.0
BECKET,0.09758364347769516,0.22351301107992566,0.006617795711895911
BEDFORD,0.24215607405088493,0.07395985420414321,0.02565940415305712
BELMONT,0.274800413969249,0.09438464304305884,0.046566311633463926
BERKLEY,0.03673408686927424,0.13733073778628793,0.006608501047441998
BERLIN,0.065243536,0.142641737,0.007627765
BERNARDSTON,0.037073171,0.271302645,0.0
BEVERLY,0.14637230624305814,0.179011864822488,0.03625169108335529
BILLERICA,0.20354804139902372,0.1008064250496964,0.02320474781604953
BLACKSTONE,0.1324553765572486,0.14203706918502396,0.0032910312864606007
BOLTON,0.13988808951851853,0.09219291237037036,0.05639627348148148
BOSTON,0.5818110273833165,0.3174299949349316,0.11563748397268915
BOURNE,0.12767025507061186,0.17780130288348486,0.0
BOXBOROUGH,0.3107293001964906,0.0999817215821605,0.030428357846463173
BOXFORD,0.07022471931924767,0.048607718582193454,0.004885197889594528
BOYLSTON,0.06715176737775468,0.09186077182661123,0.0
BRAINTREE,0.29223884684187335,0.12638999316454871,0.04115249962362506
BREWSTER,0.05417233998297996,0.1591444981867341,0.003999289046391753
BRIDGEWATER,0.09911412792004141,0.13466738768482514,0.001981510211919006
BRIMFIELD,0.1863354034069673,0.1998379690764245,0.0
BROCKTON,0.7100445269027529,0.30815025439350857,0.11527824156377282
BROOKFIELD,0.05152838422707424,0.18689956331819504,0.0
BROOKLINE,0.314764010986199,0.15801071788718438,0.04434519421213818
BUCKLAND,0.11569851188238119,0.2200502454599136,0.0
BURLINGTON,0.23531186377773586,0.08440847300098046,0.0326145658128064
CAMBRIDGE,0.3982925789968081,0.22321962706557502,0.06641627272675799
CANTON,0.20463062122015527,0.0742672349127409,0.015648909997591005
CARLISLE,0.14956855223777565,0.05674906983777565,0.0
CARVER,0.08135039946602525,0.2385110123431836,0.009801381761360708
