Watershed,MINORPCT,LOWINCPCT,LINGISOPCT
BLACKSTONE,0.3220574128056399,0.24714627706539993,0.06566918095297264
BUZZARDS BAY,0.24163639598155615,0.27104736884160346,0.060440482798585105
CAPE COD,0.1289289088162181,0.1811140827446158,0.017938507136190003
CHARLES,0.3940953786847134,0.2238298031471064,0.07024655969944446
CHICOPEE,0.23574195529715927,0.26012126573701405,0.03834981913525486
CONCORD,0.2959446006412626,0.14644745849777466,0.056306617179541454
CONNECTICUT,0.38175926652127723,0.32087044790008945,0.06870865713776343
DEERFIELD,0.1050815676224639,0.25584848784462777,0.016060385614475904
FARMINGTON,0.055759977411548256,0.19113901003990943,0.0027227423266345885
FRENCH,0.1375108383419024,0.17194491754873106,0.013713630108452652
HOOSIC,0.1248862936082925,0.27276799742621555,0.002795744772792629
HOUSATONIC,0.14047379032555443,0.24837274078923893,0.008357269645829132
IPSWICH,0.124331982635713,0.0856468044190618,0.009221347850759952
ISLANDS,0.1761902976085619,0.2012383409523506,0.027730832180429967
KINDERHOOK,0.116154873,0.150867824,0.0
MERRIMACK,0.4104907716364646,0.2601719928492199,0.08362330540239646
MILLERS,0.12034161498560338,0.2909121522587178,0.007678460984205858
MT HOPE BAY,0.24185909493489538,0.3451258235151375,0.10538239607972084
MYSTIC,0.3763328615041989,0.20556651669543421,0.09740382557425985
NARRAGANSETT BAY,0.05299341160942423,0.1336546431220758,0.017033344512794805
NASHUA,0.20496020336019874,0.18135318972486428,0.021166770023758382
NEPONSET,0.47915895754896803,0.20639942373530065,0.07584916084444687
NORTH COAST,0.3224248941184247,0.2355317178581692,0.08451896590626226
PARKER,0.06412758224106722,0.0820319162931835,0.0022311396373056996
QUINEBAUG,0.24730622177743014,0.29130075764992464,0.04334664904408527
SHAWSHEEN,0.25816917322476657,0.11901042833498539,0.04136295615448386
SOUTH COASTAL,0.07091840553176652,0.12123933019190788,0.011372628855576746
TAUNTON,0.27638200888740594,0.1949600403893936,0.04086985055267014
TEN MILE,0.19935666088160994,0.2023376804907226,0.027863705283657617
WEIR,0.323201260760666,0.18046568611740438,0.05013358212462723
WESTFIELD,0.1583332286125611,0.2069982605759057,0.03187840754198972
[UNKNOWN],0.29082319596074074,0.20131302981130614,0.06473937415641967
