Watershed,waterBody,cso_id,DischargeVolume
BLACKSTONE,MILL BROOK TO BLACKSTONE RIVER,WOR001,21.278915
BUZZARDS BAY,ACUSHNET RIVER,NEW022,9.91168
BUZZARDS BAY,ACUSHNET RIVER,NEW023,97.27275
BUZZARDS BAY,ACUSHNET RIVER,NEW027,3.451445
BUZZARDS BAY,ACUSHNET RIVER,NEW041,0.67016
BUZZARDS BAY,CLARK COVE,NEW003,27.92048
BUZZARDS BAY,CLARK COVE,NEW004,3.85
BUZZARDS BAY,CLARK COVE,NEW005,8.40513
BUZZARDS BAY,CLARK COVE,NEW006,1.69113
BUZZARDS BAY,CLARK COVE,NEW007,0.3452
BUZZARDS BAY,CLARK COVE,NEW008,0.0541
BUZZARDS BAY,CLARK COVE,NEW010,0.05154
BUZZARDS BAY,INNER NEW BEDFORD HARBOR,NEW031,15.93896
BUZZARDS BAY,INNER NEW BEDFORD HARBOR,NEW035,0.954
BUZZARDS BAY,INNER NEW BEDFORD HARBOR,NEW036,3.60953
BUZZARDS BAY,OUTER NEW BEDFORD HARBOR,NEW012,16.96547
BUZZARDS BAY,OUTER NEW BEDFORD HARBOR,NEW013,2.81102
BUZZARDS BAY,OUTER NEW BEDFORD HARBOR,NEW016,0.41365
BUZZARDS BAY,OUTER NEW BEDFORD HARBOR,NEW017,28.44632
BUZZARDS BAY,OUTER NEW BEDFORD HARBOR,NEW018,7.96768
CHARLES,CHARLES RIVER,CAM005,0.04
CHARLES,CHARLES RIVER,MWR203,38.47
CHARLES,CHARLES RIVER BASIN,MWR023,0.01
CHARLES,FORT POINT CHANNEL,BOS065,0.009
CHARLES,FORT POINT CHANNEL,BOS070,0.993
CHICOPEE,CHICOPEE R.,CHI26,0.016547
CHICOPEE,CHICOPEE R.,CHI27,5.041695
CHICOPEE,CHICOPEE R.,CHI32B,0.4987
CHICOPEE,CHICOPEE R.,CHI34,1.125297
CHICOPEE,CHICOPEE R.,CHI37,0.189373
CHICOPEE,CHICOPEE R.,SPR034,0.557
CHICOPEE,CHICOPEE R.,SPR035,0.913
CHICOPEE,CHICOPEE R.,SPR036A,1.182
CHICOPEE,CHICOPEE R.,SPR037,0.195
CHICOPEE,CONNECTICUT R.,CHI07,7.537208
CHICOPEE,CONNECTICUT R.,CHI08,0.0
CHICOPEE,CONNECTICUT R.,CHI09,0.0
CHICOPEE,CONNECTICUT RIVER,010,6.82
CONNECTICUT,CONNECTICUT R.,CHI03,23.977838
CONNECTICUT,CONNECTICUT R.,CHI04,1.704264
CONNECTICUT,CONNECTICUT R.,CHI05,1.93828
CONNECTICUT,CONNECTICUT R.,CHI24,14.942514
CONNECTICUT,CONNECTICUT R.,HOL016,0.472526
CONNECTICUT,CONNECTICUT R.,HOL018,36.751051
CONNECTICUT,CONNECTICUT R.,HOL019,0.041945
CONNECTICUT,CONNECTICUT R.,HOL02,0.065557
CONNECTICUT,CONNECTICUT R.,HOL020,6.924397
CONNECTICUT,CONNECTICUT R.,HOL021,5.794197
CONNECTICUT,CONNECTICUT R.,HOL07,0.230798
CONNECTICUT,CONNECTICUT R.,HOL08,9.980555
CONNECTICUT,CONNECTICUT R.,HOL09,63.366
CONNECTICUT,CONNECTICUT R.,MON001,0.00091
CONNECTICUT,CONNECTICUT R.,SPR008,2.226
CONNECTICUT,CONNECTICUT R.,SPR010,50.636
CONNECTICUT,CONNECTICUT R.,SPR011,0.371866
CONNECTICUT,CONNECTICUT R.,SPR012,40.293
CONNECTICUT,CONNECTICUT R.,SPR013,20.534
CONNECTICUT,CONNECTICUT R.,SPR014,10.257
CONNECTICUT,CONNECTICUT R.,SPR015A,2.206
CONNECTICUT,CONNECTICUT R.,SPR015B,0.458
CONNECTICUT,CONNECTICUT R.,SPR016,58.476
CONNECTICUT,CONNECTICUT R.,SPR018,0.142
CONNECTICUT,CONNECTICUT R.,SPR049,2.906
CONNECTICUT,CONNECTICUT RIVER,001,0.029
CONNECTICUT,DINGLE BK TO CONNECTICUT R.,HOL023,0.491867
CONNECTICUT,MILL R.,SPR017,0.586
CONNECTICUT,MILL R.,SPR019,8.984715
CONNECTICUT,MILL R.,SPR024,0.077
CONNECTICUT,MILL R.,SPR025,0.66
CONNECTICUT,MILL R.,SPR045,2.496
CONNECTICUT,MILL R.,SPR046,1.123
CONNECTICUT,MILL R.,SPR048,1.744
CONNECTICUT,POWER CANAL CONNECTICUT RIVER,MON002,0.235506
CONNECTICUT,WILLIMANSETT BK,CHI42,0.0
MERRIMACK,BEAVER BROOK,LOW007,5.91
MERRIMACK,CONCORD RIVER,LOW020,22.1
MERRIMACK,LITTLE RIVER,HAV021F,1.442829
MERRIMACK,LITTLE RIVER,HAV021H,0.432852
MERRIMACK,MERIMACK RIVER,LOW030-2,23.81
MERRIMACK,MERRIMACK RIVER,001,2.5687
MERRIMACK,MERRIMACK RIVER,035,190.17
MERRIMACK,MERRIMACK RIVER,046,1.6514
MERRIMACK,MERRIMACK RIVER,GLSD004,13.31
MERRIMACK,MERRIMACK RIVER,HAV021A,0.229988
MERRIMACK,MERRIMACK RIVER,HAV034,0.167159
MERRIMACK,MERRIMACK RIVER,HAV039,0.000819
MERRIMACK,MERRIMACK RIVER,HAV040,0.027505
MERRIMACK,MERRIMACK RIVER,HAV041,0.025056
MERRIMACK,MERRIMACK RIVER,LOW002,6.78
MERRIMACK,MERRIMACK RIVER,LOW008,29.4
