,cso_id,latitude,longitude,DischargeVolume,Year,permiteeClass,permiteeName,permiteeId,municipality,location,waterBody,waterBodyDescription,DischargeCount,GEOID
0,001,41.67729239,-71.19565643,488.25,2023,CSO,CITY OF FALL RIVER,MA0100382,FALL RIVER,Other,MOUNT HOPE BAY,,48,250056403003
1,001,42.08598546,-72.58571807,6.767,2022,CSO,SPRINGFIELD WATER & SEWER COMMISSION,MA0101613,AGAWAM,Other,CONNECTICUT RIVER,,3,250138132091
2,001,42.10649604,-70.89835498,1.0,2023,Non-CSO,ROCKLAND WASTEWATER TREATMENT FACILITY,MA0101923,ROCKLAND,Other,FRENCH STREAM,,1,250235021022
3,001,42.28589059,-72.61457145,5e-05,2023,Non-CSO,EASTHAMPTON WASTEWATER TREATMENT PLANT,MA0101478,EASTHAMPTON,Other,CONNECTICUT RIVER,,1,250158223001
4,001,42.40139129,-72.57501657,0.45,2023,Non-CSO,AMHERST WASTEWATER TREATMENT PLANT,MA0100218,HADLEY,Other,CONNECTICUT RIVER,,1,250158214003
5,001,42.56902893,-70.67591277,0.89,2023,CSO,CITY OF GLOUCESTER,MA0100625,GLOUCESTER,Other,MASSACHUSETTS BAY,,1,250092213002
6,001,42.5801595,-72.57384895,0.029,2022,CSO,TOWN OF MONTAGUE,MA0100137,MONTAGUE,Other,CONNECTICUT RIVER,,2,250110407022
7,001,42.59810299,-71.29091025,6.54,2023,Non-CSO,BILLERICA WASTEWATER TREATMENT FACILITY,MA0101711,BILLERICA,Other,CONCORD RIVER,,1,250173165001
8,001,42.71780397,-71.1337055,2.5687,2022,CSO,GREATER LAWRENCE SANITARY DISTRICT,MA0100447,NORTH ANDOVER,Other,MERRIMACK RIVER,,2,250092532011
9,010,42.15132213,-72.62554394,6.82,2022,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,Other,CONNECTICUT RIVER,,5,250138111023
10,035,42.64844804,-71.28746603,499.422,2022,CSO,LOWELL REGIONAL WASTEWATER UTILITY,MA0100633,LOWELL,Other,MERRIMACK RIVER,,38,250173102003
11,046,42.76111625,-71.05200234,4.2382,2022,CSO,CITY OF HAVERHILL,MA0101621,HAVERHILL,Other,MERRIMACK RIVER,,2,250092611013
12,063,42.54220834,-71.74614849,16.1307,2023,CSO,CITY OF FITCHBURG,MA0100986,FITCHBURG,Other,NORTH NASHUA RIVER,,4,250277096001
13,BOS003,42.357852,-71.027741,3.086,2023,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,SW CORNER OF LOGAN NW OF 90,BOSTON INNER HARBOR,,13,250250512001
14,BOS004,42.364773,-71.02688,0.01,2023,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,TOMAHAWK ST,BOSTON INNER HARBOR,,1,250250512001
15,BOS009,42.370315,-71.044129,0.34855,2023,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,CORNER OF SUMMER & NEW ST,BOSTON INNER HARBOR,,13,250250503001
16,BOS013,42.384104,-71.039327,0.279,2023,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,JUST NORTH OF NAY ST ON MCARDLE BRIDGE,BOSTON INNER HARBOR,,4,250250501012
17,BOS019,42.379965,-71.051018,0.6515,2022,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,JUST NW OF TOBIN BRIDGE AND 16TH ST,LITTLE MYSTIC CHANNEL,,3,250250408013
18,BOS062,42.354452,-71.05101,0.13,2023,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,SEAPORT BLVD JUST BEFORE INT W/93,FORT POINT CHANNEL,,1,250259901010
19,BOS065,42.348681,-71.054504,0.009,2022,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,WEST BANK OF FORT POINT CHANNEL,FORT POINT CHANNEL,,1,250250704021
20,BOS070,42.342865,-71.060996,10.9833,2023,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,CORNER OF W 4TH ST AND FRONTAGE RD,FORT POINT CHANNEL,,11,250250704021
21,BOS076,42.339617,-71.041995,0.11,2023,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,OFF PAPPAS WAY,RESERVED CHANNEL,,2,250259812021
22,BOS078,42.338537,-71.039996,0.002,2023,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,170 FT NORTH OF INTER E 1ST ST & I ST,RESERVED CHANNEL,,1,250259812021
23,CAM001,42.401988,-71.135391,0.0,2023,CSO,CITY OF CAMBRIDGE,MA0101974,CAMBRIDGE,BETW FOCH ST AND MURRAY HILL RD,ALEWIFE BROOK,,1,250173550002
24,CAM005,42.373565,-71.132759,0.08,2022,CSO,CITY OF CAMBRIDGE,MA0101974,CAMBRIDGE,WEST BANK OF CHARLES JUST SE OF MT AUBURN HOSPITAL,CHARLES RIVER,,3,250173542002
25,CAM007,42.373242,-71.126874,0.0,2023,CSO,CITY OF CAMBRIDGE,MA0101974,CAMBRIDGE,INT OF HAWTHORNE & MEMORIAL DR,CHARLES RIVER,,1,250173541002
26,CAM401A,42.395655,-71.143988,2.402,2022,CSO,CITY OF CAMBRIDGE,MA0101974,CAMBRIDGE,MBTA 97 CAMBRIDGE PARK DR,ALEWIFE BROOK,,13,250173561003
27,CAM401B,42.401033,-71.136154,0.27,2023,CSO,CITY OF CAMBRIDGE,MA0101974,CAMBRIDGE,INT MASS AVE & ALEWIFE BK,ALEWIFE BROOK,,1,250173550002
28,CHE008,42.39471,-71.019155,0.286,2022,CSO,CITY OF CHELSEA,MA0101877,CHELSEA,NORTHERN EDGE OF GULF BULK OIL STORAGE,CHELSEA RIVER,,5,250251605022
29,CHI03,42.204716,-72.589048,25.47679,2022,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,POWER LINE ROW S OF JAMES ST,CONNECTICUT R.,,19,250138113013
30,CHI04,42.191872,-72.603187,1.809824,2022,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,RIVERVIEW PUMP STATION,CONNECTICUT R.,,10,250138111011
31,CHI05,42.18982,-72.606807,1.93828,2022,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,LESLIE ST PUMP STATION,CONNECTICUT R.,,16,250138111011
32,CHI07,42.171157,-72.626901,7.547773,2022,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,JONES FERRY RD PUMP STATION,CONNECTICUT R.,,24,250138111022
33,CHI08,42.170113,-72.626931,0.0,2022,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,EASEMENT OF JONES FERRY RD PUMP STATION,CONNECTICUT R.,,1,250138111022
34,CHI09,42.154761,-72.625969,0.0,2022,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,PADEREWSKI ST PUMP STATION,CONNECTICUT R.,,6,250138111023
35,CHI24,42.143265,-72.616091,15.697475,2022,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,FRONT AND DEPOT ST. AREA,CONNECTICUT R.,,17,250138109011
36,CHI26,42.149238,-72.599493,0.016547,2022,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,BELL & FRONT ST.,CHICOPEE R.,,6,250138108001
37,CHI27,42.149417,-72.596798,5.043792,2022,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,"PARKING LOT, TOPORS GARAGE & FRONT ST",CHICOPEE R.,,17,250138108001
38,CHI32B,42.159749,-72.582694,0.532521,2022,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,MAIN STREET WEST OF DEADY MEMORIAL BRIDGE,CHICOPEE R.,,15,250138108002
39,CHI34,42.160897,-72.586359,1.193645,2022,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,GRATTAN ST & HEARTHSTONE TER,CHICOPEE R.,,15,250138110004
40,CHI37,42.158615,-72.575833,0.209876,2022,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,EAST MAIN ST #227,CHICOPEE R.,,12,250138107001
41,CHI42,42.19321,-72.584598,0.0,2022,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,ROBERTS POND,WILLIMANSETT BK,,2,250138113014
42,FAL002,41.679993,-71.19482,25.851647,2023,CSO,CITY OF FALL RIVER,MA0100382,FALL RIVER,MT HOPE AVE,MOUNT HOPE BAY,,46,250056403001
43,FAL003,41.684952,-71.189877,6.884397,2023,CSO,CITY OF FALL RIVER,MA0100382,FALL RIVER,CHARLES ST,MOUNT HOPE BAY,,11,250056404003
44,FAL004,41.686407,-71.188184,1.255661,2022,CSO,CITY OF FALL RIVER,MA0100382,FALL RIVER,BIRCH ST,MOUNT HOPE BAY,,35,250056404003
