Watershed,waterBody,cso_id,DischargeVolume
BLACKSTONE,MILL BROOK TO BLACKSTONE RIVER,WOR001,61.190915
BUZZARDS BAY,ACUSHNET RIVER,NEW022,11.58294
BUZZARDS BAY,ACUSHNET RIVER,NEW023,212.0453
BUZZARDS BAY,ACUSHNET RIVER,NEW027,10.229665
BUZZARDS BAY,ACUSHNET RIVER,NEW041,5.77926
BUZZARDS BAY,CLARK COVE,NEW003,60.53941
BUZZARDS BAY,CLARK COVE,NEW004,3.85
BUZZARDS BAY,CLARK COVE,NEW005,9.50998
BUZZARDS BAY,CLARK COVE,NEW006,4.63085
BUZZARDS BAY,CLARK COVE,NEW007,0.40995
BUZZARDS BAY,CLARK COVE,NEW008,9.11665
BUZZARDS BAY,CLARK COVE,NEW010,0.31376
BUZZARDS BAY,INNER NEW BEDFORD HARBOR,NEW031,37.82499
BUZZARDS BAY,INNER NEW BEDFORD HARBOR,NEW035,6.07281
BUZZARDS BAY,INNER NEW BEDFORD HARBOR,NEW036,8.9148
BUZZARDS BAY,OUTER NEW BEDFORD HARBOR,NEW012,28.20287
BUZZARDS BAY,OUTER NEW BEDFORD HARBOR,NEW013,4.16451
BUZZARDS BAY,OUTER NEW BEDFORD HARBOR,NEW016,0.4351
BUZZARDS BAY,OUTER NEW BEDFORD HARBOR,NEW017,56.48996
BUZZARDS BAY,OUTER NEW BEDFORD HARBOR,NEW018,25.70497
CHARLES,CHARLES RIVER,CAM005,0.08
CHARLES,CHARLES RIVER,CAM007,0.0
CHARLES,CHARLES RIVER,MWR203,128.42
CHARLES,CHARLES RIVER BASIN,MWR023,0.01
CHARLES,CHARLES RIVER BASIN,MWR201,13.9
CHARLES,FORT POINT CHANNEL,BOS062,0.13
CHARLES,FORT POINT CHANNEL,BOS065,0.009
CHARLES,FORT POINT CHANNEL,BOS070,10.9833
CHARLES,RESERVED CHANNEL,BOS076,0.11
CHARLES,RESERVED CHANNEL,BOS078,0.002
CHICOPEE,CHICOPEE R.,CHI26,0.016547
CHICOPEE,CHICOPEE R.,CHI27,5.043792
CHICOPEE,CHICOPEE R.,CHI32B,0.532521
CHICOPEE,CHICOPEE R.,CHI34,1.193645
CHICOPEE,CHICOPEE R.,CHI37,0.209876
CHICOPEE,CHICOPEE R.,SPR034,0.873
CHICOPEE,CHICOPEE R.,SPR035,1.85
CHICOPEE,CHICOPEE R.,SPR036A,1.966
CHICOPEE,CHICOPEE R.,SPR037,0.641
CHICOPEE,CONNECTICUT R.,CHI07,7.547773
CHICOPEE,CONNECTICUT R.,CHI08,0.0
CHICOPEE,CONNECTICUT R.,CHI09,0.0
CHICOPEE,CONNECTICUT RIVER,010,6.82
CONCORD,CONCORD RIVER,001,6.54
CONNECTICUT,CONNECTICUT R.,CHI03,25.47679
CONNECTICUT,CONNECTICUT R.,CHI04,1.809824
CONNECTICUT,CONNECTICUT R.,CHI05,1.93828
CONNECTICUT,CONNECTICUT R.,CHI24,15.697475
CONNECTICUT,CONNECTICUT R.,HOL016,0.479372
CONNECTICUT,CONNECTICUT R.,HOL018,60.644105
CONNECTICUT,CONNECTICUT R.,HOL019,0.059533
CONNECTICUT,CONNECTICUT R.,HOL02,0.084333
CONNECTICUT,CONNECTICUT R.,HOL020,12.741528
CONNECTICUT,CONNECTICUT R.,HOL021,10.399942
CONNECTICUT,CONNECTICUT R.,HOL07,0.265913
CONNECTICUT,CONNECTICUT R.,HOL08,13.625258
CONNECTICUT,CONNECTICUT R.,HOL09,118.336
CONNECTICUT,CONNECTICUT R.,MON001,0.015972
CONNECTICUT,CONNECTICUT R.,SPR007,0.259
CONNECTICUT,CONNECTICUT R.,SPR008,8.854
CONNECTICUT,CONNECTICUT R.,SPR010,92.746
CONNECTICUT,CONNECTICUT R.,SPR011,0.371866
CONNECTICUT,CONNECTICUT R.,SPR012,58.717
CONNECTICUT,CONNECTICUT R.,SPR013,31.952
CONNECTICUT,CONNECTICUT R.,SPR014,19.777
CONNECTICUT,CONNECTICUT R.,SPR015A,2.789
CONNECTICUT,CONNECTICUT R.,SPR015B,0.531
CONNECTICUT,CONNECTICUT R.,SPR016,82.945
CONNECTICUT,CONNECTICUT R.,SPR018,0.204
CONNECTICUT,CONNECTICUT R.,SPR049,4.623
CONNECTICUT,CONNECTICUT RIVER,001,0.47905000000000003
CONNECTICUT,DINGLE BK TO CONNECTICUT R.,HOL023,0.64469
CONNECTICUT,MILL R.,SPR017,0.615
CONNECTICUT,MILL R.,SPR019,8.984715
CONNECTICUT,MILL R.,SPR024,0.127
CONNECTICUT,MILL R.,SPR025,2.931
CONNECTICUT,MILL R.,SPR045,2.538
CONNECTICUT,MILL R.,SPR046,1.606
CONNECTICUT,MILL R.,SPR048,2.594
CONNECTICUT,POWER CANAL CONNECTICUT RIVER,MON002,0.298068
CONNECTICUT,WILLIMANSETT BK,CHI42,0.0
MERRIMACK,BEAVER BROOK,LOW007,11.7
MERRIMACK,CONCORD RIVER,LOW020,56.79
MERRIMACK,LITTLE RIVER,HAV021F,4.09269
MERRIMACK,LITTLE RIVER,HAV021H,1.34273
MERRIMACK,MERIMACK RIVER,LOW030-2,67.042
MERRIMACK,MERRIMACK RIVER,001,2.5687
MERRIMACK,MERRIMACK RIVER,035,499.422
MERRIMACK,MERRIMACK RIVER,046,4.2382
MERRIMACK,MERRIMACK RIVER,GLSD004,23.52
MERRIMACK,MERRIMACK RIVER,HAV013,4.151814
MERRIMACK,MERRIMACK RIVER,HAV021A,3.546548
MERRIMACK,MERRIMACK RIVER,HAV024,1.374727
MERRIMACK,MERRIMACK RIVER,HAV032,0.114021
MERRIMACK,MERRIMACK RIVER,HAV034,1.920006
MERRIMACK,MERRIMACK RIVER,HAV039,0.047821
MERRIMACK,MERRIMACK RIVER,HAV040,0.168831
MERRIMACK,MERRIMACK RIVER,HAV041,0.093827
MERRIMACK,MERRIMACK RIVER,LOW002,13.29
MERRIMACK,MERRIMACK RIVER,LOW008,80.0
MERRIMACK,MERRIMACK RIVER,LOW011,0.23
MERRIMACK,MERRIMACK RIVER,LOW027,18.13
MERRIMACK,MERRIMACK RIVER,LOW030-1,57.98
MERRIMACK,SPICKETT HARBOR,GLSD006,0.48
