Watershed,waterBody,cso_id,DischargeVolume
BLACKSTONE,MILL BROOK TO BLACKSTONE RIVER,WOR001,856.6728099999999
BUZZARDS BAY,ACUSHNET RIVER,NEW022,127.41234
BUZZARDS BAY,ACUSHNET RIVER,NEW023,2756.5888999999997
BUZZARDS BAY,ACUSHNET RIVER,NEW027,92.066985
BUZZARDS BAY,ACUSHNET RIVER,NEW041,69.35112
BUZZARDS BAY,CLARK COVE,NEW003,726.4729199999999
BUZZARDS BAY,CLARK COVE,NEW004,46.2
BUZZARDS BAY,CLARK COVE,NEW005,85.58982
BUZZARDS BAY,CLARK COVE,NEW006,27.7851
BUZZARDS BAY,CLARK COVE,NEW007,2.04975
BUZZARDS BAY,CLARK COVE,NEW008,45.58325
BUZZARDS BAY,CLARK COVE,NEW010,1.25504
BUZZARDS BAY,INNER NEW BEDFORD HARBOR,NEW031,226.94994
BUZZARDS BAY,INNER NEW BEDFORD HARBOR,NEW035,36.436859999999996
BUZZARDS BAY,INNER NEW BEDFORD HARBOR,NEW036,71.3184
BUZZARDS BAY,OUTER NEW BEDFORD HARBOR,NEW012,84.60861
BUZZARDS BAY,OUTER NEW BEDFORD HARBOR,NEW013,12.49353
BUZZARDS BAY,OUTER NEW BEDFORD HARBOR,NEW016,3.0457
BUZZARDS BAY,OUTER NEW BEDFORD HARBOR,NEW017,508.40964
BUZZARDS BAY,OUTER NEW BEDFORD HARBOR,NEW018,205.63976
CHARLES,BOSTON INNER HARBOR,BOS003,6.172
CHARLES,BOSTON INNER HARBOR,BOS004,0.01
CHARLES,BOSTON INNER HARBOR,BOS009,1.3942
CHARLES,CHARLES RIVER,CAM005,0.4
CHARLES,CHARLES RIVER,CAM007,0.0
CHARLES,CHARLES RIVER,MWR203,1797.8799999999999
CHARLES,CHARLES RIVER BASIN,MWR023,0.24
CHARLES,CHARLES RIVER BASIN,MWR201,166.8
CHARLES,FORT POINT CHANNEL,BOS062,0.13
CHARLES,FORT POINT CHANNEL,BOS065,0.009
CHARLES,FORT POINT CHANNEL,BOS070,65.8998
CHARLES,RESERVED CHANNEL,BOS076,1.87
CHARLES,RESERVED CHANNEL,BOS078,0.038
CHICOPEE,CHICOPEE R.,CHI26,0.11582899999999999
CHICOPEE,CHICOPEE R.,CHI27,30.262752
CHICOPEE,CHICOPEE R.,CHI32B,5.32521
CHICOPEE,CHICOPEE R.,CHI34,11.93645
CHICOPEE,CHICOPEE R.,CHI37,1.679008
CHICOPEE,CHICOPEE R.,SPR034,6.984
CHICOPEE,CHICOPEE R.,SPR035,12.950000000000001
CHICOPEE,CHICOPEE R.,SPR036A,13.762
CHICOPEE,CHICOPEE R.,SPR037,5.128
CHICOPEE,CONNECTICUT R.,CHI04,3.619648
CHICOPEE,CONNECTICUT R.,CHI05,3.87656
CHICOPEE,CONNECTICUT R.,CHI07,30.191092
CHICOPEE,CONNECTICUT R.,CHI08,0.0
CHICOPEE,CONNECTICUT R.,CHI09,0.0
CHICOPEE,CONNECTICUT R.,CHI24,31.39495
CHICOPEE,CONNECTICUT R.,HOL02,0.25299900000000003
CHICOPEE,CONNECTICUT R.,HOL07,0.797739
CHICOPEE,CONNECTICUT R.,HOL08,40.875774
CHICOPEE,CONNECTICUT R.,HOL09,236.672
CHICOPEE,CONNECTICUT RIVER,010,6.82
CONCORD,CONCORD RIVER,001,26.16
CONCORD,CONCORD RIVER,LOW020,170.37
CONNECTICUT,CHICOPEE R.,CHI26,0.016547
CONNECTICUT,CHICOPEE R.,CHI27,5.043792
