GEOID,DischargeVolume,DischargeCount
250010105002,0.093729,2
250039131007,0.175,1
250056139022,33.039,10
250056321003,999.999999,1
250056403001,93.734064,149
250056403003,1795.264217,179
250056404003,33.812967,102
250056405004,13.374697,64
250056410001,29.512963,49
250056420002,283.863827,279
250056420003,193.597604,274
250056421001,429.716885,384
250056503002,0.12512,2
250056504001,5.77926,6
250056507001,689.268336,252
250056512001,11.58294,31
250056513001,68.876815,243
250056519001,142.591339,166
250056524002,280.09027000000003,288
250056526002,117.121005,135
250056527002,248.737344,92
250056527003,25.568699,81
250056528001,32.36738,28
250056528002,53.319736,128
250056542001,39.636973,125
250092011001,1.80788,4
250092022004,1.335464,7
250092033022,0.072,1
250092057005,32.154829,93
250092069003,144.226924,146
250092213002,0.89,1
250092214003,0.18,10
250092215002,0.276,7
250092501001,176.54059600000002,35
250092509002,6.126247,10
250092516001,38.4927,17
250092532011,57.7297,18
250092601002,26.852272,31
250092601003,17.361077,112
250092602002,2.114101,71
250092603012,27.576203,17
250092607001,9.571944,76
250092608002,17.33541,19
250092610002,19.605847,51
250092611011,0.363247,16
250092611013,51.7282,10
250110407011,0.75121,63
250110407022,0.630761,49
250138001022,19.621000000000002,121
250138007002,37.627,138
250138011011,733.347068,528
250138019011,27.038660999999998,161
250138019012,81.680767,63
250138020001,198.331469,143
250138022001,7.279,57
250138107001,1.005625,39
250138108001,21.590654999999998,78
250138108002,2.36377,56
250138109011,69.454067,60
250138110004,4.023005,50
250138111011,15.273601,90
250138111022,17.667698,64
250138111023,130.09780700000002,56
250138113013,98.279335,61
250138113014,0.465397,6
250138116002,1.850684,45
250138117001,211.675397,211
250138119001,98.43802500000001,443
250138119002,2.454447,101
250138121031,617.717181,343
250138121032,0.620762,90
250138132091,374.938326,88
250138132092,2.816,41
250158214003,0.45,1
250158223001,5e-05,1
250173102003,2452.11946,163
250173104002,482.90002,140
250173105001,67.833,53
250173107002,55.29,27
250173124001,199.24,60
250173125011,654.51638,123
250173165001,396.4304,6
250173398022,68.97,27
250173521021,2.8,5
250173541002,1.38,4
250173542002,3.71,27
250173550002,1.975,16
250173561003,45.306,70
250173567011,12.033039,23
250173631043,0.0117,1
250173882002,0.0002,1
250235001011,3601.0013000000004,63
250235021022,21.541675,6
250235061021,0.021042,1
250250305001,7.2,4
250250404012,762.81,40
250250406001,273.284,101
250250408013,2.5375,12
250250501012,0.473,12
250250503001,3.82795,47
250250509013,0.17529,20
250250512001,16.942,50
250250704021,180.08110000000002,106
250251603002,0.028,1
250251605022,1.660842,22
250259812021,2.0275,20
250259815011,123.083,39
250259818001,6.4707,12
250259901010,7.7502,28
250277096001,213.410568,81
250277101002,0.316,3
250277101003,13.296268,39
250277102004,0.22,10
250277103001,0.171,4
250277107002,9.505065,94
250277108003,3.291023,91
250277221003,0.016676,1
250277325001,563.320881,76
250277371003,58.2,3
