GEOID,DischargeVolume,DischargeCount
250010105002,0.093861,3
250056139022,0.106,1
250056403001,43.32159,66
250056403003,653.44,72
250056404003,15.483718,68
250056405004,8.375598,38
250056410001,20.035261,31
250056420002,131.742766,121
250056420003,73.820421,131
250056421001,204.286381,167
250056503002,0.12512,1
250056504001,5.77926,6
250056507001,254.38142,97
250056512001,11.58294,31
250056513001,28.997149,90
250056519001,50.67032,64
250056524002,93.41268,114
250056526002,27.50825,52
250056527002,69.82446,37
250056527003,11.71579,31
250056528001,32.36738,28
250056528002,18.110210000000002,58
250056542001,13.770445,56
250092022004,1.221831,3
250092033022,0.072,1
250092057005,9.824297,37
250092069003,51.641272,53
250092213002,0.89,1
250092214003,0.054,3
250092215002,0.051,1
250092501001,125.115599,22
250092509002,5.124575,6
250092516001,32.7357,13
250092532011,2.5687,2
250092601002,18.52175,17
250092601003,11.432142,50
250092602002,1.835808,48
250092603012,21.122375,10
250092607001,6.225222,31
250092608002,13.81508,11
250092610002,14.176251,31
250092611011,0.327904,12
250092611013,4.2382,2
250110407011,0.542123,37
250110407022,0.33054,23
250138001022,14.45,71
250138007002,22.691,77
250138011011,376.643206,234
250138019011,10.183,85
250138019012,35.788898,30
250138020001,109.983,86
250138022001,4.423,32
250138107001,0.209876,12
250138108001,5.060339,23
250138108002,0.532521,15
250138109011,15.697475,17
250138110004,1.193645,15
250138111011,3.748104,26
250138111022,7.547773,25
250138111023,105.16,13
250138113013,25.47679,19
250138113014,0.0,2
250138116002,1.157484,24
250138117001,99.173468,95
250138119001,33.60623,195
250138119002,1.159581,47
250138121031,257.132664,157
250138121032,0.273978,37
250138132091,78.16293999999999,33
250138132092,0.705,18
250158214003,0.45,1
250158223001,5e-05,1
250173102003,810.112,72
250173104002,239.7,67
250173105001,42.42,30
250173107002,47.76,20
250173124001,170.42,31
250173125011,282.582,66
250173165001,119.9,4
250173398022,37.32,16
250173521021,1.73,2
250173541002,0.33,2
250173542002,0.21,9
250173550002,0.42,7
250173561003,12.492,27
250173567011,6.728,11
250235001011,974.111,26
250235021022,1.0,1
250250305001,6.35,2
250250404012,320.23,18
250250406001,120.14500000000001,40
250250408013,0.7875,5
250250501012,0.386,8
250250503001,0.83595,30
250250509013,0.09853400000000001,6
250250512001,6.7090000000000005,26
250250704021,50.374300000000005,40
250251603002,0.028,1
250251605022,1.240628,10
250259812021,1.0154999999999998,13
250259815011,55.408,22
250259818001,4.30348,4
250259901010,3.4542,13
250277096001,55.0147,16
250277101002,0.006,1
250277101003,6.224268,17
250277102004,0.119,9
250277103001,0.17,3
250277107002,5.537065,57
250277108003,2.545023,51
250277221003,0.016676,1
250277325001,61.190915,16
250277371003,0.8,1
