Watershed,waterBody,cso_id,DischargeVolume
BLACKSTONE,BLACKSTONE RIVER,001A,0.8
BLACKSTONE,MILL BROOK TO BLACKSTONE RIVER,WOR001,61.190915
BUZZARDS BAY,ACUSHNET RIVER,NEW022,11.58294
BUZZARDS BAY,ACUSHNET RIVER,NEW023,254.38142
BUZZARDS BAY,ACUSHNET RIVER,NEW026,0.12512
BUZZARDS BAY,ACUSHNET RIVER,NEW027,13.770445
BUZZARDS BAY,ACUSHNET RIVER,NEW041,5.77926
BUZZARDS BAY,CLARK COVE,NEW003,74.21768
BUZZARDS BAY,CLARK COVE,NEW004,19.195
BUZZARDS BAY,CLARK COVE,NEW005,10.94267
BUZZARDS BAY,CLARK COVE,NEW006,6.86545
BUZZARDS BAY,CLARK COVE,NEW007,0.76528
BUZZARDS BAY,CLARK COVE,NEW008,9.74083
BUZZARDS BAY,CLARK COVE,NEW009,0.23084
BUZZARDS BAY,CLARK COVE,NEW010,0.50781
BUZZARDS BAY,INNER NEW BEDFORD HARBOR,NEW030,0.01692
BUZZARDS BAY,INNER NEW BEDFORD HARBOR,NEW031,50.6534
BUZZARDS BAY,INNER NEW BEDFORD HARBOR,NEW035,12.85613
BUZZARDS BAY,INNER NEW BEDFORD HARBOR,NEW036,16.141019
BUZZARDS BAY,OUTER NEW BEDFORD HARBOR,NEW012,28.20287
BUZZARDS BAY,OUTER NEW BEDFORD HARBOR,NEW013,4.16451
BUZZARDS BAY,OUTER NEW BEDFORD HARBOR,NEW016,0.77312
BUZZARDS BAY,OUTER NEW BEDFORD HARBOR,NEW017,69.82446
BUZZARDS BAY,OUTER NEW BEDFORD HARBOR,NEW018,27.50825
CAPE COD,LITTLE RIVER,HAV021B,0.093861
CHARLES,BOSTON INNER HARBOR,BOS057,6.35
CHARLES,BOSTON INNER HARBOR,BOS060,0.6612
CHARLES,CHARLES RIVER,CAM005,0.21
CHARLES,CHARLES RIVER,CAM007,0.33
CHARLES,CHARLES RIVER,MWR203,320.23
CHARLES,CHARLES RIVER BASIN,CAM017,1.73
CHARLES,CHARLES RIVER BASIN,MWR010,0.0
CHARLES,CHARLES RIVER BASIN,MWR018,0.555
CHARLES,CHARLES RIVER BASIN,MWR019,0.19
CHARLES,CHARLES RIVER BASIN,MWR020,0.13
CHARLES,CHARLES RIVER BASIN,MWR023,1.083
CHARLES,CHARLES RIVER BASIN,MWR201,53.45
CHARLES,FORT POINT CHANNEL,BOS062,2.793
CHARLES,FORT POINT CHANNEL,BOS064,0.208
CHARLES,FORT POINT CHANNEL,BOS065,0.08
CHARLES,FORT POINT CHANNEL,BOS068,0.038
CHARLES,FORT POINT CHANNEL,BOS070,49.9303
CHARLES,FORT POINT CHANNEL,BOS073,0.118
CHARLES,MUDDY RIVER,BOS046,4.30348
CHARLES,RESERVED CHANNEL,BOS076,0.411
CHARLES,RESERVED CHANNEL,BOS078,0.4205
CHARLES,RESERVED CHANNEL,BOS079,0.025
CHARLES,RESERVED CHANNEL,BOS080,0.159
CHICOPEE,CHICOPEE R.,CHI26,0.016547
CHICOPEE,CHICOPEE R.,CHI27,5.043792
CHICOPEE,CHICOPEE R.,CHI32B,0.532521
CHICOPEE,CHICOPEE R.,CHI34,1.193645
CHICOPEE,CHICOPEE R.,CHI37,0.209876
CHICOPEE,CHICOPEE R.,SPR034,2.064
CHICOPEE,CHICOPEE R.,SPR035,4.121
CHICOPEE,CHICOPEE R.,SPR036A,6.076
CHICOPEE,CHICOPEE R.,SPR037,2.189
CHICOPEE,CONNECTICUT R.,CHI07,7.547773
CHICOPEE,CONNECTICUT R.,CHI08,0.0
CHICOPEE,CONNECTICUT R.,CHI09,0.0
CHICOPEE,CONNECTICUT RIVER,010,105.16
CHICOPEE,WARE RIVER,001,0.016676
CONCORD,CONCORD RIVER,001,119.9
CONNECTICUT,CONNECTICUT R.,CHI03,25.47679
CONNECTICUT,CONNECTICUT R.,CHI04,1.809824
CONNECTICUT,CONNECTICUT R.,CHI05,1.93828
CONNECTICUT,CONNECTICUT R.,CHI24,15.697475
CONNECTICUT,CONNECTICUT R.,HOL016,1.157484
CONNECTICUT,CONNECTICUT R.,HOL018,99.173468
CONNECTICUT,CONNECTICUT R.,HOL019,0.11424
CONNECTICUT,CONNECTICUT R.,HOL02,0.273978
CONNECTICUT,CONNECTICUT R.,HOL020,18.693514
CONNECTICUT,CONNECTICUT R.,HOL021,14.798476
CONNECTICUT,CONNECTICUT R.,HOL07,0.537726
CONNECTICUT,CONNECTICUT R.,HOL08,21.509938
CONNECTICUT,CONNECTICUT R.,HOL09,235.085
CONNECTICUT,CONNECTICUT R.,MON001,0.236532
CONNECTICUT,CONNECTICUT R.,SPR007,1.032
CONNECTICUT,CONNECTICUT R.,SPR008,15.325
CONNECTICUT,CONNECTICUT R.,SPR010,142.031
CONNECTICUT,CONNECTICUT R.,SPR011,0.823206
CONNECTICUT,CONNECTICUT R.,SPR012,124.182
CONNECTICUT,CONNECTICUT R.,SPR013,76.776
