cluster_id,label,n_bills,n_env_bills
0,Community and Environmental Policy,1983,49
1,"Patient Safety, Staff Autonomy, Transparency",1289,1
2,Solid Waste Reduction and Recycling,463,178
3,Student Education and Well-being,1572,7
4,Infrastructure Investment and Economic Growth,1124,8
5,Data Privacy and Security,1358,4
6,Special Commissions and Studies,1013,14
7,Tax Reform and Exemptions,1270,1
8,Local Affordable Housing Options,1148,7
9,"Youth, Crime, and Public Safety",1175,5
10,Mental and Behavioral Health Access,629,0
11,Firearms Regulation and Ownership,668,6
12,Public Safety Personnel Retirement,1256,0
13,"Public Health, Economy, Environment",651,13
14,Massachusetts Clean Energy Transition,799,235
15,"Prescription Drug Pricing, Access, Safety",781,1
16,Wage Theft and Worker Protections,1281,2
17,Elder Long-Term Care Services,921,0
18,Healthcare Coverage and Affordability,1142,0
19,State Funding for Programs,862,12
20,Local Clean Energy Transition,1058,54
21,Automobile Insurance Premiums and Surcharges,745,12
22,State Fiscal and Policy Initiatives,1084,29
23,Authorizing Local Liquor Licenses,521,0
24,Automotive Safety and Technology Regulation,1123,5
