,bill_number,general_court,bill_title,bill_id,env_relevance_score,is_environmental,cluster_id,summary,categories,tags,is_env_llm,is_environmental_embedding
0,4853,194,"An act protecting our soil, farms and food from PFAS contamination",H4853,0.175882339477539,1,19,"This bill would protect agricultural land, farms, and the food supply from contamination by PFAS chemicals. If passed, it would likely establish regulations or programs aimed at preventing the presence of these harmful substances in soil and food products, thereby safeguarding public health and supporting the agricultural industry.","[""Environmental Protection"", ""Food, Drugs and Alcohol""]","[""Soil pollution"", ""Hazardous wastes and toxic substances"", ""Food supply, safety, and labeling"", ""Environmental health""]",True,1
1,2802,194,An Act protecting our soil and farms from PFAS contamination,S2802,0.1644789576530456,1,12,"This bill would protect agricultural land and farms from contamination by PFAS, often called ""forever chemicals."" If passed, it would likely establish regulations or programs aimed at preventing these harmful substances from entering the soil and water used for farming. The policy intent is to safeguard the food supply and the economic viability of farms by addressing a significant environmental health concern.","[""Environmental Protection"", ""Food, Drugs and Alcohol""]","[""Soil pollution"", ""Hazardous wastes and toxic substances"", ""Food supply, safety, and labeling"", ""Environmental health""]",True,1
2,664,194,An Act relative to liability for release of hazardous materials,S664,0.1361945271492004,1,22,"This bill would establish clear rules for who is responsible when hazardous materials are released into the environment. If passed, it would help ensure that the parties responsible for pollution are held accountable for cleanup costs and damages. This could lead to faster remediation of contaminated sites and provide a legal framework for victims to seek compensation.","[""Environmental Protection""]","[""Hazardous wastes and toxic substances"", ""Pollution control and abatement"", ""Environmental regulatory procedures"", ""Environmental health""]",True,1
3,4563,193,An Act relative to landfills and areas of critical environmental concern,H4563,0.1332122087478637,1,0,"This bill would prohibit the creation of new landfills, monofills, or ash landfills in or next to areas officially designated by the state as ""areas of critical environmental concern."" If passed, this would protect environmentally sensitive regions from the potential negative impacts associated with waste disposal facilities, such as pollution and habitat destruction. The policy intent is to safeguard specific natural areas that are deemed vital for environmental protection.","[""Environmental Protection""]","[""Hazardous wastes and toxic substances"", ""Solid waste and recycling"", ""Environmental regulatory procedures"", ""Pollution control and abatement""]",True,1
4,2945,190,An Act relative to landfills and areas of critical environmental concern,H2945,0.1287270784378051,1,21,"This bill would prohibit the creation of new landfills, monofills, or ash landfills in or next to areas designated as Areas of Critical Environmental Concern. If passed, it would also prevent the expansion of any existing landfills in these protected areas, whether by increasing their size, height, or disposal capacity. The intent is to protect environmentally sensitive regions from the impacts of waste disposal.","[""Environmental Protection""]","[""Hazardous wastes and toxic substances"", ""Solid waste and recycling"", ""Environmental regulatory procedures"", ""Pollution control and abatement""]",True,1
5,894,191,An Act relative to landfills and areas of critical environmental concern,H894,0.1287270784378051,1,10,"This bill would prohibit the creation of new landfills, monofills, or ash landfills in or next to areas designated as Areas of Critical Environmental Concern. If passed, it would also prevent the expansion of any existing landfills in these protected areas, whether by increasing their size, height, or disposal capacity. The intent is to protect environmentally sensitive regions from the impacts of waste disposal.","[""Environmental Protection""]","[""Hazardous wastes and toxic substances"", ""Solid waste and recycling"", ""Environmental regulatory procedures"", ""Pollution control and abatement""]",True,1
6,930,192,An Act relative to landfills and areas of critical environmental concern,H930,0.1287270784378051,1,2,"This bill would prohibit the creation of new landfills, monofills, or ash landfills in or next to areas designated as Areas of Critical Environmental Concern. If passed, it would also prevent the expansion of any existing landfills in these protected areas, whether by increasing their physical size, height, or overall capacity. The intent is to safeguard environmentally sensitive regions from the impacts of waste disposal.","[""Environmental Protection""]","[""Hazardous wastes and toxic substances"", ""Solid waste and recycling"", ""Environmental regulatory procedures"", ""Wetlands""]",True,1
7,440,190,An Act relative to landfills and Areas of Critical Environmental Concern,S440,0.1273688673973083,1,2,"This bill would prohibit the creation of new landfills, monofills, or ash landfills in or next to areas designated as Areas of Critical Environmental Concern. If passed, it would also prevent the expansion of any existing landfills, monofills, or ash landfills located in or adjacent to these protected environmental areas. The policy intent is to safeguard environmentally sensitive regions from the impacts of waste disposal, thereby protecting natural resources and ecosystems.","[""Environmental Protection""]","[""Hazardous wastes and toxic substances"", ""Solid waste and recycling"", ""Environmental regulatory procedures"", ""Pollution control and abatement""]",True,1
8,535,191,An Act relative to maintaining adequate water supplies through effective drought management,S535,0.1273208856582641,1,22,"This bill would establish a framework for managing water supplies during drought conditions. If passed, it would aim to ensure that communities have access to sufficient water by implementing effective drought response strategies. The policy intent is to prevent water shortages and mitigate the impacts of drought on residents and businesses.","[""Public and Natural Resources"", ""Environmental Protection""]","[""Water resources"", ""Water quality"", ""Environmental regulatory procedures"", ""Environmental assessment, monitoring, research""]",True,1
9,1669,191,An Act relative to maintaining adequate water supplies through effective drought management,SD1669,0.1273208856582641,1,22,"This bill would establish a framework for managing water supplies during drought conditions. If passed, it would aim to ensure that communities have access to adequate water by implementing effective drought response strategies. The policy intent is to protect public health and safety, support economic stability, and preserve natural resources by proactively addressing water scarcity.","[""Public and Natural Resources"", ""Environmental Protection""]","[""Water resources"", ""Water quality"", ""Environmental regulatory procedures"", ""Environmental assessment, monitoring, research""]",True,1
10,578,193,An Act relative to maintaining adequate water supplies through effective drought management,S578,0.1273208856582641,1,19,"This bill would establish a framework for managing water supplies during drought conditions. If passed, it would aim to ensure that communities have access to sufficient water by implementing effective drought response strategies. The policy intent is to prevent water shortages and mitigate the impacts of drought on residents and businesses.","[""Public and Natural Resources"", ""Environmental Protection""]","[""Water resources"", ""Water quality"", ""Environmental regulatory procedures"", ""Environmental assessment, monitoring, research""]",True,1
11,3701,193,An Act relative to chemical recycling,H3701,0.1225528717041015,1,21,"This bill, if passed, would prohibit the use of certain processes, often referred to as ""chemical recycling,"" that transform plastic into fuel or other energy products. It would also ban the construction or modification of facilities designed for these technologies within the Commonwealth. Furthermore, the bill would prevent any state financial incentives from supporting such technologies or facilities, aiming to ensure that plastic waste is truly recycled into new materials rather than being used for energy production.","[""Environmental Protection""]","[""Solid waste and recycling"", ""Pollution control and abatement"", ""Environmental regulatory procedures""]",True,1
12,863,193,An Act relative to proper disposal of products containing PFAS,H863,0.1221067905426025,1,2,"This bill would direct the Department of Environmental Protection to develop best practices and regulations for disposing of products containing PFAS chemicals. If passed, the department would also be required to identify contamination sources, assess risks to public health and the environment, and estimate mitigation costs. The goal is to create a comprehensive strategy for managing these substances and protecting residents from their harmful effects.","[""Environmental Protection""]","[""Hazardous wastes and toxic substances"", ""Environmental regulatory procedures"", ""Environmental health"", ""Pollution control and abatement""]",True,1
13,517,193,An Act relative to the remediation of home heating oil releases.,HD517,0.1173797845840454,1,22,"This bill would establish a fund to help homeowners pay for the cleanup of oil spills from home heating oil tanks. If passed, it would provide financial assistance to property owners facing significant costs for environmental remediation, thereby reducing the burden on individual households and ensuring quicker cleanup of hazardous substances. The fund would likely be supported by fees or surcharges related to heating oil sales.","[""Environmental Protection"", ""Housing and Community Development""]","[""Hazardous wastes and toxic substances"", ""Soil pollution"", ""Environmental health"", ""Residential rehabilitation and home repair"", ""Housing supply and affordability""]",True,1
14,475,193,An Act relative to maintaining adequate water supplies through effective drought management,S475,0.1167581677436828,1,14,"This bill would establish a drought management task force within a state office. This task force would be responsible for collecting information, coordinating responses, and making recommendations to state leaders regarding drought conditions. If passed, the bill would also require the task force to maintain and regularly update a statewide drought management plan. Furthermore, it would grant the secretary the authority to order uniform water conservation measures, such as limits on outdoor water use, across drought-affected regions, and would require cities and towns to enforce these restrictions.","[""Environmental Protection"", ""Emergency Management""]","[""Water quality"", ""Environmental regulatory procedures"", ""Hazards and emergency operations"", ""Emergency planning and evacuation""]",True,1
15,530,192,An Act relative to maintaining adequate water supplies through effective drought management,S530,0.1155470609664917,1,20,"This bill would establish a drought management task force within the state government. This task force would be responsible for collecting information, coordinating responses, and making recommendations to state leaders regarding drought conditions. If passed, the task force would also maintain and regularly update a statewide drought management plan to ensure preparedness and protect public health and the environment. The Secretary would be empowered to order uniform water conservation measures, such as limits on outdoor water use, across drought-affected regions, and cities and towns would be required to enforce these restrictions.","[""Environmental Protection"", ""Emergency Management""]","[""Water quality"", ""Environmental regulatory procedures"", ""Hazards and emergency operations"", ""Emergency planning and evacuation""]",True,1
16,861,193,An Act relative to maintaining adequate water supplies through effective drought management,H861,0.1155470609664917,1,4,"This bill would establish a drought management task force within the state government. This task force would be responsible for collecting information, coordinating responses, and making recommendations to state leaders regarding drought conditions. If passed, the task force would also maintain and regularly update a statewide drought management plan to ensure preparedness and protect public health and the environment. The Secretary would be empowered to order uniform water conservation measures, such as limits on outdoor water use, across drought-affected regions, and cities and towns would be required to enforce these restrictions.","[""Environmental Protection"", ""Emergency Management""]","[""Water quality"", ""Environmental regulatory procedures"", ""Hazards and emergency operations"", ""Emergency planning and evacuation""]",True,1
17,101,193,An Act protecting our soil and farms from PFAS contamination,H101,0.1148217916488647,1,17,"This bill would protect farmers from lawsuits and civil liability if their soil, water, or agricultural products are found to contain PFAS as a result of standard farming practices. If passed, it would also establish an Agricultural PFAS Relief Fund to help farmers in Massachusetts who have experienced losses or incurred costs due to PFAS contamination. This fund would support PFAS testing, help farmers adapt their practices, provide educational resources, address health needs, and fund remediation efforts.","[""Environmental Protection"", ""Food, Drugs and Alcohol""]","[""Soil pollution"", ""Water quality"", ""Hazardous wastes and toxic substances"", ""Food supply, safety, and labeling"", ""Food industry and services""]",True,1
18,39,193,An Act protecting our soil and farms from PFAS contamination,S39,0.1148217916488647,1,14,"This bill would protect farmers from lawsuits and civil liability if their soil, water, or crops are contaminated with PFAS chemicals due to standard farming practices. If passed, it would also create an ""Agricultural PFAS Relief Fund"" to help farmers cover costs associated with PFAS contamination, such as testing, adapting business practices, remediation, and addressing health needs. The fund would be managed by the commissioner of agricultural resources and could receive money from state appropriations, grants, and donations.","[""Environmental Protection"", ""Food, Drugs and Alcohol""]","[""Soil pollution"", ""Water quality"", ""Hazardous wastes and toxic substances"", ""Food supply, safety, and labeling"", ""Food industry and services""]",True,1
19,662,194,An Act relative to maintaining adequate water supplies through effective drought management,S662,0.1139992475509643,1,5,"This bill would establish a drought management task force within the state government, composed of various state and federal officials and professionals. The task force would be responsible for collecting information, coordinating responses, and making recommendations to state leaders regarding drought levels and appropriate actions. If passed, the Secretary of Energy and Environmental Affairs would gain the authority to order uniform water conservation measures, such as limits on outdoor water use, across drought-affected regions to protect public health, safety, and the environment. Cities and towns would be required to enforce these state-mandated water conservation restrictions.","[""Environmental Protection"", ""Emergency Management""]","[""Water quality"", ""Environmental regulatory procedures"", ""Hazards and emergency operations"", ""Emergency planning and evacuation""]",True,1
20,762,191,An Act relative to maintaining adequate water supplies through effective drought management,H762,0.1139992475509643,1,14,"This bill would establish a drought management task force within the state government. This task force would be responsible for collecting information, coordinating responses, and making recommendations to state leaders regarding drought conditions and appropriate actions. If passed, the Secretary could order uniform water conservation measures, such as limiting outdoor water use, across drought-affected regions to protect public health and the environment. Cities and towns would be required to enforce these state-mandated water conservation restrictions.","[""Environmental Protection"", ""Emergency Management""]","[""Water quality"", ""Environmental regulatory procedures"", ""Hazards and emergency operations"", ""Emergency planning and evacuation""]",True,1
21,617,192,An Act relative to maintaining adequate water supplies through effective drought management,S617,0.1139992475509643,1,14,"This bill would establish a drought management task force within the state government. This task force would be responsible for collecting information, coordinating responses, and making recommendations to state leaders regarding drought conditions and appropriate actions. If passed, the Secretary could order uniform water conservation measures, such as limiting outdoor water use, across drought-affected regions to protect public health and the environment. Cities and towns would be required to enforce these state-mandated water conservation restrictions.","[""Environmental Protection"", ""Emergency Management""]","[""Water quality"", ""Environmental regulatory procedures"", ""Hazards and emergency operations"", ""Emergency planning and evacuation""]",True,1
