,entity_name,year,date,lobbyist_name,recipient_name,office_sought,amount,entity_name_norm
0,Grant Associates,2005,2/15/2005,Joseph M Grant,Sal Dimasi,Representative,200.0,GRANT
1,Grant Associates,2005,2/15/2005,Joseph M Grant,Mark Montigney,Senate,200.0,GRANT
2,Grant Associates,2005,2/15/2005,Joseph M Grant,Michael Morrisey,Senate,200.0,GRANT
3,Grant Associates,2005,3/22/2005,Joseph M Grant,Robert  Antonioni,Senate,200.0,GRANT
4,Grant Associates,2005,4/22/2005,Joseph M Grant,Joseph Wagner,Representative,200.0,GRANT
5,Grant Associates,2005,4/22/2005,Joseph M Grant,Thomas  Kennedy,Representative,200.0,GRANT
6,Grant Associates,2005,5/25/2005,Joseph M Grant,Richard Moore,Senate,200.0,GRANT
7,Grant Associates,2005,5/4/2005,Joseph M Grant,Andrea Nuciforo,Senate,200.0,GRANT
8,Grant Associates,2005,6/20/2005,Joseph M Grant,Robert Deleo,Representative,200.0,GRANT
9,Grant Associates,2005,6/22/2005,Joseph M Grant,William Galvin,Representative,200.0,GRANT
10,Grant Associates,2005,6/24/2005,Joseph M Grant,John Bienda,Representative,200.0,GRANT
11,Grant Associates,2005,6/6/2005,Joseph M Grant,James Timilty,Senate,200.0,GRANT
12,Fort Hill Advisors,2005,11/16/2005,Scott H. Bosworth,Edward Augustus,Senator,200.0,FORT HILL ADVISORS
13,Fort Hill Advisors,2005,9/30/2005,Scott H. Bosworth,Michael F. Flaherty Jr.,"City Wide, Boston",200.0,FORT HILL ADVISORS
14,Fort Hill Advisors,2005,06/09/2005,Joseph A. Giannino,James Valee,State Representative,100.0,FORT HILL ADVISORS
15,Fort Hill Advisors,2005,09/13/2005,Joseph A. Giannino,Michael F. Flaherty Jr,"City Wide, Boston",200.0,FORT HILL ADVISORS
16,Fort Hill Advisors,2005,09/20/2005,Joseph A. Giannino,Robert Travaligini,State Senate,200.0,FORT HILL ADVISORS
17,Fort Hill Advisors,2005,10/16/2005,Joseph A. Giannino,Thomas Ambrosino,"City Wide, Revere",100.0,FORT HILL ADVISORS
18,Fort Hill Advisors,2005,11/10/2005,Joseph A. Giannino,Jack Hart,State Senate,200.0,FORT HILL ADVISORS
19,Fort Hill Advisors,2005,9/30/2005,Joseph A. Giannino,Michael F. Flaherty Jr.,"City Wide, Boston",200.0,FORT HILL ADVISORS
20,Fort Hill Advisors,2005,09/05/2005,Kevin F Mulvey,Robert Travaglini,Senator,100.0,FORT HILL ADVISORS
21,Fort Hill Advisors,2005,11/05/2005,Kevin F Mulvey,Martin Walsh,Representative,50.0,FORT HILL ADVISORS
22,Fort Hill Advisors,2005,11/05/2005,Kevin F Mulvey,Jack Hart,Senator,100.0,FORT HILL ADVISORS
23,Fort Hill Advisors,2005,12/12/2005,Kevin F Mulvey,Timothy P. Murray,Lieutenant Governor,100.0,FORT HILL ADVISORS
24,Brown Rudnick Berlack Israels LLP,2005,11/30/2005,Jennifer M. Kiely,Andrea Nuciforo,"Senate, Berkshire, Hampshire, Franklin",125.0,BROWN RUDNICK BERLACK ISRAELS
25,Burke & Mawn Consultants,2005,10/10/2005,Kevin M Burke,Timothy Flaherty,City Council Beverly,100.0,BURKE AND MAWN CONSULTANTS
26,Burke & Mawn Consultants,2005,8/15/2005,Kevin M Burke,Frank G. Cousins Jr.,"Sheriff, Essex County",200.0,BURKE AND MAWN CONSULTANTS
27,Burke & Mawn Consultants,2005,8/9/2005,Kevin M Burke,James DiPaola,"Sheriff, Middlesex County",200.0,BURKE AND MAWN CONSULTANTS
28,"Minahan Companies, The",2005,09/14/2005,John F Hahesy,The O'Flaherty Committee,"2nd Suffolk, House",125.0,MINAHAN COMPANIES
29,"Minahan Companies, The",2005,12/15/2005,John F Hahesy,The Robert Fennell Committee,"10th Essex, House",100.0,MINAHAN COMPANIES
30,"Minahan Companies, The",2005,8/15/2005,Alfred A Minahan,Frank G. Cousins Jr.,"Sheriff, Essex County",200.0,MINAHAN COMPANIES
31,Tevnan & Tevnan LLP,2005,2/15/05,Gerard F. Burke,Sen. Marian Walsh,"Senate, Suffolk & Norfolk",100.0,TEVNAN AND TEVNAN
32,Tevnan & Tevnan LLP,2005,2/9/05,Gerard F. Burke,Sen. Therese Murray,"Senate, Plymouth & Barnstable",100.0,TEVNAN AND TEVNAN
33,Tevnan & Tevnan LLP,2005,2/9/2005,Gerard F. Burke,Stacey Monahan,"House, 12th Suffolk",100.0,TEVNAN AND TEVNAN
34,Tevnan & Tevnan LLP,2005,3/1/05,Gerard F. Burke,Sen. Frederick E. Berry,"Senate, 2nd Essex",100.0,TEVNAN AND TEVNAN
35,Tevnan & Tevnan LLP,2005,4/12/05,Gerard F. Burke,Sen. Steven A. Baddour,"Senate, 1st Essex",100.0,TEVNAN AND TEVNAN
36,Tevnan & Tevnan LLP,2005,4/25/05,Gerard F. Burke,Sen. John A. Hart,"Senate, 1st Suffolk",100.0,TEVNAN AND TEVNAN
37,Tevnan & Tevnan LLP,2005,4/7/2005,Gerard F. Burke,Michael F. Flaherty Jr.,"Boston City Council, At Large",100.0,TEVNAN AND TEVNAN
38,Tevnan & Tevnan LLP,2005,5/12/2005,Gerard F. Burke,Rep. Peter  J. Koutoujian,"House, 10th Middlesex",200.0,TEVNAN AND TEVNAN
39,Tevnan & Tevnan LLP,2005,5/15/05,Gerard F. Burke,Sen. Susan C. Tucker,"Senate, 2nd Essex & Middlesex",100.0,TEVNAN AND TEVNAN
40,Tevnan & Tevnan LLP,2005,5/18/05,Gerard F. Burke,Sen. Richard T. Moore,"Senate, Worcester & Norfolk",100.0,TEVNAN AND TEVNAN
41,Tevnan & Tevnan LLP,2005,5/20/05,Gerard F. Burke,Edward Clancy,"Mayor, City of Lynn",100.0,TEVNAN AND TEVNAN
