,entity_name,year,client_name,amount,purpose,entity_name_norm,client_name_norm
0,Monica Lawton,2005,"Associated Subcontractors of Massachusetts, Inc",15500.0,,MONICA LAWTON,ASSOCIATED SUBCONTRACTORS OF MASSACHUSETTS
1,James D Shaer,2005,Boston University,25704.0,,JAMES D SHAER,BOSTON UNIVERSITY
2,Jo Ann Fitzgerald,2005,Mass. Teachers Association,2778.7,,JO ANN FITZGERALD,MASS TEACHERS ASSOCIATION
3,Stephen J. D'Amato,2005,"Center for Insurance Research, Inc.",3662.0,,STEPHEN J D AMATO,CENTER FOR INSURANCE RESEARCH
4,Margaret G Grant,2005,Mass. Assoc. of Realtors,10000.0,,MARGARET G GRANT,MASS ASSOC OF REALTORS
5,Sheelah A Feinberg,2005,The Women's Union,9080.0,,SHEELAH A FEINBERG,WOMEN S UNION
6,James M. Machado,2005,Mass. Police Association,10000.0,,JAMES M MACHADO,MASS POLICE ASSOCIATION
7,Bridget Quinn,2005,Mass. Organization of State Engineers & Scientists,50259.89,,BRIDGET QUINN,MASS ORGANIZATION OF STATE ENGINEERS AND SCIENTISTS
8,Richard C Lord,2005,Associated Industries of Mass.,55000.0,,RICHARD C LORD,ASSOCIATED INDUSTRIES OF MASS
9,Joanne Blum,2005,Mass. Teachers Association,93091.81,,JOANNE BLUM,MASS TEACHERS ASSOCIATION
10,Abraham E Morse,2005,Mass. Extended Care Federation,20000.0,,ABRAHAM E MORSE,MASS EXTENDED CARE FEDERATION
11,William J Ryder,2005,Mass. Medical Society,12631.25,,WILLIAM J RYDER,MASS MEDICAL SOCIETY
12,William J Ryder,2005,Professional Liability Foundation Ltd,3125.0,,WILLIAM J RYDER,PROFESSIONAL LIABILITY FOUNDATION
13,CHRISTOPHER J. HODGKINS,2005,Brockton Agricultural Society,8000.0,,CHRISTOPHER J HODGKINS,BROCKTON AGRICULTURAL SOCIETY
14,Ralph Devlin,2005,Mass. Teachers Association,0.0,,RALPH DEVLIN,MASS TEACHERS ASSOCIATION
15,"John Hohenwarter, Esq.",2005,National Rifle Association-Institute for Legislative Affairs,3685.32,,JOHN HOHENWARTER ESQ,NATIONAL RIFLE ASSOCIATION INSTITUTE FOR LEGISLATIVE AFFAIRS
16,Sara L Johnson-Davis,2005,Novartis Pharmaceuticals Corp.,57000.0,,SARA L JOHNSON DAVIS,NOVARTIS PHARMACEUTICALS
17,Deirdre B Phillips,2005,Putnam Investments,0.0,,DEIRDRE B PHILLIPS,PUTNAM INVESTMENTS
18,"Marylou Buyse, MD",2005,"Mass. Assoc. of Health Plans, Inc.",60938.0,,MARYLOU BUYSE MD,MASS ASSOC OF HEALTH PLANS
19,Jondavid Chesloff,2005,Mass. Business Roundtable,3320.0,,JONDAVID CHESLOFF,MASS BUSINESS ROUNDTABLE
20,Katrina Anne Anderson,2005,Mass. Nurses Association,34278.33,,KATRINA ANNE ANDERSON,MASS NURSES ASSOCIATION
21,Constance K Rizoli,2005,"Project Bread-The Walk for Hunger, Inc",1301.28,,CONSTANCE K RIZOLI,PROJECT BREAD WALK FOR HUNGER
22,Melissa R Kogut,2005,NARAL Pro-Choice Massachusetts,16035.0,,MELISSA R KOGUT,NARAL PRO CHOICE MASSACHUSETTS
23,Jessica Stephens Siler,2005,Environmental League of Mass.,1988.0,,JESSICA STEPHENS SILER,ENVIRONMENTAL LEAGUE OF MASS
24,James M. Barry,2005,Boston Police Patrolmen's Association,18820.73,,JAMES M BARRY,BOSTON POLICE PATROLMEN S ASSOCIATION
25,Stephen M Rosario,2005,"American Chemsitry/ Plastics Council, Inc.",2750.0,,STEPHEN M ROSARIO,AMERICAN CHEMSITRY/ PLASTICS COUNCIL
26,"John H Flannagan, Jr.",2005,Mass. Teachers Association,87967.06,,JOHN H FLANNAGAN JR,MASS TEACHERS ASSOCIATION
27,Francis A Mancini,2005,Mass. Assoc. of Insurance Agents,56250.0,,FRANCIS A MANCINI,MASS ASSOC OF INSURANCE AGENTS
28,Francis A Mancini,2005,Massachusettts Association of Health Underwriters,2100.0,,FRANCIS A MANCINI,MASSACHUSETTTS ASSOCIATION OF HEALTH UNDERWRITERS
29,Mary Elizabeth Heffernan,2005,Beth Israel Deaconess Medical Center,28272.56,,MARY ELIZABETH HEFFERNAN,BETH ISRAEL DEACONESS MEDICAL CENTER
30,Alan G Macdonald,2005,Mass. Business Roundtable,6725.0,,ALAN G MACDONALD,MASS BUSINESS ROUNDTABLE
31,William G Rehrey,2005,"Retired State, County & Municipal Employees Association of Massachusetts",75000.0,,WILLIAM G REHREY,RETIRED STATE COUNTY AND MUNICIPAL EMPLOYEES ASSOCIATION OF MASSACHUSETTS
32,Raymond F. McGrath,2005,N.A.G.E./ I.A.E.P/I.B.P.O,72500.0,,RAYMOND F MCGRATH,N A G E / I A E P/I B P O
33,John K Golembeski,2005,Mass. Property Insurance Underwriting Assoc.,0.0,,JOHN K GOLEMBESKI,MASS PROPERTY INSURANCE UNDERWRITING ASSOC
34,Carl S DeMatteo,2005,"Massachusetts Farm Bureau Federation, Inc.",26149.49,,CARL S DEMATTEO,MASSACHUSETTS FARM BUREAU FEDERATION
35,Andrew S Hunt,2005,Bay State Gas Company,40500.0,,ANDREW S HUNT,BAY STATE GAS COMPANY
36,James E McGaugh,2005,Citigroup Management Corp.,37250.0,,JAMES E MCGAUGH,CITIGROUP MANAGEMENT
37,Lawrence R. Curran,2005,Boston Firefighters Local 718,1200.0,,LAWRENCE R CURRAN,BOSTON FIREFIGHTERS LOCAL 718
38,Joseph DiGiovanni,2005,Liberty Mutual Insurance Co.,1380.0,,JOSEPH DIGIOVANNI,LIBERTY MUTUAL INSURANCE CO
39,Glenn S Koocher,2005,"Mass. Assoc. of School Committees, Inc.",39003.0,,GLENN S KOOCHER,MASS ASSOC OF SCHOOL COMMITTEES
40,Sharon Rodriguez,2005,"National Grid USA, on behalf of its affiliates and itself",820.0,,SHARON RODRIGUEZ,NATIONAL GRID USA ON BEHALF OF ITS AFFILIATES AND ITSELF
41,Peter T Robertson,2005,Property Casuality Insurers Assoc. of America,45000.0,,PETER T ROBERTSON,PROPERTY CASUALITY INSURERS ASSOC OF AMERICA
42,David Danning,2005,Mass. Teachers Association,38052.85,,DAVID DANNING,MASS TEACHERS ASSOCIATION
43,William J Hill,2005,"Retired State, County & Municipal Employees Association of Massachusetts",16000.0,,WILLIAM J HILL,RETIRED STATE COUNTY AND MUNICIPAL EMPLOYEES ASSOCIATION OF MASSACHUSETTS
44,Patricia B McMullin,2005,"Mass. Assoc. of Health Plans, Inc.",27804.0,,PATRICIA B MCMULLIN,MASS ASSOC OF HEALTH PLANS
45,"National Consulting,LLC",2005,Alanco Technologies,0.0,,NATIONAL CONSULTING,ALANCO TECHNOLOGIES
