,entity_name,client_name,year,period_end,compensation,reg_type,entity_name_norm,client_name_norm
0,Grant Associates,_total_salary_,2005,2005-06-30,30000.0,Lobbyist Entity,GRANT,_TOTAL_SALARY_
1,Fort Hill Advisors,_total_salary_,2005,2005-12-31,122500.0,Lobbyist Entity,FORT HILL ADVISORS,_TOTAL_SALARY_
2,Brown Rudnick Berlack Israels LLP,_total_salary_,2005,2005-12-31,62500.0,Lobbyist Entity,BROWN RUDNICK BERLACK ISRAELS,_TOTAL_SALARY_
3,Burke & Mawn Consultants,_total_salary_,2005,2005-12-31,17500.0,Lobbyist Entity,BURKE AND MAWN CONSULTANTS,_TOTAL_SALARY_
4,"Minahan Companies, The",_total_salary_,2005,2005-12-31,75000.0,Lobbyist Entity,MINAHAN COMPANIES,_TOTAL_SALARY_
5,Tevnan & Tevnan LLP,_total_salary_,2005,2005-06-30,131808.0,Lobbyist Entity,TEVNAN AND TEVNAN,_TOTAL_SALARY_
6,Capital Associates Inc.,_total_salary_,2005,2005-12-31,25000.0,Lobbyist Entity,CAPITAL,_TOTAL_SALARY_
7,Hub Strategies,_total_salary_,2005,2005-06-30,32000.0,Lobbyist Entity,HUB STRATEGIES,_TOTAL_SALARY_
8,Brian S. Hickey Associates,_total_salary_,2005,2005-06-30,206250.0,Lobbyist Entity,BRIAN S HICKEY,_TOTAL_SALARY_
9,Reilly Associates,_total_salary_,2005,2005-12-31,1245.0,Lobbyist Entity,REILLY,_TOTAL_SALARY_
10,"Minahan Companies, The",_total_salary_,2005,2005-06-30,75000.0,Lobbyist Entity,MINAHAN COMPANIES,_TOTAL_SALARY_
11,Capital Associates Inc.,_total_salary_,2005,2005-06-30,60000.0,Lobbyist Entity,CAPITAL,_TOTAL_SALARY_
12,"Massachusetts Technology Group, Ltd.",_total_salary_,2005,2005-06-30,1.0,Lobbyist Entity,MASSACHUSETTS TECHNOLOGY GROUP,_TOTAL_SALARY_
13,Quinn & Morris,_total_salary_,2005,2005-06-30,250000.0,Lobbyist Entity,QUINN AND MORRIS,_TOTAL_SALARY_
14,Advanced Strategies,_total_salary_,2005,2005-06-30,50400.0,Lobbyist Entity,ADVANCED STRATEGIES,_TOTAL_SALARY_
15,Dewey Square Group,_total_salary_,2005,2005-12-31,106000.0,Lobbyist Entity,DEWEY SQUARE GROUP,_TOTAL_SALARY_
16,Gregory & Associates,_total_salary_,2005,2005-12-31,53796.0,Lobbyist Entity,GREGORY,_TOTAL_SALARY_
17,"Connolly Associates, James Michael",_total_salary_,2005,2005-12-31,143117.95,Lobbyist Entity,CONNOLLY JAMES MICHAEL,_TOTAL_SALARY_
18,Andover Strategies,_total_salary_,2005,2005-12-31,15000.0,Lobbyist Entity,ANDOVER STRATEGIES,_TOTAL_SALARY_
19,"Essential Strategies, Inc.",_total_salary_,2005,2005-12-31,104000.0,Lobbyist Entity,ESSENTIAL STRATEGIES,_TOTAL_SALARY_
20,"McKenna Long & Aldridge, LLP",_total_salary_,2005,2005-06-30,13500.0,Lobbyist Entity,MCKENNA LONG AND ALDRIDGE,_TOTAL_SALARY_
21,The Vince Group,_total_salary_,2005,2005-06-30,51717.44,Lobbyist Entity,VINCE GROUP,_TOTAL_SALARY_
22,"John E. Murphy Jr., Attorney at Law",_total_salary_,2005,2005-12-31,40000.0,Lobbyist Entity,JOHN E MURPHY JR,_TOTAL_SALARY_
