,entity_name,year,expense_type,date,payee,description,amount,entity_name_norm
0,Grant Associates,2005,additional,1/1 to 6/30,1/1 to 6/30,Boston View Corporation Office and parking,5175.0,GRANT
1,Grant Associates,2005,additional,1/1 to 6/30,1/1 to 6/30,Verizon NSTAR utilites,590.0,GRANT
2,Grant Associates,2005,additional,,,Total amount,5765.0,GRANT
3,Eric Bourassa,2005,operating,7/1/2005-12/31/2005,Verizon,"Telephone, cell phone, handheld",30.0,ERIC BOURASSA
4,Eric Bourassa,2005,operating,7/1/2005-12/31/2005,US Postal SErvice,"Postage, shipping, delivery",15.0,ERIC BOURASSA
5,Eric Bourassa,2005,operating,,,Total operating expenses,45.0,ERIC BOURASSA
6,Evan Feinman,2005,operating,7/1/2005-12/31/2005,copies and copy service,Printing expenses,30.0,EVAN FEINMAN
7,Evan Feinman,2005,operating,7/1/2005-12/31/2005,us postal service,"Postage, shipping, delivery",5.0,EVAN FEINMAN
8,Evan Feinman,2005,operating,7/1/2005-12/31/2005,verizon and covad,"Telephone, cell phone, handheld",20.0,EVAN FEINMAN
9,Evan Feinman,2005,operating,,,Total operating expenses,55.0,EVAN FEINMAN
10,Fort Hill Advisors,2005,operating,12/31/2005,Cingular,"Telephone, cell phone, handheld",210.0,FORT HILL ADVISORS
11,Fort Hill Advisors,2005,operating,12/31/2005,Cingular,"Telephone, cell phone, handheld",275.0,FORT HILL ADVISORS
12,Fort Hill Advisors,2005,operating,,,Total operating expenses,485.0,FORT HILL ADVISORS
13,Fort Hill Advisors,2005,additional,12/31/2005,12/31/2005,AT&T Internet,360.0,FORT HILL ADVISORS
14,Robert A Rio,2005,meals_entertainment_travel,2/16/05,Travel,Robert A. Rio (A.I.M.),271.25,ROBERT A RIO
15,Robert A Rio,2005,meals_entertainment_travel,,,,271.25,ROBERT A RIO
16,Katherine Barry Maselli,2005,operating,1/1/2005-6/30/2005,Verizon,"Telephone, cell phone, handheld",250.0,KATHERINE BARRY MASELLI
17,Katherine Barry Maselli,2005,operating,1/1/2005-6/30/2005,FedEx,"Postage, shipping, delivery",50.0,KATHERINE BARRY MASELLI
18,Katherine Barry Maselli,2005,operating,1/1/2005-6/30/2005,AT&T/Verizon,"Telephone, cell phone, handheld",600.0,KATHERINE BARRY MASELLI
19,Katherine Barry Maselli,2005,operating,,,Total operating expenses,900.0,KATHERINE BARRY MASELLI
