,year,lobbyist_name,entity_name,salary,entity_name_norm
0,2005,Robert M. Platt,"National Consulting,LLC",240500.0,NATIONAL CONSULTING
1,2005,Alfred A Minahan,"Minahan Companies, The",79000.0,MINAHAN COMPANIES
2,2005,John F Hahesy,"Minahan Companies, The",71000.0,MINAHAN COMPANIES
3,2005,John R Sasso,Advanced Strategies,109200.0,ADVANCED STRATEGIES
4,2005,Henry S Gillet,HSG & Associates,25000.0,HSG
5,2005,"William F Malloy, Jr.","Malloy Group, Inc., The",219899.0,MALLOY GROUP
6,2005,"Lisa M Hewitt, Esq.","Sheehy & Hewitt, Attorneys At Law",0.0,SHEEHY AND HEWITT ATTORNEYS AT LAW
7,2005,"Shawn K Sheehy, Esq.","Sheehy & Hewitt, Attorneys At Law",0.0,SHEEHY AND HEWITT ATTORNEYS AT LAW
8,2005,"Michael J McCormack, Esq.",Michael J. McCormack Esq,120000.0,MICHAEL J MCCORMACK ESQ
9,2005,Charles F Flaherty,Flaherty & Associates,341500.0,FLAHERTY
10,2005,Daniel Flaherty,Flaherty & Associates,28750.0,FLAHERTY
11,2005,Timothy R Flaherty,Flaherty & Associates,28750.0,FLAHERTY
12,2005,Diane L. McGlynn,"Law Office of John J. McGlynn, Jr.",19000.0,JOHN J MCGLYNN JR
13,2005,John J. McGlynn,"Law Office of John J. McGlynn, Jr.",208181.0,JOHN J MCGLYNN JR
14,2005,Patrick F. Scanlan,"Law Office of John J. McGlynn, Jr.",49450.0,JOHN J MCGLYNN JR
15,2005,Thomas E. Cremin,Issues Management Group,0.0,ISSUES MANAGEMENT GROUP
16,2005,Maryanne Lewis,"Maryanne Lewis, Counsellor at Law",0.0,MARYANNE LEWIS COUNSELLOR AT LAW
17,2005,Gerard D'Amico,Offices of Gerard D'Amico,31317.5,OFFICES OF GERARD D AMICO
18,2005,Joseph M Grant,Grant Associates,60000.0,GRANT
19,2005,Bridget A. Simmons,Bridget Simmons & Associates,36000.0,BRIDGET SIMMONS
