source_url,gcs_url,municipality,permit_number,report_year,permit_year,report_period_start,report_period_end,source_page_refs,mcm1_activities_count,mcm1_notes,mcm2_activities_count,mcm3_outfalls_total,mcm3_outfalls_screened,mcm3_outfalls_not_accessed,mcm3_illicit_found,mcm3_illicit_eliminated,mcm3_count_type,mcm3_sampling_conducted,mcm4_sites_inspected,mcm4_violations_found,mcm5_sites_inspected,mcm5_bmps_inspected,mcm6_facilities_inspected,mcm6_notes,system_mapping_pct_complete,tmdl_municipality_specific,tmdl_waterbodies_json,compliance_issues,extraction_confidence,extraction_notes,pdf_pages,estimated_cost_usd
https://www.epa.gov/system/files/documents/2026-04/palmer-ma-ar20.pdf,https://storage.googleapis.com/openamend-data/MS4_annual_reports/palmer-ma-ar20.pdf,Town of Palmer,MAR041017,2020.0,2.0,2019-07-01,2020-06-30,"{""tmdl"": [2], ""mcm4_construction"": [22], ""mcm6_pollution_prevention"": [24, 25], ""mcm2"": [19, 20], ""mcm5_post_construction"": [23], ""mcm1"": [7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], ""mcm3_idde"": [20, 21, 22, 25, 26]}",19.0,"Refers to various educational messages and campaigns detailed across pages 7-18, covering topics like stormwater pollutants, pet waste, septic maintenance, leaf litter, fertilizer use, and a stormwater survey.",15.0,,0.0,0.0,3.0,3.0,cumulative_since_permit_start,True,38.0,4.0,0.0,0.0,99.0,Count refers to 95 catch basins and 4 SWPPP facilities inspected.,0.0,False,[],"Mapping requirements were not completed due to COVID-19. Catch basin cleaning was impacted due to a broken vactor truck and data syncing issues. Construction stormwater violations occurred due to large scale solar arrays, resulting in blow-outs of construction stormwater BMPs.",medium,"No specific percentage for total stormwater system mapping completeness was found, though Phase I is indicated as complete with further mapping delayed due to COVID-19. MCM3 illicit discharge counts: The 'total identified/removed since permit start' (3/3) matches the sum of SSOs (2/2) and other illicit discharges (1/1) reported for the current period, which is ambiguous; the cumulative counts were used for the main fields. MCM5 post-construction BMPs and sites inspected counts were not found. TMDL details for specific waterbodies with reduction targets were not found. Catch basin cleaning was impacted due to a broken vactor truck and data syncing issues for 27 catch basins after January 2020.",28.0,0.00888
https://www.epa.gov/system/files/documents/2026-04/andover_ma_ar21.pdf,https://storage.googleapis.com/openamend-data/MS4_annual_reports/andover_ma_ar21.pdf,Town of Andover,MAR041178,2021.0,,2020-07-01,2021-06-30,"{""mcm1"": [4, 5, 7, 8, 9, 10, 11, 12], ""mcm4_construction"": [16], ""mcm6_pollution_prevention"": [3, 17, 18], ""mcm5_post_construction"": [3, 16], ""tmdl"": [2, 4, 5, 6], ""mcm3_idde"": [2, 6, 13, 14, 15], ""mcm2"": [13]}",10.0,,0.0,865.0,699.0,87.0,0.0,0.0,cumulative_since_permit_start,True,50.0,0.0,,4.0,1639.0,Refers to catch basins inspected and cleaned.,,True,"[{""pollutant"": ""E.Coli"", ""waterbody"": ""Unnamed Tributary to Meadow Brook (Pinnacle Brook)""}]",,high,"For MCM6, 1639 catch basins were inspected/cleaned and 3 SWPPP facilities were inspected. The 4 oil/water/sand separators inspected (on page 3) were included in MCM5 as bmps_inspected.",21.0,0.00678
https://s3.amazonaws.com/somervillema-live/s3fs-public/annual-report-year-5-ms4.pdf,https://storage.googleapis.com/openamend-data/MS4_annual_reports/annual-report-year-5-ms4.pdf,City of Somerville,MAR041082,2023.0,5.0,2022-07-01,2023-06-30,"{""mcm2"": [2, 14], ""mcm1"": [3, 4, 5, 10, 11, 12, 13, 14], ""mcm5_post_construction"": [3, 5, 17, 18], ""mcm4_construction"": [17], ""mcm6_pollution_prevention"": [2, 3, 5, 6, 19], ""mcm3_idde"": [2, 14, 15, 16], ""tmdl"": [2, 5, 6, 7, 8, 9]}",8.0,Refers to educational messages completed.,3.0,,0.0,,0.0,0.0,current_period,False,0.0,0.0,,,480.0,Refers to catch basins inspected.,,True,"[{""reduction_achieved_lbs_per_year"": 26.78, ""pollutant"": ""Phosphorus"", ""wasteload_allocation_lbs_per_year"": 1421, ""source_page"": 7, ""waterbody"": ""Charles River Watershed""}, {""source_page"": 9, ""waterbody"": ""Alewife Brook"", ""pollutant"": ""Chloride""}]",,high,"For MCM3, illicit discharge counts for the current period are 0, but cumulative counts since permit start are 1 identified and 1 eliminated. MCM5 inspection counts are not explicitly provided for the reporting period, and the text indicates not all structures were inspected.",23.0,0.00738
https://www.epa.gov/system/files/documents/2026-04/attleboro-ma-ar19.pdf,https://storage.googleapis.com/openamend-data/MS4_annual_reports/attleboro-ma-ar19.pdf,City of Attleboro,MAR041087,2019.0,1.0,2018-05-01,2019-06-30,"{""mcm1"": [6], ""mcm4_construction"": [10], ""mcm3_idde"": [7, 8, 9], ""mcm2"": [7], ""mcm5_post_construction"": [10], ""tmdl"": [14], ""mcm6_pollution_prevention"": [11, 13]}",2.0,"Two educational messages completed: a newspaper article on May 5, 2019, and an educational workshop on April 18, 2019.",2.0,,0.0,,1.0,1.0,current_period,False,26.0,4.0,,,1252.0,Count refers to catch basins inspected and cleaned. 0 inspections completed for facilities requiring a SWPPP.,,True,"[{""pollutant"": ""Nitrogen"", ""waterbody"": ""Farmers Pond""}, {""waterbody"": ""Farmers Pond"", ""pollutant"": ""Phosphorus""}, {""pollutant"": ""Nitrogen"", ""waterbody"": ""Dodgeville Pond""}, {""waterbody"": ""Dodgeville Pond"", ""pollutant"": ""Phosphorus""}]",,high,"The report distinguishes between Sanitary Sewer Overflows (SSOs) and other illicit discharges. SSOs identified this period: 4; SSOs removed this period: 4. The `illicit_discharges_found` and `illicit_discharges_eliminated` fields reflect the 'illicit discharges' count reported on page 9, which is 1 identified and 1 removed for the current period. MCM5 (Post-Construction) did not provide explicit counts for sites or BMPs inspected. MCM6 (Pollution Prevention) includes 0 inspections for facilities requiring a SWPPP in addition to the catch basin inspections.",16.0,0.00528
https://www.epa.gov/system/files/documents/2026-04/new_bedford_ma_ar25.pdf,https://storage.googleapis.com/openamend-data/MS4_annual_reports/new_bedford_ma_ar25.pdf,New Bedford,MAR041140,2025.0,7.0,2024-07-01,2025-06-30,"{""mcm2"": [17], ""mcm6_pollution_prevention"": [29, 30, 31, 32, 33, 34, 35, 36], ""tmdl"": [5, 7, 10, 11], ""mcm5_post_construction"": [22, 23, 24, 25, 26, 27, 28, 35, 36], ""mcm4_construction"": [21], ""mcm1"": [12, 13, 14, 15, 16, 17], ""mcm3_idde"": [17, 18, 19, 20, 37]}",9.0,,1.0,359.0,357.0,2.0,3.0,2.0,current_period,True,151.0,1.0,,,156.0,Count refers to catch basin inspections.,,True,"[{""pollutant"": ""Dissolved Oxygen/DO Saturation"", ""waterbody"": ""Acushnet River (MA95-33)""}, {""pollutant"": ""Nitrogen"", ""waterbody"": ""Acushnet River (MA95-33)""}, {""pollutant"": ""Oil & Grease/PAH"", ""waterbody"": ""Acushnet River (MA95-33)""}, {""pollutant"": ""Dissolved Oxygen/DO Saturation"", ""waterbody"": ""Clarks Cove (MA95-38)""}, {""pollutant"": ""Nitrogen"", ""waterbody"": ""Clarks Cove (MA95-38)""}, {""pollutant"": ""Dissolved Oxygen/DO Saturation"", ""waterbody"": ""New Bedford Inner Harbor (MA95-42)""}, {""pollutant"": ""Nitrogen"", ""waterbody"": ""New Bedford Inner Harbor (MA95-42)""}, {""pollutant"": ""Oil & Grease/PAH"", ""waterbody"": ""New Bedford Inner Harbor (MA95-42)""}, {""pollutant"": ""Dissolved Oxygen/DO Saturation"", ""waterbody"": ""Outer New Bedford Harbor (MA95-63)""}, {""pollutant"": ""Nitrogen"", ""waterbody"": ""Outer New Bedford Harbor (MA95-63)""}, {""pollutant"": ""Nitrogen"", ""waterbody"": ""Paskamanset River (MA95-11)""}]",,high,"The reported illicit discharge found and eliminated counts are for the current reporting period, not cumulative. The document provided a total count of educational messages distributed for MCM1, not individual activity counts for each BMP. MCM5 did not explicitly state inspection counts for post-construction BMPs; detailed activities were related to design, construction, or general maintenance rather than specific inspection numbers for the current reporting period.",40.0,0.01248
https://www.epa.gov/system/files/documents/2026-04/acushnet_ma_ar24.pdf,https://storage.googleapis.com/openamend-data/MS4_annual_reports/acushnet_ma_ar24.pdf,Town of Acushnet,MAR041085,2024.0,6.0,2023-07-01,2024-06-30,"{""tmdl"": [2], ""mcm3_idde"": [9, 10], ""mcm1"": [3, 6, 7, 8], ""mcm4_construction"": [11], ""mcm5_post_construction"": [11, 12], ""mcm2"": [8], ""mcm6_pollution_prevention"": [13]}",4.0,"Educational brochures distributed on Pet Waste, Gas/Oil/Grease spills, Erosion, and Solid Waste Management to residents, businesses, industrial facilities, and developers.",0.0,117.0,117.0,,0.0,0.0,cumulative_since_permit_start,True,0.0,0.0,0.0,0.0,0.0,Refers to both catch basin inspections and SWPPP facility inspections.,50.0,False,"[{""source_page"": 2, ""waterbody"": ""Assabet River"", ""pollutant"": ""Phosphorus""}, {""source_page"": 2, ""waterbody"": ""Unknown"", ""pollutant"": ""Bacteria and Pathogen""}, {""waterbody"": ""Cape Cod"", ""pollutant"": ""Nitrogen"", ""source_page"": 2}, {""waterbody"": ""Charles River Watershed"", ""pollutant"": ""Phosphorus"", ""source_page"": 2}, {""waterbody"": ""Lake and Pond"", ""pollutant"": ""Phosphorus"", ""source_page"": 2}, {""waterbody"": ""Out of State"", ""pollutant"": ""Bacteria/Pathogens"", ""source_page"": 2}, {""source_page"": 2, ""waterbody"": ""Out of State"", ""pollutant"": ""Metals""}, {""source_page"": 2, ""waterbody"": ""Out of State"", ""pollutant"": ""Nitrogen""}, {""waterbody"": ""Out of State"", ""pollutant"": ""Phosphorus"", ""source_page"": 2}]",,high,"MCM2 activities_count is 0 as no public meetings were held, only SWMP available online. MCM6 facilities_inspected is 0, reflecting both catch basin and SWPPP facility inspections being 0 for the period. TMDL waterbody pollutants extracted from general categories listed.",16.0,0.00528
https://www.epa.gov/system/files/documents/2026-04/worcester_state_university_ma_ar25.pdf,https://storage.googleapis.com/openamend-data/MS4_annual_reports/worcester_state_university_ma_ar25.pdf,Worcester State University,MAR042022,2025.0,7.0,2024-07-01,2025-06-30,"{""mcm6_pollution_prevention"": [10, 11], ""mcm4_construction"": [8], ""mcm3_idde"": [6, 7, 8], ""mcm5_post_construction"": [8, 9], ""mcm1"": [5], ""tmdl"": [2, 4], ""mcm2"": [5, 6]}",4.0,Pamphlets are available on the website. Hand out pamphlets to contractors. Maintain website.,1.0,,6.0,,0.0,0.0,cumulative_since_permit_start,False,0.0,,,,73.0,Count refers to catch basins.,100.0,False,[],,medium,"MCM2 public participation activities are described but no specific count of activities/events is provided. For MCM3 IDDE, the illicit discharge counts are 0 for both the current period and cumulative since permit start; 'cumulative_since_permit_start' was chosen for count_type as the tool requests total to date. For MCM6, 'facilities_inspected' refers to catch basins.",14.0,
https://www.epa.gov/system/files/documents/2026-04/arlington_ma_ar24.pdf,https://storage.googleapis.com/openamend-data/MS4_annual_reports/arlington_ma_ar24.pdf,Town of Arlington,MAR041027,2024.0,6.0,2023-07-01,2024-06-30,"{""mcm5_post_construction"": [2, 22, 23], ""mcm1"": [3, 4, 10, 11, 12, 13, 14, 15, 16, 17, 18], ""mcm2"": [2, 18, 19], ""mcm4_construction"": [2, 22], ""mcm6_pollution_prevention"": [2, 3, 5, 6, 24, 25], ""mcm3_idde"": [2, 20, 21, 22], ""tmdl"": [2, 3, 4, 5, 6, 7, 9]}",16.0,"Messages covered topics like leaf litter, stormwater awareness, dumpster management, lake protection, nonpoint source pollution, rain barrels, rain gardens, urban waters, stormwater pollution prevention, and pet waste management.",18.0,,56.0,,1.0,1.0,cumulative_since_permit_start,True,34.0,4.0,10.0,,3454.0,"Count includes 3,453 catch basins and 1 SWPPP facility site.",95.0,True,"[{""wasteload_allocation_lbs_per_year"": 169, ""source_page"": 6, ""pollutant"": ""Phosphorus"", ""reduction_achieved_lbs_per_year"": 10.78, ""waterbody"": ""Charles River Watershed""}, {""reduction_achieved_lbs_per_year"": 36.939, ""source_page"": 5, ""waterbody"": ""Various municipal waterbodies"", ""pollutant"": ""Phosphorus""}, {""pollutant"": ""Chloride"", ""source_page"": 4, ""waterbody"": ""Alewife Brook""}, {""source_page"": 2, ""waterbody"": ""Various municipal waterbodies"", ""pollutant"": ""Bacteria/Pathogens""}]",Three enforcement actions were taken by the Conservation Commission on two properties for filling in a flood plain and filling in the bank along the Upper Mystic Lake. A final enforcement action was taken by the Engineering Department.,high,"For MCM2 public participation, the count includes 1 Spy Pond Trails Day, 1 Arlington Reservoir cleanup day, 8 Conservation Commission meetings, and 8 monthly hazardous waste collection events. Ongoing programs like Adopt-A-Drain and participation in watershed volunteer groups were noted but not counted as discrete events. For MCM3 illicit discharges, cumulative numbers since permit start were used (1 identified, 1 eliminated). Current period numbers were 0 identified and 0 eliminated. No total number of outfalls in the MS4 system was explicitly stated, nor were outfalls not accessed. For MCM5 post-construction, the count for sites inspected is based on as-built drawings received for new development/redevelopment. No explicit number of individual post-construction BMP structures inspected was found for this reporting period. For MCM6 pollution prevention, the count for facilities inspected includes 3,453 catch basins and 1 SWPPP facility site.",28.0,
https://www.epa.gov/system/files/documents/2026-04/winchester-ma-ar20.pdf,https://storage.googleapis.com/openamend-data/MS4_annual_reports/winchester-ma-ar20.pdf,Town of Winchester,MAR041072,2020.0,,2019-07-01,2020-06-30,"{""tmdl"": [2, 4, 5, 6], ""mcm2"": [14], ""mcm1"": [7, 8, 9, 10, 11, 12, 13], ""mcm5_post_construction"": [17, 18], ""mcm4_construction"": [16, 17], ""mcm6_pollution_prevention"": [18, 19], ""mcm3_idde"": [6, 14, 15, 16]}",13.0,"The 13 activities include: Brochures/Pamphlets (residents), Local Public Service Announcements (residents), Website/E-mail List Service/Press Release (residents), Displays/Posters/Kiosks (residents), Brochures/Pamphlets (residents - dog licenses), Website/Press Release (businesses), Brochures/Pamphlets (residents - septic systems), Web Page (residents), Brochures/Pamphlets (businesses - auto-related), Web Page (businesses), Newspaper Articles/Press Releases (businesses), Brochures/Pamphlets (industrial), Web Page (industrial).",4.0,22.0,151.0,22.0,0.0,0.0,current_period,True,4.0,0.0,22.0,22.0,867.0,"867 refers to catch basins inspected. Additionally, 2 municipal facilities (Transfer Station and DPW Yard) requiring SWPPPs were inspected.",,False,[],"The annual employee IDDE training was scheduled for March 2020, but could not be completed by June 30, 2020, due to COVID-19.",high,"MCM5 sections related to BMP sites/structures inspected were not explicitly found, only general progress descriptions. No explicit numerical TMDL reduction or allocation targets were found; the report states no approved TMDLs for phosphorus.",22.0,0.00708
https://www.epa.gov/system/files/documents/2026-04/ayer-ma-ar19.pdf,https://storage.googleapis.com/openamend-data/MS4_annual_reports/ayer-ma-ar19.pdf,Town of Ayer,MAR041179,2019.0,1.0,2018-07-01,2019-06-30,{},2.0,,,,,,1.0,1.0,current_period,,10.0,1.0,,,918.0,Count refers to catch basins.,,,[],,medium,"Report period (2018-07-01 to 2019-06-30) and permit year (1) inferred from document date and 'Year1' tags. MCM2 and MCM5 data are missing. MCM3 illicit discharge counts are based on current period SSOs (cumulative SSOs identified: 2, removed: 2); no outfall screening count. MCM4 violations count is inferred from enforcement actions. No specific TMDL reduction or allocation data found.",,0.00108
