municipality,report_year_suffix,url,filename
Abington,19,https://www.epa.gov/system/files/documents/2026-04/abington-ma-ar19.pdf,abington-ma-ar19.pdf
Abington,20,https://www.epa.gov/system/files/documents/2026-04/abington-ma-ar20.pdf,abington-ma-ar20.pdf
Abington,21,https://www.epa.gov/system/files/documents/2026-04/abington_ma_ar21.pdf,abington_ma_ar21.pdf
Abington,22,https://www.epa.gov/system/files/documents/2026-04/abington_ma_ar22.pdf,abington_ma_ar22.pdf
Abington,23,https://www.epa.gov/system/files/documents/2026-04/abington_ma_ar23.pdf,abington_ma_ar23.pdf
Abington,24,https://www.epa.gov/system/files/documents/2026-04/abington_ma_ar24.pdf,abington_ma_ar24.pdf
Abington,25,https://www.epa.gov/system/files/documents/2026-04/abington_ma_ar25.pdf,abington_ma_ar25.pdf
Acton,20,https://www.epa.gov/system/files/documents/2026-04/acton-ma-ar20.pdf,acton-ma-ar20.pdf
Acton,21,https://www.epa.gov/system/files/documents/2026-04/acton_ma_ar21.pdf,acton_ma_ar21.pdf
Acton,22,https://www.epa.gov/system/files/documents/2026-04/acton_ma_ar22.pdf,acton_ma_ar22.pdf
Acton,23,https://www.epa.gov/system/files/documents/2026-04/acton_ma_ar23.pdf,acton_ma_ar23.pdf
Acton,24,https://www.epa.gov/system/files/documents/2026-04/acton_ma_ar24.pdf,acton_ma_ar24.pdf
Acton,25,https://www.epa.gov/system/files/documents/2026-04/acton_ma_ar25.pdf,acton_ma_ar25.pdf
Acushnet,19,https://www.epa.gov/system/files/documents/2026-04/acushnet-ma-ar19.pdf,acushnet-ma-ar19.pdf
Acushnet,20,https://www.epa.gov/system/files/documents/2026-04/acushnet-ma-ar20.pdf,acushnet-ma-ar20.pdf
Acushnet,21,https://www.epa.gov/system/files/documents/2026-04/acushnet_ma_ar21.pdf,acushnet_ma_ar21.pdf
Acushnet,22,https://www.epa.gov/system/files/documents/2026-04/acushnet_ma_ar22.pdf,acushnet_ma_ar22.pdf
Acushnet,23,https://www.epa.gov/system/files/documents/2026-04/acushnet_ma_ar23.pdf,acushnet_ma_ar23.pdf
Acushnet,24,https://www.epa.gov/system/files/documents/2026-04/acushnet_ma_ar24.pdf,acushnet_ma_ar24.pdf
Acushnet,25,https://www.epa.gov/system/files/documents/2026-04/acushnet_ma_ar25.pdf,acushnet_ma_ar25.pdf
Adams,19,https://www.epa.gov/system/files/documents/2026-04/adams-ma-ar19.pdf,adams-ma-ar19.pdf
Adams,20,https://www.epa.gov/system/files/documents/2026-04/adams-ma-ar20.pdf,adams-ma-ar20.pdf
Adams,21,https://www.epa.gov/system/files/documents/2026-04/adams_ma_ar21.pdf,adams_ma_ar21.pdf
Adams,22,https://www.epa.gov/system/files/documents/2026-04/adams_ma_ar22.pdf,adams_ma_ar22.pdf
Adams,23,https://www.epa.gov/system/files/documents/2026-04/adams_ma_ar23.pdf,adams_ma_ar23.pdf
Adams,24,https://www.epa.gov/system/files/documents/2026-04/adams_ma_ar24.pdf,adams_ma_ar24.pdf
Adams,25,https://www.epa.gov/system/files/documents/2026-04/adams_ma_ar25.pdf,adams_ma_ar25.pdf
Agawam,19,https://www.epa.gov/system/files/documents/2026-04/agawam-ma-ar19.pdf,agawam-ma-ar19.pdf
Agawam,20,https://www.epa.gov/system/files/documents/2026-04/agawam-ma-ar20.pdf,agawam-ma-ar20.pdf
Agawam,21,https://www.epa.gov/system/files/documents/2026-04/agawam_ma_ar21.pdf,agawam_ma_ar21.pdf
Agawam,22,https://www.epa.gov/system/files/documents/2026-04/agawam_ma_ar22.pdf,agawam_ma_ar22.pdf
Agawam,23,https://www.epa.gov/system/files/documents/2026-04/agawam_ma_ar23.pdf,agawam_ma_ar23.pdf
Agawam,24,https://www.epa.gov/system/files/documents/2026-04/agawam_ma_ar24.pdf,agawam_ma_ar24.pdf
Agawam,25,https://www.epa.gov/system/files/documents/2026-04/agawam_ma_ar25.pdf,agawam_ma_ar25.pdf
Amesbury,19,https://www.epa.gov/system/files/documents/2026-04/amesbury-ma-ar19.pdf,amesbury-ma-ar19.pdf
Amesbury,20,https://www.epa.gov/system/files/documents/2026-04/amesbury-ma-ar20.pdf,amesbury-ma-ar20.pdf
Amesbury,21,https://www.epa.gov/system/files/documents/2026-04/amesbury_ma_ar21.pdf,amesbury_ma_ar21.pdf
Amesbury,22,https://www.epa.gov/system/files/documents/2026-04/amesbury_ma_ar22.pdf,amesbury_ma_ar22.pdf
Amesbury,23,https://www.epa.gov/system/files/documents/2026-04/amesbury_ma_ar23.pdf,amesbury_ma_ar23.pdf
Amesbury,24,https://www.epa.gov/system/files/documents/2026-04/amesbury_ma_ar24.pdf,amesbury_ma_ar24.pdf
Amherst,19,https://www.epa.gov/system/files/documents/2026-04/amherst-ma-ar19.pdf,amherst-ma-ar19.pdf
Amherst,20,https://www.epa.gov/system/files/documents/2026-04/amherst-ma-ar20.pdf,amherst-ma-ar20.pdf
Amherst,21,https://www.epa.gov/system/files/documents/2026-04/amherst_ma_ar21.pdf,amherst_ma_ar21.pdf
Amherst,22,https://www.epa.gov/system/files/documents/2026-04/amherst_ma_ar22.pdf,amherst_ma_ar22.pdf
Amherst,23,https://www.epa.gov/system/files/documents/2026-04/amherst_ma_ar23.pdf,amherst_ma_ar23.pdf
