Year,DEPAdministration_noinf,DCRAdministration_noinf,EEAAdministration_noinf,FishGameAdministration_noinf,DEPAdministration_inf,DCRAdministration_inf,EEAAdministration_inf,FishGameAdministration_inf,TotalBudget_noinf,TotalBudget_inf,FiscalYear,GovernorsBudget
2001,31870112.0,,,,67615072.53270285,,,,31870112.0,67615072.53270285,FY01,0
2002,30483537.0,,,,64031178.21821397,,,,30483537.0,64031178.21821397,FY02,0
2003,28830810.0,,,,59114520.60906299,,,,28830810.0,59114520.60906299,FY03,0
2004,28140275.0,,,,55135529.70897134,,,,28140275.0,55135529.70897134,FY04,0
2005,28373935.0,22773098.0,7575647.0,450001.0,53630970.55749691,43044552.97938026,14319103.12090973,850569.0304092178,59172681.0,111845195.68819612,FY05,0
2006,30159434.0,24581082.0,6309486.0,450001.0,54500806.517572835,44420223.33955579,11401807.99518103,813192.2314495124,61500003.0,111136030.08375916,FY06,0
2007,34030671.0,28150108.0,6869383.0,500001.0,58826813.69330274,48661431.2942096,11874697.208554633,864322.2366513156,69550163.0,120227264.43271829,FY07,0
2008,34791004.0,29309520.0,7200741.0,545106.0,58788776.09579202,49526331.8286284,12167592.242316132,921103.4721065481,71846371.0,121403803.63884309,FY08,0
2009,36272524.0,33481586.0,7773765.0,793896.0,62230685.21836106,57442433.2582283,13337001.932275586,1362041.7501720027,78321771.0,134372162.15903693,FY09,0
2010,29637373.0,51299216.0,6382555.0,678762.0,49673112.54714554,85979001.24104552,10697350.701539792,1137625.1605945507,87997906.0,147487089.6503254,FY10,0
2011,25714271.0,43815358.0,5751276.0,636569.0,41788504.581602074,71204751.96545665,9346452.927872544,1034494.2920219612,75917474.0,123374203.76695323,FY11,0
2012,24682305.0,45482682.0,5695430.0,658880.0,38896872.43156339,71676210.12702681,8975434.59384766,1038329.738965161,76519297.0,120586846.89140302,FY12,0
2013,25966270.0,45209846.0,5856081.0,709975.0,40403859.173419006,70347117.66595513,9112139.403623806,1104730.4798358856,77742172.0,120967846.72283381,FY13,0
2014,28354269.0,46828026.0,5781081.0,869979.0,42607221.848754734,70367255.54523218,8687079.91352628,1307294.79418982,81833355.0,122968852.10170302,FY14,0
2015,29003667.0,48698280.0,6415834.0,843188.0,42117762.13526644,70717353.54831521,9316772.610558348,1224437.9863867227,84960969.0,123376326.28052671,FY15,0
2016,29520620.0,50860061.0,6311774.0,911458.0,42389451.3559413,73031327.99106887,9063245.858071242,1308787.0293369023,87603913.0,125792812.2344183,FY16,0
2017,25037437.0,45700056.0,7672881.0,924280.0,34751856.419563934,63431484.000460245,10649926.30181756,1282896.7218759074,79334654.0,110116163.44371766,FY17,0
2018,24733484.0,41835338.0,8196322.0,2029079.0,33129207.36760928,56036245.758827366,10978544.356698718,2717845.126722191,76794223.0,102861842.60985756,FY18,0
2019,29130000.0,44884615.0,9590558.0,932376.0,37608705.36390118,57948927.597224146,12382027.809728988,1203757.4415507286,84537549.0,109143418.21240506,FY19,0
2020,32082245.0,52001146.0,9991223.0,1017194.0,40282063.02422945,65291984.41393852,12544853.84595532,1277175.983659125,95091808.0,119396077.26778242,FY20,0
2021,40115000.0,56142205.0,11427197.0,1049242.0,46254922.289813295,64735219.48033821,13176221.0949866,1209836.8982477447,108733644.0,125376199.76338585,FY21,0
2022,33434358.0,54982205.0,13539987.0,1049243.0,36605854.18435639,60197673.87082448,14824354.927948108,1148771.4602432821,103005793.0,112776654.44337226,FY22,0
2023,45400000.0,90483553.0,16555779.0,1259379.0,47597547.31934593,94863330.29823887,17357147.01235977,1320338.1397685143,153698711.0,161138362.76971307,FY23,0
2024,52038191.0,112785657.0,21446415.0,1389248.0,52038191.0,112785657.0,21446415.0,1389248.0,187659511.0,187659511.0,FY24,0
2025,54359482.0,117141315.0,18698482.0,2077659.0,,,,,192276938.0,,FY25,0
2026,53729646.0,120870531.0,19749035.0,2547475.0,,,,,196896687.0,,FY26,0
