,cso_id,Latitude,Longitude,Nearest_Pipe_Address,Municipality,DischargesBody,2011_Discharges_MGal,2011_Discharge_N,Notes,GEOID
0,0,41.8805425498,-71.0923419214,500 West Water St.,Taunton,Taunton River,3.66,2.0,loc. from DES DES draft data,250056139022
1,1,42.2466365031,-71.8019968665,Quinsigamond Ave.,Worcester,Mill Brook to Blackstone River,,,loc. from DES DES draft data,250277325001
2,2,42.5811467749,-71.8218996722,Cleghorn St at Oakhill Rd.,Fitchburg,Nashua River,0.16,7.0,loc. from DES draft data,250277103001
3,3,42.5734765373,-71.789371552,479 Water St. at Burnett St.,Fitchburg,Birch Brook,0.17,8.0,loc. from DES draft data,250277106001
4,4,42.5855845964,-71.7777258006,Boutelle St. at Lunenburg St.,Fitchburg,Baker Brook,0.38,11.0,loc. from DES draft data,250277101001
5,5,42.5857490028,-71.8063374517,Main St. at Post Office,Fitchburg,Nashua River,2.14,22.0,loc. from DES draft data,250277108003
6,6,42.571303,-71.774551,265 Summer St.,Fitchburg,Nashua River,8.42,18.0,approx.; loc n/a.,250277101001
7,7,42.5661840025,-71.7721784731,Summer St. grit chamber,Fitchburg,Nashua River,4.09,16.0,loc. from DES draft data,250277101001
8,8,42.5807201475,-71.796760673,98 Laurel St.,Fitchburg,Nashua River,11.5,17.0,loc. from DES draft data,250277106003
9,9,42.5815929045,-71.8185182154,Daniel St. at Allen Pl.,Fitchburg,Nashua River,1.11,6.0,loc. from DES draft data,250277105001
10,10,42.5748758973,-71.7905381528,405 Water St.,Fitchburg,Birch Brook,0.42,8.0,loc. from DES draft data,250277106002
11,11,42.581724,-71.820633,Clarendon St,Fitchburg,Nashua River,0.98,24.0,approx.; loc n/a.,250277103001
12,12,42.6468283879,-71.3334058981,Walker St.,Lowell,Merrimack River,3.4,6.0,loc. from DES draft data,250173107002
13,13,42.6597558187,-71.3187381025,Beaver St.,Lowell,Beaver Brook,10.7,17.0,loc. from DES draft data,250173105001
14,14,42.6520069611,-71.3108416531,West St.,Lowell,Merrimack River,73.8,29.0,loc. from DES draft data,250173104002
15,15,42.6435081197,-71.3052364737,Warren St.,Lowell,Concord River,42.3,30.0,loc. from DES draft data,250173101001
