GEOID,2011_Discharges_MGal,2011_Discharge_N
250056139022,3.66,2.0
250056403003,27.0,25.0
250056404003,23.0,22.0
250056405004,44.0,25.0
250056411011,1.0,4.0
250056412002,28.0,6.0
250056414003,1.0,2.0
250056420002,71.0,51.0
250056420003,191.0,92.0
250056421001,114.0,82.0
250056503002,56.400000000000006,86.0
250056504001,17.1,38.0
250056506001,4.6,32.0
250056507001,54.4,48.0
250056512001,4.3,44.0
250056513001,41.2,73.0
250056518002,0.4,5.0
250056519001,51.699999999999996,105.0
250056524002,98.1,43.0
250056527001,9.0,29.0
250056527002,11.2,37.0
250056527003,5.5,24.0
250056528001,1.2,10.0
250056528002,10.3,64.0
250056528003,1.1,9.0
250092058003,3.6,25.0
250092069003,20.14,11.0
250092070001,22.23,25.0
250092213001,0.86,14.0
250092214003,0.2,7.0
250092215002,1.49,10.0
250092501001,34.5,8.0
250092516001,7.69,2.0
250092601002,14.1,29.0
250092601003,6.99,56.0
250092603012,3.19,3.0
250092608002,1.57,1.0
250092610001,0.19,2.0
250092610002,10.33,42.0
250110407013,0.24000000000000002,5.0
250110407022,0.26,13.0
250138001022,1.64,31.0
250138007001,132.63,12.0
250138007002,71.62,68.0
250138011011,250.92,200.0
250138011022,25.01,63.0
250138018001,5.68,10.0
250138019011,3.69,27.0
250138019012,4.0,12.0
250138020001,0.01,6.0
250138021005,0.02,8.0
250138022001,0.49,32.0
250138106011,0.14,29.0
250138107001,0.47000000000000003,105.0
250138108001,31.67,170.0
250138109011,14.7,129.0
250138110004,32.82,106.0
250138110005,26.18,88.0
250138111011,10.950000000000001,58.0
250138111012,32.74,36.0
250138111021,0.96,29.0
250138111022,1.48,4.0
250138111023,3.93,40.0
250138113013,9.4,34.0
250138113014,0.64,15.0
250138115002,14.66,94.0
250138116002,0.86,12.0
250138117001,27.93,86.0
250138119001,14.3,117.0
250138119002,0.7,32.0
250138121031,61.32,90.0
250138121032,0.25,34.0
250173101001,42.3,30.0
250173101003,28.4,40.0
250173102002,109.4,37.0
250173104002,73.8,29.0
250173105001,10.7,17.0
250173107002,3.4,6.0
250173125013,22.0,27.0
250173501031,114.39999999999999,42.0
250173521021,2.04,2.0
250173541002,2.15,2.0
250173542002,1.77,3.0
250173549003,6.47,13.0
250173550001,14.39,27.0
250173550002,6.6499999999999995,8.0
250250303001,3.6,6.0
250250404012,413.76,23.0
250250408013,1.14,1.0
250250503001,0.32,3.0
250250509013,0.15,1.0
250250512001,3.18,5.0
250250612001,37.78,20.0
250250701011,1.83,3.0
250259812011,0.06,2.0
250259812021,15.45,59.0
250259813002,2.4,10.0
250259815011,47.3,6.0
250277101001,12.89,45.0
250277103001,1.14,31.0
250277105001,1.11,6.0
250277106001,0.17,8.0
250277106002,0.42,8.0
250277106003,11.5,17.0
250277108003,2.14,22.0
250277325001,0.0,0.0
