Town,2011_Discharges_MGal,2011_Discharge_N
ABINGTON,0.0,0.0
ACTON,0.0,0.0
ACUSHNET,0.0,0.0
ADAMS,0.0,0.0
AGAWAM,0.0,0.0
ALFORD,0.0,0.0
AMESBURY,0.0,0.0
AMHERST,0.0,0.0
ANDOVER,0.0,0.0
AQUINNAH,0.0,0.0
ARLINGTON,0.0,0.0
ASHBURNHAM,0.0,0.0
ASHBY,0.0,0.0
ASHFIELD,0.0,0.0
ASHLAND,0.0,0.0
ATHOL,0.0,0.0
ATTLEBORO,0.0,0.0
AUBURN,0.0,0.0
AVON,0.0,0.0
AYER,0.0,0.0
BARNSTABLE,0.0,0.0
BARRE,0.0,0.0
BECKET,0.0,0.0
BEDFORD,0.0,0.0
BELCHERTOWN,0.0,0.0
BELLINGHAM,0.0,0.0
BELMONT,0.0,0.0
BERKLEY,0.0,0.0
BERLIN,0.0,0.0
BERNARDSTON,0.0,0.0
BEVERLY,0.0,0.0
BILLERICA,0.0,0.0
BLACKSTONE,0.0,0.0
BLANDFORD,0.0,0.0
BOLTON,0.0,0.0
BOSTON,460.57,65.0
BOURNE,0.0,0.0
BOXBOROUGH,0.0,0.0
BOXFORD,0.0,0.0
BOYLSTON,0.0,0.0
BRAINTREE,0.0,0.0
BREWSTER,0.0,0.0
BRIDGEWATER,0.0,0.0
BRIMFIELD,0.0,0.0
BROCKTON,0.0,0.0
BROOKFIELD,0.0,0.0
BROOKLINE,0.0,0.0
BUCKLAND,0.0,0.0
BURLINGTON,0.0,0.0
CAMBRIDGE,80.77,61.0
CANTON,0.0,0.0
CARLISLE,0.0,0.0
CARVER,0.0,0.0
CHARLTON,0.0,0.0
CHATHAM,0.0,0.0
CHELMSFORD,0.0,0.0
CHELSEA,0.0,0.0
CHESHIRE,0.0,0.0
CHESTER,0.0,0.0
CHESTERFIELD,0.0,0.0
CHICOPEE,166.08,843.0
CHILMARK,0.0,0.0
CLARKSBURG,0.0,0.0
CLINTON,0.0,0.0
COHASSET,0.0,0.0
COLRAIN,0.0,0.0
CONCORD,0.0,0.0
CONWAY,0.0,0.0
CUMMINGTON,0.0,0.0
DALTON,0.0,0.0
DANVERS,0.0,0.0
DARTMOUTH,0.0,0.0
DEDHAM,0.0,0.0
DEERFIELD,0.0,0.0
DENNIS,0.0,0.0
DIGHTON,0.0,0.0
DOUGLAS,0.0,0.0
DOVER,0.0,0.0
DRACUT,0.0,0.0
DUDLEY,0.0,0.0
DUNSTABLE,0.0,0.0
