Town,MINORPCT,LOWINCPCT,LINGISOPCT
ABINGTON,0.0829816285997646,0.14936635275481402,0.015368080930221382
ACTON,0.26822246455819654,0.0777420971982637,0.037766396221603105
ACUSHNET,0.0661268556004338,0.19668804203616932,0.020049244228694776
ADAMS,0.031013342949870962,0.266567163169598,0.005944424201293218
AGAWAM,0.11320889907925683,0.24684130864830717,0.017081356657674598
ALFORD,0.0454545454545,0.0867768595041,0.0
AMESBURY,0.06411545513683811,0.1480176886409152,0.0018641859763487314
AMHERST,0.26034608568757217,0.4255696752889745,0.020206853474949316
ANDOVER,0.2045874740005305,0.09713009860652293,0.03521262105476591
AQUINNAH,0.471739130435,0.234782608696,0.0
ARLINGTON,0.1795005438723613,0.12449147180891577,0.028142741036076852
ASHBURNHAM,0.033279220779121564,0.09880727688075536,0.0
ASHBY,0.036197670758577584,0.16525926527871515,0.00568068138258017
ASHFIELD,0.03629536921150788,0.18565258986416644,0.003968514173465832
ASHLAND,0.1712220991897418,0.1088940345353752,0.029243403845829054
ATHOL,0.08857929136561589,0.3355274131260676,0.0024661898774670276
ATTLEBORO,0.15853297840875455,0.22582197844317425,0.03115563437702968
AUBURN,0.08078709362013445,0.14888503298722977,0.012363453922994653
AVON,0.2510666966088915,0.12351223893996005,0.018101020350159217
AYER,0.1592829705505699,0.25787451984621834,0.026993438060847273
BARNSTABLE,0.11939452992230347,0.26256749464189394,0.03271628416780025
BARRE,0.0352422907488705,0.19276478761061433,0.0
BECKET,0.047153536515209656,0.20184323478959687,0.012845921688240874
BEDFORD,0.22103297176926626,0.11328748594045429,0.0384975892945324
BELCHERTOWN,0.06995551961186032,0.23613760900439937,0.013113866063196266
BELLINGHAM,0.06977580625822326,0.09137617824290258,0.03453726771762004
BELMONT,0.21466629829899578,0.1020912399790958,0.03970816092404781
BERKLEY,0.046280739269893754,0.1471334449297981,0.0
BERLIN,0.03618532296244843,0.10247521886108049,0.0
BERNARDSTON,0.0265486725664,0.174041297935,0.0
BEVERLY,0.0811900663879197,0.19254141922186105,0.005290051388321581
BILLERICA,0.10968633806844832,0.11890215642032763,0.011033547516170026
BLACKSTONE,0.07512667988539005,0.17947417096248777,0.006097253749101146
BLANDFORD,0.00524475524476,0.187937062937,0.0
BOLTON,0.09315176633119575,0.06256340806973444,0.0
BOSTON,0.5447233126817901,0.3882477621625547,0.12257979820836747
BOURNE,0.0936711699086076,0.2158525215076511,0.010367580871493389
BOXBOROUGH,0.23029005255992333,0.1010317305821376,0.019770504973987076
BOXFORD,0.05480462029991179,0.0647579257801764,0.004812737576077316
BOYLSTON,0.07694043321300433,0.07353590862168041,0.012117397726233754
