Watershed,MINORPCT,LOWINCPCT,LINGISOPCT
BLACKSTONE,0.26437564262431157,0.27874764137770286,0.07242749069435037
BUZZARDS BAY,0.19241396955354909,0.2974238428432441,0.06456768322028297
CAPE COD,0.08975577583363412,0.21888545790417668,0.014283261864042957
CHARLES,0.35144775474139606,0.2672258310773385,0.07076395197936278
CHICOPEE,0.1744861079737894,0.28871432625193943,0.029350409850168246
CONCORD,0.23097416969048254,0.15869878238564775,0.05399011827742844
CONNECTICUT,0.3404820238163305,0.36870176509849073,0.06386044911071194
DEERFIELD,0.08917099085748452,0.29453282413758214,0.01227038743053716
FARMINGTON,0.04913142656605577,0.20724498699427144,0.002482234301328317
FRENCH,0.10187505889008282,0.2377765387879651,0.025766268735952016
HOOSIC,0.08424717145339793,0.29393245611594604,0.015795413756141973
HOUSATONIC,0.1144943923939805,0.2942975708185436,0.018861682089247944
IPSWICH,0.10730635684746467,0.10656722453238086,0.01102748128965123
ISLANDS,0.13795102159110556,0.24481979878519702,0.02866378025086171
KINDERHOOK,0.0316804407713,0.0853994490358,0.0
MERRIMACK,0.3468945762790754,0.29802171126344523,0.08654439189129157
MILLERS,0.07317868041356274,0.30955260993404204,0.006870756454214815
MT HOPE BAY,0.1594848027591937,0.40033493123004454,0.08427088897358122
MYSTIC,0.35299253377646284,0.2654294378407041,0.11039553882065162
NARRAGANSETT BAY,0.03574907874116826,0.13373448371959706,0.012110582063411379
NASHUA,0.19243269115706918,0.22278774892643818,0.026332664150202897
NEPONSET,0.4072891055680361,0.21068331576635727,0.0656465677750403
NORTH COAST,0.25013047296981583,0.25276579258872245,0.06139906047345982
PARKER,0.039138281073773075,0.10447326929966626,0.005283633615705791
QUINEBAUG,0.1641068128226404,0.2567286483155789,0.042445984262365136
SHAWSHEEN,0.1965266270266334,0.14494958231655666,0.0350338211698844
SOUTH COASTAL,0.06050556682256973,0.14978758942475814,0.008354988729856376
TAUNTON,0.2091016668211395,0.22535687730307438,0.0384395854983068
TEN MILE,0.12280037842951168,0.19459846953816864,0.02699780666477304
WEIR,0.26127647654903613,0.21204016538746873,0.04980848796571441
WESTFIELD,0.12828943738899828,0.2563513795736233,0.019846128483259385
[UNKNOWN],0.13920645595158238,0.2708724137768784,0.0
