GEOID,DischargeVolume,DischargeCount
250010105002,0.093729,2
250039131007,0.175,1
250056139022,33.039,10
250056321003,999.999999,1
250056403001,96.843564,154
250056403003,1930.878217,190
250056404003,33.812967,102
250056405004,13.703297,66
250056410001,33.612963,50
250056420002,295.892127,292
250056420003,197.430504,286
250056421001,454.499785,401
250056503002,0.12512,2
250056504001,5.77926,6
250056507001,749.187128,295
250056512001,11.58294,31
250056513001,71.329358,254
250056519001,151.98577,177
250056524002,313.480897,323
250056526002,130.054768,156
250056527002,257.801833,97
250056527003,26.256904,85
250056528001,32.36738,28
250056528002,56.812054,134
250056542001,42.31298,131
250092011001,1.80788,4
250092022004,1.919472,8
250092033022,0.072,1
250092057005,32.979317,97
250092069003,149.201147,152
250092213002,0.89,1
250092214003,0.18,10
250092215002,0.276,7
250092501001,177.95989600000001,38
250092509002,6.126247,10
250092516001,38.4927,17
250092532011,61.3097,21
250092601002,28.661897,35
250092601003,18.062690999999997,124
250092602002,2.329127,82
250092603012,27.750643,20
250092607001,10.35727,85
250092608002,19.691266000000002,23
250092610002,20.8554,61
250092611011,0.386355,18
250092611013,51.7282,10
250110407011,0.804799,66
250110407022,0.6769689999999999,53
250138001022,20.306,127
250138007002,39.285,146
250138011011,759.571255,565
250138019011,28.799661,165
250138019012,82.007767,66
250138020001,204.472469,147
250138022001,7.582,61
250138107001,1.005625,39
250138108001,21.590654999999998,78
250138108002,2.36377,56
250138109011,69.454067,60
250138110004,4.023005,50
250138111011,15.273601,90
250138111022,17.667698,64
250138111023,130.09780700000002,56
250138113013,98.279335,61
250138113014,0.465397,6
250138116002,1.850684,45
250138117001,213.782704,218
250138119001,106.673834,450
250138119002,2.471856,102
250138121031,617.732656,345
250138121032,0.6242,92
250138132091,409.64641,99
250138132092,2.88,42
250158214003,0.45,1
250158223001,5e-05,1
250173102003,2543.23946,178
250173104002,487.20002,145
250173105001,69.133,55
250173107002,55.29,27
250173124001,199.9,64
250173125011,673.05638,132
250173165001,396.4304,6
250173398022,69.03,28
250173521021,2.8,5
250173541002,1.38,4
250173542002,3.72,28
250173550002,1.975,16
250173561003,45.886,73
250173567011,12.033039,23
250173631043,0.0117,1
250173882002,0.0002,1
250235001011,3617.0713,65
250235021022,21.541675,6
250235061021,0.021042,1
250250305001,7.2,4
250250404012,766.04,41
250250406001,274.784,104
250250408013,2.5375,12
250250501012,0.473,12
250250503001,4.096452,50
250250509013,0.195734,21
250250512001,16.951264000000002,51
250250704021,180.15067600000003,109
250251603002,0.028,1
250251605022,1.937147,26
250259812021,2.0275,20
250259815011,123.083,39
250259818001,6.4707,12
250259901010,7.7502,28
250277096001,673.566168,103
250277101002,0.316,3
250277101003,13.296268,39
250277102004,0.22,10
250277103001,0.171,4
250277107002,9.505065,94
250277108003,3.291023,91
250277221003,0.016676,1
250277325001,570.721881,77
250277371003,58.2,3
