"",,,
Alabama,,,
"",FY2013,FY2014,FY2015
Environmental Agency Budget,"$51,352,605","$51,412,720","$54,963,601"
Status of Budget,Actual,Actual,Actual
Amount of Reported SRF15,,,
Amount from General Fund,"$3,019,533","$827,745","$829,950"
Amount from Federal Government,"$16,134,988","$16,961,056","$18,374,332"
Amount from Fees/ Other,"$32,198,083","$33,623,919","$35,759,319"
"",,,
Alaska,,,
"",FY2013,FY2014,FY2015
Environmental Agency Budget,,,
"(Excludes SRF)","$80,011,300","$83,042,200","$76,776,000"
Status of Budget,Actual,Actual,Actual
Amount of Reported SRF,"$17,445,056","$16,392,000","$17,221,000"
Amount from General Fund,"$46,914,800","$49,368,200","$47,273,800"
Amount from Federal Government,"$22,787,500","$22,210,300","$18,836,000"
Amount from Fees/ Other,"$10,309,000","$11,463,700","$10,666,200"
"",,,
Arizona,,,
"",FY2013,FY2014,FY2015
Environmental Agency Budget,,,
"(Excludes SRF)","$169,763,760","$143,530,226","$142,113,760"
Status of Budget,Final,Final,Final
Amount of Reported SRF 16,"$3,100,960","$3,100,960","$3,100,960"
Amount from General Fund17,$0,$0,$0
Amount from Federal Government,"$73,847,160","$42,355,626","$43,152,560"
Amount from Fees/ Other,"$95,916,600","$101,174,600","$98,961,200"
Arkansas,,,
"",FY2013,FY2014,FY2015
Environmental Agency Budget,"$108,848,774","$104,453,527","$104,582,757"
Status of Budget,Final,Final,Final
Amount of Reported SRF,Included,Included,Included
Amount from General Fund,"$5,172,663","$5,181,092","$5,184,012"
Amount from Federal Government,"$26,697,283","$19,211,392","$19,263,954"
Amount from Fees/ Other,"$76,978,828","$80,061,043","$80,134,791"
"",,,
California18,,,
"",FY2013,FY2014,FY2015
Environmental Agency Budget,,,
"(Excludes SRF)","$2,869,847,123","$3,496,980,000","$4,941,390,000"
Status of Budget,Enacted,Enacted,Enacted
Amount of Reported SRF,Included,Included,Included
Amount from General Fund,"$40,818,000","$68,680,000","$223,556,000"
Amount from Federal Government,"$192,695,123","$318,427,000","$345,705,000"
Amount from Fees/ Other,"$2,636,334,000","$3,109,873,000","$4,372,129,000"
"",,,
Colorado,,,
"",FY2013,FY2014,FY2015
Environmental Agency Budget,,,
"(Excludes SRF)","$64,000,987","$90,701,815","$99,826,442"
Status of Budget,Appropriated,Appropriated,Appropriated
Amount of Reported SRF,"$25,616,000","$26,610,000","$26,451,000"
Amount from General Fund19,"$2,536,466","$19,240,937","$23,919,927"
Amount from Federal Government,"$25,560,226","$28,264,005","$28,927,035"
Amount from Fees/ Other,"$35,904,295","$43,196,873","$46,979,480"
Connecticut,,,
"",FY2013,FY2014,FY2015
Environmental Agency Budget20,"$175,033,552","$177,418,208","$176,488,861"
Status of Budget,Final,Final,Final
Amount of Reported SRF21,,,
Amount from General Fund,"$70,408,464","$78,019,349","$72,711,066"
Amount from Federal Government,"$40,335,317","$34,880,165","$29,646,775"
Amount from Fees/ Other,"$64,289,771","$64,518,694","$74,131,020"
"",,,
Delaware,,,
"",FY2013,FY2014,FY2015
"Environmental Agency Budget22,23","$71,348,175","$109,239,820","$93,791,845"
Status of Budget,Actual,Actual,Actual
Amount of Reported SRF,Included,Included,Included
Amount from General Fund,"$18,133,500","$18,716,100","$18,461,200"
Amount from Federal Government,"$19,996,497","$41,572,413","$27,938,088"
Amount from Fees/ Other,"$33,218,178","$48,951,307","$47,392,557"
"",,,
District of Columbia,,,
"",FY2013,FY2014,FY2015
Environmental Agency Budget,,,
"(Excludes SRF)","$69,965,450","$74,683,752","$76,048,239"
Status of Budget,Actual,Actual,Actual
Amount of Reported SRF,"$406,773","$1,336,302","$543,100"
Amount from General Fund,"$13,081,737","$16,590,847","$17,950,588"
Amount from Federal Government,"$22,572,140","$20,687,103","$18,792,515"
Amount from Fees/ Other,"$34,311,573","$37,405,802","$39,305,137"
Florida,,,
"",FY2013-2014,FY2014-2015,FY2014-2015
Environmental Agency Budget,"$1,296,133,355","$1,183,302,120","$1,440,438,257"
Status of Budget,Final,Final,Final
Amount of Reported SRF,Included,Included,Included
Amount from General Fund,"$48,726,242","$114,444,301","$286,154,544"
Amount from Federal Government,"$274,323,755","$284,750,637","$302,575,038"
Amount from Fees/ Other24,"$973,083,358","$784,107,182","$851,708,675"
"",,,
Georgia,,,
"",FY2013,FY2014,FY2015
Environmental Agency Budget,"$131,036,504","$127,239,492","$140,680,991"
Status of Budget,Final,Final,Final
Amount of Reported SRF,Included,Included,Included
Amount from General Fund,"$25,279,200","$25,897,906","$29,550,306"
Amount from Federal Government,"$45,429,288","$49,505,987","$52,203,462"
Amount from Fees/ Other,"$60,328,016","$51,835,599","$58,927,223"
"",,,
Hawaii,,,
"",FY2013,FY2014,FY2015
Environmental Agency Budget,"$281,703,891","$284,888,350","$285,880,691"
Status of Budget,Enacted,Enacted,Enacted
Amount of Reported SRF,Included,Included,Included
Amount from General Fund,"$16,157,475","$17,736,574","$18,387,204"
Amount from Federal Government,"$14,832,504","$15,208,835","$15,037,888"
Amount from Fees/ Other,"$250,713,912","$251,942,941","$252,455,599"
Idaho,,,
"",FY2013,FY2014,FY2015
Environmental Agency Budget,,,
"(Excludes SRF)","$61,954,400","$66,430,500","$66,306,900"
Status of Budget,Final,Final,Final
Amount of Reported SRF,"$15,988,824","$14,941,000","$15,698,000"
Amount from General Fund,"$14,276,200","$14,839,100","$15,636,200"
Amount from Federal Government,"$36,053,400","$40,206,200","$39,349,200"
Amount from Fees/ Other,"$11,624,800","$11,385,200","$11,321,500"
"",,,
Illinois,,,
"",FY2013,FY2014,FY2015
Environmental Agency Budget,"$289,149,100","$297,178,700","$304,609,900"
Status of Budget,Final,Final,Final
Amount of Reported SRF,Included,Included,Included
Amount from General Fund,$0,$0,$0
Amount from Federal Government,"$65,788,600","$62,322,800","$63,640,300"
Amount from Fees/ Other,"$223,360,500","$234,855,900","$240,969,600"
"",,,
Indiana,,,
"",FY2013,FY2014,FY2015
Environmental Agency Budget25,"$134,642,714","$135,095,212","$135,095,212"
Status of Budget,Final,Final,Final
Amount of Reported SRF26,,,
Amount from General Fund,"$24,370,331","$23,608,443","$23,608,443"
Amount from Federal Government,"$23,966,403","$24,381,116","$24,381,116"
Amount from Fees/ Other,"$86,305,980","$87,105,653","$87,105,653"
Iowa,,,
"",FY2013,FY2014,FY2015
Environmental Agency Budget,"$54,727,567","$54,739,661","$55,715,073"
Status of Budget,Final,Final,Final
Amount of Reported SRF,Included,Included,Included
Amount from General Fund,"$3,528,705","$3,562,070","$3,273,290"
Amount from Federal Government,"$24,488,377","$23,940,277","$25,807,769"
Amount from Fees/ Other,"$26,707,484","$27,236,313","$26,634,014"
"",,,
Kansas,,,
"",FY2013,FY2014,FY2015
Environmental Agency Budget,"$73,674,528","$64,419,024","$68,413,261"
Status of Budget,Final,Final,Final
Amount of Reported SRF,Included,Included,Included
Amount from General Fund,"$6,332,748","$5,276,350","$5,213,074"
Amount from Federal Government,"$24,586,380","$23,292,277","$24,552,469"
Amount from Fees/ Other,"$42,755,400","$35,850,397","$38,647,718"
"",,,
Kentucky,,,
"",FY2013,FY2014,FY2015
Environmental Agency Budget,"$95,501,400","$103,582,336","$104,792,336"
Status of Budget,Actual,Actual,Actual
Amount of Reported SRF,Included,Included,Included
Amount from General Fund,"$20,606,962","$21,982,000","$21,417,700"
Amount from Federal Government,"$24,269,958","$23,405,148","$21,542,592"
Amount from Fees/ Other,"$50,624,480","$58,195,188","$61,832,044"
Maine,,,
"",FY2013,FY2014,FY2015
Environmental Agency Budget,"$82,754,000","$81,693,002","$79,627,760"
Status of Budget,Final,Final,Final
Amount of Reported SRF27,,,
Amount from General Fund,"$5,958,052","$6,423,298","$7,090,422"
Amount from Federal Government,"$20,156,056","$20,742,590","$19,918,437"
Amount from Fees/ Other,"$56,639,892","$54,527,114","$52,618,901"
"",,,
