Alabama,,,,
"",,FY 2011,FY 2012,FY 2013
16,,,,
Env. Agency Budget (SRF Added),,"$86,511,168","$90,605,689","$63,364,884"
Status of Budget,,Actual,Approved,House Passed
17,,,,
Amount of Budget from SRF,,"$28,352,000","$27,088,000",
"% from General Fund",,9.10%,6.00%,4.70%
"% from Federal Government",,39.80%,35.30%,34.20%
"% from Fees, Other",,51.10%,58.80%,61.10%
Alaska,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget (SRF Added),"$91,404,400","$97,528,900","$83,552,300"
Status of Budget,Actual,Authorized,Proposed
Amount of Budget from SRF,"$18,345,000","$17,519,000",
"% from General Fund",60.19%,57.77%,57.49%
"% from Federal Government",26.54%,29.01%,29.00%
"% from Fees, Other",13.27%,13.22%,13.50%
"",,,
Arizona,,,
"",FY 2011,FY 2012,FY 2013
Environmental Agency Budget,"$383,088,900","$351,610,300","$351,610,300"
Status of Budget,Final,Current,Proposed
Amount of Budget from SRF,Included,Included,Included
"% from General Fund",1.83%,1.99%,1.99%
"% from Federal Government",9.29%,5.85%,5.85%
"% from Fees, Other",88.88%,92.16%,92.16%
"",,,
Arkansas,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget,"$110,723,336","$108,581,950","$108,848,774"
"",Audit-in-,,
Status of Budget,Progress,Final,Adopted
Amount of Budget from SRF,Included,Included,Included
"% from General Fund",4.20%,4.70%,4.70%
"% from Federal Government",21.20%,18.90%,19.30%
"% from Fees, Other",74.60%,76.40%,76.00%
"",,,
California,,,
"",FY 2010-2011,FY 2011-2012,FY 2012-2013
Env. Agency Budget (SRF Added),"$1,666,922,000","$1,655,859,000","$1,306,741,000"
Status of Budget,Enacted,Enacted,Proposed
Amount of Budget from SRF,"$194,766,000","$186,058,000",
"% from General Fund",5.21%,3.46%,3.60%
"% from Bonds",20.01%,25.11%,16.30%
"% from Fees, Other",74.78%,71.43%,80.10%
"",,,
Colorado,,,
"",FY 2010-2011,FY 2011-2012,FY 2012-2013
Env. Agency Budget (SRF Added),"$87,121,712","$85,837,220","$63,967,456"
Status of Budget,Appropriated,Appropriated,Appropriated
Amount of Budget from SRF,"$28,636,000","$27,339,000",
"% from General Fund",4.85%,4.30%,3.90%
"% from Federal Government",42.76%,38.40%,39.90%
"% from Fees, Other",52.39%,57.30%,56.20%
Connecticut,,,
"",FY 2010-2011,FY 2011-2012,FY 2012-2013
Env. Agency Budget (SRF Added),"$158,049,514","$145,013,817","$111,440,507"
"",,,18
Status of Budget,Enacted,Current,Recommended
Amount of Budget from SRF,"$27,691,000","$26,464,000",
"% from General Fund",41.29%,63.13%,60.78%
"% from Federal Government",27.79%,16.56%,17.62%
"% from Fees, Other",30.92%,20.31%,21.61%
"",,,
Delaware,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget,"$165,150,300","$157,366,600","$141,681,700"
Status of Budget,Actual,Budgeted,Recommended
Amount of Budget from SRF,Included,Included,
"% from General Fund",17.16%,13.22%,14.88%
"% from Federal Government",57.73%,28.21%,26.39%
"% from Fees, Other",25.11%,58.57%,58.73%
"",,,
District of Columbia,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget (SRF Added),"$87,720,000","$101,273,000","$94,258,000"
Status of Budget,Actual,Approved,Approved
Amount of Budget from SRF,"$16,740,000","$15,983,000",
"% from General Fund",52.70%,59.30%,69.42%
"% from Federal Government",46.14%,40.05%,28.97%
"% from Fees, Other",1.15%,0.65%,1.61%
"",,,
Georgia,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget (SRF Added),"$172,747,733","$165,947,063","$121,139,089"
Status of Budget,Final,Current,Appropriated
Amount of Budget from SRF,"$47,473,000","$45,345,000",
"% from General Fund",22.55%,24.22%,25.80%
"% from Federal Government",30.91%,28.49%,27.13%
"% from Fees, Other",46.54%,47.29%,47.08%
"",,,
Hawaii,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget,"$256,223,117","$257,348,104","$257,344,104"
Status of Budget,Actual,Current,Proposed
Amount of Budget from SRF,Included,Included,Included
"% from General Fund",0.95%,1.01%,1.01%
"% from Federal Government",67.75%,67.66%,67.66%
"% from Fees, Other",31.30%,31.33%,31.33%
Idaho,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget (SRF Added),"$71,829,000","$78,109,700","$61,954,400"
Status of Budget,Final,Current,Appropriated
Amount of Budget from SRF,"$16,740,000","$15,983,000",
"% from General Fund",25.52%,22.21%,23.04%
"% from Federal Government",56.33%,57.45%,58.19%
"% from Fees, Other",18.15%,20.34%,18.77%
"",,,
Illinois,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget,"$279,191,300","$288,578,700","$289,149,100"
Status of Budget,Final,Enacted,Recommended
Amount of Budget from SRF,Included,Included,Included
"% from General Fund",0%,0%,0%
"% from Federal Government",24.91%,24.36%,22.75%
"% from Fees, Other",75.09%,75.64%,77.25%
"",,,
Indiana,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget (SRF Added),"$186,688,074","$184,017,715","$134,642,715"
Status of Budget,Actual,Final,Final
Amount of Budget from SRF,"$51,656,000","$49,375,000",
"% from General Fund",17.50%,18.10%,18.10%
"% from Federal Government",18.80%,17.80%,17.80%
"% from Fees, Other",63.70%,64.10%,64.10%
"",,,
Kansas,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget,"$72,538,778","$74,133,338","$72,603,904"
Status of Budget,Final,Current,Proposed
Amount of Budget from SRF,Included,Included,Included
"% from General Fund",5.00%,6.00%,5.00%
"% from Federal Government",40.00%,39.00%,38.00%
"% from Fees, Other",55.00%,55.00%,57.00%
"",,,
Kentucky,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget (SRF Added),"$135,353,338","$145,510,600","$110,901,200"
Status of Budget,Actual,Current,Enacted
Amount of Budget from SRF,"$32,579,000","$31,125,000",
"% from General Fund",20.92%,18.08%,18.54%
"% from Federal Government",24.15%,22.81%,20.94%
"% from Fees, Other",54.94%,59.12%,60.52%
Louisiana,,,
"",FY 2010-2011,FY 2011-2012,FY 2012-2013
Env. Agency Budget (SRF Added),"$151,360,857","$163,360,754","$118,765,439"
Status of Budget,Actual,Operating,Recommended
Amount of Budget from SRF,"$34,195,000","$32,656,000",
"% from General Fund",0%,0.19%,0.21%
"% from Federal Government",16.20%,19.33%,19.19%
"% from Fees, Other",83.80%,80.48%,80.60%
"",,,
Maine,,,
"",FY 2010-2011,FY 2011-2012,FY 2012-2013
Env. Agency Budget (SRF Added),"$97,720,145","$97,463,356","$77,816,748"
Status of Budget,Enacted,Budgeted,Budgeted
Amount of Budget from SRF,"$20,964,000","$20,026,000",
"% from General Fund",7.60%,9.20%,8.70%
"% from Federal Government",23.30%,23.30%,23.50%
"% from Fees, Other",69.10%,67.50%,67.80%
"",,,
Maryland,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget,"$256,837,522","$288,511,057","$493,629,433"
Status of Budget,Actual,Appropriated,Allowed
Amount of Budget from SRF,Included,Included,Included
"% from General Fund",12.74%,10.69%,6.37%
"% from Federal Government",22.50%,31.86%,16.49%
"% from Fees, Other",64.75%,57%,77.14%
"",,,
Massachusetts,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget,"$96,432,000","$102,461,000","$109,169,840"
Status of Budget,Final,Current,Recommended
Amount of Budget from SRF,Included,Included,Included
"% from General Fund",51.27%,50.39%,50.82%
"% from Federal Government",27.53%,27.28%,25.06%
"% from Fees, Other",21.29%,22.33%,24.12%
"",,,
Michigan,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget,"$467,685,200","$428,987,100","$431,429,900"
Status of Budget,Final,Current,Enacted
Amount of Budget from SRF,Included,Included,Included
"% from General Fund",5.20%,6.60%,6.90%
"% from Federal Government",39.70%,37.50%,37.50%
"% from Fees, Other",55.10%,55.90%,55.60%
Minnesota,,,
FY 2011,FY 2012,FY 2013,
"Env. Agency Budget (SRF Added) $241,851,000","$232,076,000","$175,070,000",
Status of Budget Final,Current,Proposed,
"Amount of Budget from SRF $43,220,000","$41,301,000",,
"% from General Fund 5.25%",2.51%,,2.90%
"% from Federal Government 12.92%",16.63%,12.50%,
"% from Fees, Other 81.83%",80.86%,84.60%,
"",,,
Mississippi,,,
FY 2011,FY 2012,FY 2013,
