State,Budget Detail,FY 2010-2011,FY 2011,FY 2011-2012,FY 2012,FY 2012-2013,FY 2013
Alabama,Env. Agency Budget (SRF Added),,"$86,511,168",,"$90,605,689",,"$63,364,884"
Alabama,Status of Budget,,Actual,,Approved,,House Passed
Alabama,Amount of Budget from SRF,,"$28,352,000",,"$27,088,000",,
Alabama,% from General Fund,,9.10%,,6.00%,,4.70%
Alabama,% from Federal Government,,39.80%,,35.30%,,34.20%
Alabama,% from Fees / Other,,51.10%,,58.80%,,61.10%
Alaska,Env. Agency Budget (SRF Added),,"$91,404,400",,"$97,528,900",,"$83,552,300"
Alaska,Status of Budget,,Actual,,Authorized,,Proposed
Alaska,Amount of Budget from SRF,,"$18,345,000",,"$17,519,000",,
Alaska,% from General Fund,,60.19%,,57.77%,,57.49%
Alaska,% from Federal Government,,26.54%,,29.01%,,29.00%
Alaska,% from Fees / Other,,13.27%,,13.22%,,13.50%
Arizona,Environmental Agency Budget,,"$383,088,900",,"$351,610,300",,"$351,610,300"
Arizona,Status of Budget,,Final,,Current,,Proposed
Arizona,Amount of Budget from SRF,,Included,,Included,,Included
Arizona,% from General Fund,,1.83%,,1.99%,,1.99%
Arizona,% from Federal Government,,9.29%,,5.85%,,5.85%
Arizona,% from Fees / Other,,88.88%,,92.16%,,92.16%
Arkansas,Env. Agency Budget,,"$110,723,336",,"$108,581,950",,"$108,848,774"
Arkansas,Status of Budget,,Progress,,Final,,Adopted
Arkansas,Amount of Budget from SRF,,Included,,Included,,Included
Arkansas,% from General Fund,,4.20%,,4.70%,,4.70%
Arkansas,% from Federal Government,,21.20%,,18.90%,,19.30%
Arkansas,% from Fees / Other,,74.60%,,76.40%,,76.00%
California,Env. Agency Budget (SRF Added),"$1,666,922,000",,"$1,655,859,000",,"$1,306,741,000",
California,Status of Budget,Enacted,,Enacted,,Proposed,
California,Amount of Budget from SRF,"$194,766,000",,"$186,058,000",,,
California,% from General Fund,5.21%,,3.46%,,3.60%,
California,% from Bonds,20.01%,,25.11%,,16.30%,
California,% from Fees / Other,74.78%,,71.43%,,80.10%,
Colorado,Env. Agency Budget (SRF Added),"$87,121,712",,"$85,837,220",,"$63,967,456",
Colorado,Status of Budget,Appropriated,,Appropriated,,Appropriated,
Colorado,Amount of Budget from SRF,"$28,636,000",,"$27,339,000",,,
Colorado,% from General Fund,4.85%,,4.30%,,3.90%,
Colorado,% from Federal Government,42.76%,,38.40%,,39.90%,
Colorado,% from Fees / Other,52.39%,,57.30%,,56.20%,
Connecticut,Env. Agency Budget (SRF Added),"$158,049,514",,"$145,013,817",,"$111,440,507",
Connecticut,Status of Budget,Enacted,,Current,,Recommended,
Connecticut,Amount of Budget from SRF,"$27,691,000",,"$26,464,000",,,
Connecticut,% from General Fund,41.29%,,63.13%,,60.78%,
Connecticut,% from Federal Government,27.79%,,16.56%,,17.62%,
Connecticut,% from Fees / Other,30.92%,,20.31%,,21.61%,
Delaware,Env. Agency Budget,,"$165,150,300",,"$157,366,600",,"$141,681,700"
Delaware,Status of Budget,,Actual,,Budgeted,,Recommended
Delaware,Amount of Budget from SRF,,Included,,Included,,
Delaware,% from General Fund,,17.16%,,13.22%,,14.88%
Delaware,% from Federal Government,,57.73%,,28.21%,,26.39%
Delaware,% from Fees / Other,,25.11%,,58.57%,,58.73%
District of Columbia,Env. Agency Budget (SRF Added),,"$87,720,000",,"$101,273,000",,"$94,258,000"
District of Columbia,Status of Budget,,Actual,,Approved,,Approved
District of Columbia,Amount of Budget from SRF,,"$16,740,000",,"$15,983,000",,
District of Columbia,% from General Fund,,52.70%,,59.30%,,69.42%
District of Columbia,% from Federal Government,,46.14%,,40.05%,,28.97%
District of Columbia,% from Fees / Other,,1.15%,,0.65%,,1.61%
Georgia,Env. Agency Budget (SRF Added),,"$172,747,733",,"$165,947,063",,"$121,139,089"
Georgia,Status of Budget,,Final,,Current,,Appropriated
Georgia,Amount of Budget from SRF,,"$47,473,000",,"$45,345,000",,
Georgia,% from General Fund,,22.55%,,24.22%,,25.80%
Georgia,% from Federal Government,,30.91%,,28.49%,,27.13%
Georgia,% from Fees / Other,,46.54%,,47.29%,,47.08%
Hawaii,Env. Agency Budget,,"$256,223,117",,"$257,348,104",,"$257,344,104"
Hawaii,Status of Budget,,Actual,,Current,,Proposed
Hawaii,Amount of Budget from SRF,,Included,,Included,,Included
Hawaii,% from General Fund,,0.95%,,1.01%,,1.01%
Hawaii,% from Federal Government,,67.75%,,67.66%,,67.66%
Hawaii,% from Fees / Other,,31.30%,,31.33%,,31.33%
Idaho,Env. Agency Budget (SRF Added),,"$71,829,000",,"$78,109,700",,"$61,954,400"
Idaho,Status of Budget,,Final,,Current,,Appropriated
Idaho,Amount of Budget from SRF,,"$16,740,000",,"$15,983,000",,
Idaho,% from General Fund,,25.52%,,22.21%,,23.04%
Idaho,% from Federal Government,,56.33%,,57.45%,,58.19%
Idaho,% from Fees / Other,,18.15%,,20.34%,,18.77%
Illinois,Env. Agency Budget,,"$279,191,300",,"$288,578,700",,"$289,149,100"
