Id,StreetName,Town,FacilityType,FacilityName,Program,ProgramSpecificId,Active
5815,3 COLUMBIA ST,ADAMS,PUBLIC WATER SUPPLY SYSTEM,ADAMS FIRE DISTRICT,WATER SUPPLY/DRINKING WATER,1004000,True
5816,1000 SUFFIELD ST,AGAWAM,PUBLIC WATER SUPPLY SYSTEM,AGAWAM WATER DEPARTMENT,WATER SUPPLY/DRINKING WATER,1005000,True
5817,586 SOUTH PLEASANT ST,AMHERST,PUBLIC WATER SUPPLY SYSTEM,AMHERST DPW  WATER DIVISION,WATER SUPPLY/DRINKING WATER,1008000,True
5818,69  MAIN STREET,ASHFIELD,PUBLIC WATER SUPPLY SYSTEM,ASHFIELD WATER DISTRICT,WATER SUPPLY/DRINKING WATER,1013000,True
5819,206 JABISH STREET,BELCHERTOWN,PUBLIC WATER SUPPLY SYSTEM,BELCHERTOWN WATER DISTRICT,WATER SUPPLY/DRINKING WATER,1024000,True
5820,MILL VALLEY RD,BELCHERTOWN,PUBLIC WATER SUPPLY SYSTEM,SPORTS HAVEN MOBILE HOME PARK,WATER SUPPLY/DRINKING WATER,1024001,True
5821,281 CHAUNCEY WALKER ST,BELCHERTOWN,PUBLIC WATER SUPPLY SYSTEM,PINE VALLEY PLANTATION,WATER SUPPLY/DRINKING WATER,1024002,True
5823,295 SOUTH STREET,BERNARDSTON,PUBLIC WATER SUPPLY SYSTEM,BERNARDSTON FIRE  WATER DIST,WATER SUPPLY/DRINKING WATER,1029000,True
5824,1 RUSSEL STAGE ROAD,BLANDFORD,PUBLIC WATER SUPPLY SYSTEM,BLANDFORD WATER DEPT,WATER SUPPLY/DRINKING WATER,1033000,True
5825,ROUTE 20,BRIMFIELD,PUBLIC WATER SUPPLY SYSTEM,MEADOWBROOK ACRES MOBILE HOME PARK,WATER SUPPLY/DRINKING WATER,1043001,True
5826,20 COLONIAL PARK,BRIMFIELD,PUBLIC WATER SUPPLY SYSTEM,BRIMFIELD HOUSING AUTHORITY,WATER SUPPLY/DRINKING WATER,1043002,True
5827,80 CHURCH ST,CHESHIRE,PUBLIC WATER SUPPLY SYSTEM,CHESHIRE WATER DEPT,WATER SUPPLY/DRINKING WATER,1058000,True
5828,108 HUTCHINSON LANE,CHESHIRE,PUBLIC WATER SUPPLY SYSTEM,HUTCHINSON WATER LLC,WATER SUPPLY/DRINKING WATER,1058001,True
5829,DUBLIN ROAD,CHESHIRE,PUBLIC WATER SUPPLY SYSTEM,BERKSHIRE ESTATES,WATER SUPPLY/DRINKING WATER,1058002,True
5830,15 MIDDLEFIELD RD TOWN HALL,CHESTER,PUBLIC WATER SUPPLY SYSTEM,CHESTER WATER DEPT,WATER SUPPLY/DRINKING WATER,1059000,True
5832,115 BASKIN DRIVE,CHICOPEE,PUBLIC WATER SUPPLY SYSTEM,CHICOPEE WATER DEPT (MWRA),WATER SUPPLY/DRINKING WATER,1061000,True
5834,100 LLOYD ST,CHICOPEE,PUBLIC WATER SUPPLY SYSTEM,WESTOVER ARB,WATER SUPPLY/DRINKING WATER,1061003,True
5836,111 RIVER RD,CLARKSBURG,PUBLIC WATER SUPPLY SYSTEM,BRIGGSVILLE WATER DISTRICT,WATER SUPPLY/DRINKING WATER,1063003,True
5837,10 JACKSONVILLE ROAD,COLRAIN,PUBLIC WATER SUPPLY SYSTEM,COLRAIN FIRE DISTRICT #1,WATER SUPPLY/DRINKING WATER,1066000,True
5838,CALL ROAD,COLRAIN,PUBLIC WATER SUPPLY SYSTEM,GRISWOLDVILLE WATER DISTRICT,WATER SUPPLY/DRINKING WATER,1066001,True
5839,33 MAIN STREET,CUMMINGTON,PUBLIC WATER SUPPLY SYSTEM,CUMMINGTON WATER DEPT,WATER SUPPLY/DRINKING WATER,1069001,True
5840,33 MAIN STREET,CUMMINGTON,PUBLIC WATER SUPPLY SYSTEM,WEST CUMMINGTON WATER DEPT,WATER SUPPLY/DRINKING WATER,1069002,True
5841,20 FLANSBURG AVE,DALTON,PUBLIC WATER SUPPLY SYSTEM,DALTON FIRE DISTRICT,WATER SUPPLY/DRINKING WATER,1070000,True
5842,82 OLD MAIN STREET,DEERFIELD,PUBLIC WATER SUPPLY SYSTEM,DEERFIELD FIRE DISTRICT,WATER SUPPLY/DRINKING WATER,1074000,True
5843,95 SUNDERLAND RD.,DEERFIELD,PUBLIC WATER SUPPLY SYSTEM,SOUTH DEERFIELD WATER SUPPLY DISTRICT,WATER SUPPLY/DRINKING WATER,1074001,True
5844,38 RAILROAD YARD RD,DEERFIELD,PUBLIC WATER SUPPLY SYSTEM,PAN AM SOUTHERN RAILROAD,WATER SUPPLY/DRINKING WATER,1074007,True
5845,60 CENTER SQ,EAST LONGMEADOW,PUBLIC WATER SUPPLY SYSTEM,EAST LONGMEADOW DPW WATER DEPT,WATER SUPPLY/DRINKING WATER,1085000,True
5846,109 HENDRICK ST,EASTHAMPTON,PUBLIC WATER SUPPLY SYSTEM,EASTHAMPTON WATER DEPT,WATER SUPPLY/DRINKING WATER,1087000,True
5847,133 MT WASHINGTON RD,EGREMONT,PUBLIC WATER SUPPLY SYSTEM,EGREMONT WATER DEPT,WATER SUPPLY/DRINKING WATER,1090000,True
5848,54 FRENCH KING HWY,GILL,PUBLIC WATER SUPPLY SYSTEM,RIVERSIDE WATER DISTRICT,WATER SUPPLY/DRINKING WATER,1106000,True
5849,ONE LAMPLIGHTER WAY,GILL,PUBLIC WATER SUPPLY SYSTEM,NORTHFIELD MT HERMON SCHOOL,WATER SUPPLY/DRINKING WATER,1106002,True
5850,5 PINE BROOK CIR,GRANBY,PUBLIC WATER SUPPLY SYSTEM,BACHELOR KNOLLS,WATER SUPPLY/DRINKING WATER,1111000,True
5851,66 SCHOOL ST,GRANBY,PUBLIC WATER SUPPLY SYSTEM,THE MACDUFFIE SCHOOL,WATER SUPPLY/DRINKING WATER,1111001,True
5852,50 PHIN HILL MANOR,GRANBY,PUBLIC WATER SUPPLY SYSTEM,GRANBY HOUSING AUTHORITY,WATER SUPPLY/DRINKING WATER,1111002,True
5853,ROUTE 116,GRANBY,PUBLIC WATER SUPPLY SYSTEM,GRANBY HEIGHTS CONDOMINIUMS,WATER SUPPLY/DRINKING WATER,1111003,True
5854,662 MAIN RD,GRANVILLE,PUBLIC WATER SUPPLY SYSTEM,GRANVILLE CENTRE WATER CO,WATER SUPPLY/DRINKING WATER,1112000,True
5855,17 EAST ST,GREAT BARRINGTON,PUBLIC WATER SUPPLY SYSTEM,GREAT BARRINGTON FIRE DIST,WATER SUPPLY/DRINKING WATER,1113000,True
5856,80 MAPLE AVE STE 1,GREAT BARRINGTON,PUBLIC WATER SUPPLY SYSTEM,HOUSATONIC WATER WORKS,WATER SUPPLY/DRINKING WATER,1113003,True
5857,384 DEERFIELD ST,GREENFIELD,PUBLIC WATER SUPPLY SYSTEM,GREENFIELD WATER DEPARTMENT,WATER SUPPLY/DRINKING WATER,1114000,True
5858,230 MIDDLE ST,HADLEY,PUBLIC WATER SUPPLY SYSTEM,HADLEY DPW WATER DIVISION,WATER SUPPLY/DRINKING WATER,1117002,True
5859,34 MAIN ST,HAMPDEN,PUBLIC WATER SUPPLY SYSTEM,VANTAGE AT HAMPDEN,WATER SUPPLY/DRINKING WATER,1120001,True
5860,26 SPRINGMEADOW LN,HAMPDEN,PUBLIC WATER SUPPLY SYSTEM,HAMPDEN HOUSING AUTHORITY,WATER SUPPLY/DRINKING WATER,1120002,True
5862,37 COREY RD,HANCOCK,PUBLIC WATER SUPPLY SYSTEM,JIMINY PEAK RESORT,WATER SUPPLY/DRINKING WATER,1121004,True
5863,JERICHO RD,HANCOCK,PUBLIC WATER SUPPLY SYSTEM,BEAVER POND MEADOWS,WATER SUPPLY/DRINKING WATER,1121011,True
5864,32 RESERVOIR RD,HATFIELD,PUBLIC WATER SUPPLY SYSTEM,HATFIELD WATER DEPT,WATER SUPPLY/DRINKING WATER,1127000,True
5865,39 SOUTH ST TOWN HALL,HINSDALE,PUBLIC WATER SUPPLY SYSTEM,HINSDALE WATER DEPT,WATER SUPPLY/DRINKING WATER,1132000,True
5867,PERU RD,HINSDALE,PUBLIC WATER SUPPLY SYSTEM,SOUTH ASHMERE WATER ASSOCIATION INC,WATER SUPPLY/DRINKING WATER,1132002,True
5868,MAIN OFFICE  20 COMMERCIAL ST,HOLYOKE,PUBLIC WATER SUPPLY SYSTEM,HOLYOKE WATER WORKS,WATER SUPPLY/DRINKING WATER,1137000,True
5869,71 LAUREL ROAD,HUNTINGTON,PUBLIC WATER SUPPLY SYSTEM,HUNTINGTON WATER DEPT,WATER SUPPLY/DRINKING WATER,1143000,True
5870,P O BOX 254,LANESBOROUGH,PUBLIC WATER SUPPLY SYSTEM,LANESBOUGH F & W WATER DISTRICT,WATER SUPPLY/DRINKING WATER,10214801,True
5872,310 RESERVOIR RD,LEE,PUBLIC WATER SUPPLY SYSTEM,LEE WATER DEPT,WATER SUPPLY/DRINKING WATER,1150000,True
5874,535 SUMMER ST,LEE,PUBLIC WATER SUPPLY SYSTEM,HIGH LAWN FARM,WATER SUPPLY/DRINKING WATER,1150003,True
5875,275 MAIN STREET,LENOX,PUBLIC WATER SUPPLY SYSTEM,LENOX DPW WATER DIVISION,WATER SUPPLY/DRINKING WATER,1152000,True
5876,170 DWIGHT RD.,LONGMEADOW,PUBLIC WATER SUPPLY SYSTEM,LONGMEADOW WATER DEPT,WATER SUPPLY/DRINKING WATER,1159000,True
5878,3C SCHOOL STREET,MONROE,PUBLIC WATER SUPPLY SYSTEM,MONROE WATER DISTRICT,WATER SUPPLY/DRINKING WATER,1190000,True
5879,198WD MAIN ST,MONSON,PUBLIC WATER SUPPLY SYSTEM,MONSON WATER AND SEWER DEPT,WATER SUPPLY/DRINKING WATER,1191000,True
5880,226 MILLERS FALLS RD,MONTAGUE,PUBLIC WATER SUPPLY SYSTEM,TURNERS FALLS WATER DEPT,WATER SUPPLY/DRINKING WATER,1192000,True
5883,104 MAIN ST,MONTAGUE,PUBLIC WATER SUPPLY SYSTEM,MONTAGUE CENTER WATER DISTRICT,WATER SUPPLY/DRINKING WATER,1192003,True
5884,SANDISFIELD RD,MONTEREY,PUBLIC WATER SUPPLY SYSTEM,MONTEREY WATER COMPANY,WATER SUPPLY/DRINKING WATER,1193000,True
5885,100 GOULD RD,MONTEREY,PUBLIC WATER SUPPLY SYSTEM,GOULD FARM,WATER SUPPLY/DRINKING WATER,1193003,True
5887,46 MAIN RD,MONTGOMERY,PUBLIC WATER SUPPLY SYSTEM,MONTGOMERY MARKET PLACE,WATER SUPPLY/DRINKING WATER,1194001,True
5888,MILL RIVER/SOUTHFIELD ROAD,NEW MARLBOROUGH,PUBLIC WATER SUPPLY SYSTEM,MILL RIVER WATER TAKERS ASSOCIATION,WATER SUPPLY/DRINKING WATER,1203000,True
5889,229 NORFOLK ROAD,NEW MARLBOROUGH,PUBLIC WATER SUPPLY SYSTEM,SOUTHFIELD WATER COMPANY,WATER SUPPLY/DRINKING WATER,1203002,True
5891,59 HODGES CROSS ROAD,NORTH ADAMS,PUBLIC WATER SUPPLY SYSTEM,NORTH ADAMS WATER DEPT,WATER SUPPLY/DRINKING WATER,1209000,True
5892,125 LOCUST STREET,NORTHAMPTON,PUBLIC WATER SUPPLY SYSTEM,NORTHAMPTON WATER DIVISION,WATER SUPPLY/DRINKING WATER,1214000,True
5893,22 STROWBRIDGE RD,NORTHFIELD,PUBLIC WATER SUPPLY SYSTEM,NORTHFIELD WATER DISTRICT,WATER SUPPLY/DRINKING WATER,1217000,True
5894,RESERVOIR RD,NORTHFIELD,PUBLIC WATER SUPPLY SYSTEM,EAST NORTHFIELD WATER CO,WATER SUPPLY/DRINKING WATER,1217001,True
5895,16 WEST MYRTLE ST,ORANGE,PUBLIC WATER SUPPLY SYSTEM,ORANGE WATER DEPT,WATER SUPPLY/DRINKING WATER,1223000,True
5896,10 WALNUT ST,PALMER,PUBLIC WATER SUPPLY SYSTEM,PALMER WATER DISTRICT NO.1,WATER SUPPLY/DRINKING WATER,1227000,True
